id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,27.8486000000000000,278.486,10,10,7,59900.000000000000000000,0,854800,175,144.81114650643494,144.81114650643494,14.481114650643494,41,,,,
4,8ball,common,29,21,1,0,4.2145027948574623,15079.491,3309,3578,17,110,0,289344,99,175.37236858991704,175.37236858991704,0.0529986003596002,38,,,,
7,alien,common,29,21,1,0,4.7210980000000000,9442.196,2000,2000,25,162.000000000000000000,0,157715,45,28.913264171117437,28.913264171117437,0.014456632085558719,56,,,,
8,angel,epic,29,29,1,0,15.2856800000000000,764.284,50,50,8,10800.000000000000000000,0,17935,6,2.4045010707312207,2.4045010707312207,0.048090021414624415,80,,,,
9,banana,rare,29,29,1,0,8.0488666666666667,1207.330,150,150,17,2071.110000000000000000,0,14968,10,3.171228888378119,3.171228888378119,0.02114152592252079,77,,,,
11,basketball,common,29,19,1,0,3.1241320156173743,12802.693,3900,4231,25,84.800000000000000000,1,625681,284,388.9470292594154,388.9470292594154,0.0997300075024142,25,,,,
12,beachball,common,29,24,1,0,3.6113120891683338,12635.981,3265,3499,15,90.560000000000000000,0,36712,18,6.8416190506884735,6.8416190506884735,0.0020954422819872815,70,,,,
13,bomb,uncommon,29,29,1,0,5.3127883333333333,3187.673,600,600,31,1128.800000000000000000,5,7860591,1077,3770.7447816764857,4770.744781676485,7.951241302794142,2,1000,,,
14,shades,epic,29,29,1,0,15.0215000000000000,751.075,50,50,10,9888,1,1390891,405,527.2845349922796,527.2845349922796,10.545690699845593,20,,,,
15,bowling,common,29,29,1,0,2.9807770000000000,5961.554,1998,2000,25,202.000000000000000000,0,165953,75,120.3251095805896,120.3251095805896,0.06022277756786266,47,,,,
17,ninja,rare,29,29,1,0,10.5075700000000000,1050.757,100,100,21,5020.000000000000000000,0,2745,1,0.1494154336205804,0.1494154336205804,0.001494154336205804,85,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.6677133333333333,1450.157,150,150,6,7000,2,3560046,374,1024.3853039581395,1024.3853039581395,6.82923535972093,12,,,,
19,button,common,29,29,1,0,3.8358718179095538,12807.976,3082,3339,13,100,0,675651,232,322.07250921889334,322.07250921889334,0.1045011386174216,29,,,,
20,cat,uncommon,29,29,1,0,5.1848366666666667,3110.902,600,600,6,750,0,251612,80,153.7450663515291,153.7450663515291,0.2562417772525485,40,,,,
21,cherry,rare,29,29,1,0,10.2480100000000000,1024.801,98,100,26,3300.000000000000000000,0,727856,104,229.7607193759187,229.7607193759187,2.3444971364889664,34,,,,
22,egg,rare,29,29,1,0,13.9491500000000000,1394.915,100,100,23,8500,0,68840,8,7.760349961413645,7.760349961413645,0.07760349961413646,69,,,,
23,coconut,rare,29,29,1,0,7.0487543859649123,2008.895,273,285,25,1550,0,134391,15,24.637367943573175,24.637367943573175,0.09024676902407756,59,,,,
24,cute,uncommon,29,29,1,0,5.6756055172413793,4114.814,708,725,9,450,0,1882,4,0.11190865440101899,0.11190865440101899,0.00015806307118787993,87,,,,
25,devil,epic,29,29,1,0,14.5217439024390244,1190.783,81,82,9,11000.000000000000000000,0,2663680,664,338.284498686932,338.284498686932,4.176351835641136,28,,,,
26,revolver,uncommon,29,24,1,0,4.1226966666666667,2473.618,600,600,20,564.000000000000000000,1,1497779,413,854.1116454132693,854.1116454132693,1.4235194090221155,15,,,,
27,disguise,epic,29,29,1,0,12.2648783783783784,907.601,73,74,31,7300,0,369784,141,322.0575137833156,322.0575137833156,4.411746764155008,30,,,,
28,dog,uncommon,29,29,1,0,5.0213100000000000,3012.786,600,600,3,500.000000000000000000,0,404607,317,127.12506699345543,127.12506699345543,0.21187511165575906,44,,,,
29,donut,uncommon,29,29,1,0,5.5071997319034853,4108.371,686,746,17,380,0,138387,86,29.31967211223829,29.31967211223829,0.04274004681084299,55,,,,
30,baseball,epic,29,29,1,0,9.6968714285714286,678.781,69,70,13,6718.800000000000000000,0,15780,6,3.181456685479546,3.181456685479546,0.04610806790550066,76,,,,
31,bowie,rare,29,29,1,0,7.8802373417721519,2490.155,312,316,23,1500,0,191091,60,21.541734957531883,21.541734957531883,0.06904402229978168,60,,,,
32,eyeball,rare,29,29,1,0,7.0098685121107266,2025.852,276,289,14,1500,0,36078,5,3.1588807677533586,3.1588807677533586,0.011445220173019416,78,,,,
33,eyeball2,epic,29,29,1,0,10.5283333333333333,789.625,71,75,14,5690.000000000000000000,0,34784,17,3.0455820340798496,3.0455820340798496,0.04289552160675845,79,,,,
34,discoball,epic,29,29,1,0,14.0540188679245283,744.863,53,53,8,7000,0,402051,67,53.90198271472306,53.90198271472306,1.0170185417872275,49,,,,
35,fishcake,uncommon,29,29,1,0,5.3546366120218579,3919.594,682,732,22,430,0,16236,7,2.2442284649917057,2.2442284649917057,0.0032906575733016212,81,,,,
36,floater,rare,29,24,1,0,8.5430466666666667,1281.457,150,150,30,2920.000000000000000000,0,95664,44,3.9192321639999665,3.9192321639999665,0.026128214426666442,75,,,,
37,fox,uncommon,29,29,1,0,6.0286837387964149,4708.402,709,781,29,395,0,1011850,282,459.21732667423294,459.21732667423294,0.6476972167478603,23,,,,
38,fox777,legendary,29,29,1,0,31.7321428571428571,444.250,14,14,31,104100.000000000000000000,0,930759,274,131.94355194510425,131.94355194510425,9.424539424650304,42,,,,
40,gamer,rare,29,29,1,0,10.2963900000000000,1029.639,99,100,25,4200,0,571594,104,307.5293338732911,307.5293338732911,3.106356907811021,31,,,,
41,xmasball,epic,29,29,1,0,10.7916833333333333,647.501,60,60,11,8005.000000000000000000,0,32387,16,11.50313876445641,11.50313876445641,0.19171897940760682,68,,,,
42,derp,uncommon,29,21,1,0,7.0843833333333333,2975.441,420,420,14,1278.000000000000000000,0,382882,99,33.52399207602809,33.52399207602809,0.07981902875244783,53,,,,
43,moneybag,legendary,29,29,1,0,19.1369000000000000,191.369,10,10,27,41000.138000000000000000,0,146992,49,200.2466996816483,200.2466996816483,20.02466996816483,36,,,,
44,moon,uncommon,24,24,1,0,6.1989516666666667,3719.371,600,600,22,6200.000000000000000000,0,9883184,2841,2561.101534904283,2561.101534904283,4.268502558173806,4,,1000.000000000000000000,123.8,
45,bull,uncommon,29,29,1,0,6.3752033678756477,4921.657,738,772,30,430,0,319537,85,13.091023666040071,13.091023666040071,0.017738514452628824,65,,,,
46,opencan,uncommon,29,29,1,0,5.0035433333333333,3002.126,600,600,3,524.000000000000000000,0,55373,30,5.657169805180413,5.657169805180413,0.009428616341967355,71,,,,
47,candyswirl,rare,29,24,1,0,11.5866700000000000,1158.667,100,100,30,6850.000000000000000000,1,5719538,1329,1220.5442874660564,1220.5442874660564,12.205442874660564,9,,,,
48,royman,epic,29,29,1,0,12.5065200000000000,625.326,50,50,3,6950,0,40470,18,4.134608238954929,4.134608238954929,0.08269216477909858,74,,,,
49,panda,uncommon,29,29,1,0,5.4801633333333333,3288.098,599,600,14,633,0,2870302,567,550.0013839401254,550.0013839401254,0.9181993054092243,18,,,,
50,melon,rare,29,29,1,0,7.0181328413284133,1901.914,267,271,23,1500,0,390952,55,44.072114150415274,44.072114150415274,0.16506409794163024,51,,,,
51,casinochip,uncommon,29,29,1,0,5.1851700000000000,3111.102,600,600,24,1120.000000000000000000,1,2601817,651,1223.1977259474984,1223.1977259474984,2.038662876579164,8,,,,
52,pizza,rare,29,29,1,0,8.9505933333333333,1342.589,150,150,12,2500,0,221382,33,30.878988113791316,30.878988113791316,0.20585992075860876,54,,,,
53,jackolantern,rare,29,29,1,0,9.6691666666666667,1450.375,150,150,12,2190.000000000000000000,0,1749,1,0.17868618260272232,0.17868618260272232,0.001191241217351482,84,,,,
