id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.3302000000000000,323.302,10,10,13,79524.138000000000000000,0,17423,8,2.826232127562852,2.826232127562852,0.2826232127562852,79,100.000000000000000000,,,
4,8ball,common,29,29,1,0,4.1616934184948625,14986.258,3332,3601,5,120,0,307126,321,44.32030306573262,44.32030306573262,0.01330141148431351,62,,,,
7,alien,common,29,29,1,0,4.6016180000000000,9203.236,2000,2000,33,180,0,249889,179,51.40675130651477,51.40675130651477,0.025703375653257386,59,,,,
8,angel,epic,29,29,1,0,17.4494800000000000,872.474,50,50,16,15800,1,2480111,777,1614.9681260225757,1614.9681260225757,32.29936252045152,5,,,,
9,banana,rare,29,29,1,0,7.8599866666666667,1178.998,150,150,27,2003.800000000000000000,0,79950,104,13.253086865785313,13.253086865785313,0.08835391243856876,71,,,,
11,basketball,common,29,29,1,0,3.9185428459119497,9968.773,2345,4300,21,106.380800000000000000,0,123399,166,29.806511970369577,29.806511970369577,0.012710666085445448,67,,,,
12,beachball,common,29,29,1,0,3.6181997109826590,12518.971,3224,3520,25,111.200000000000000000,0,233312,158,147.0490491725033,147.0490491725033,0.04561074726194271,43,,,,
13,bomb,uncommon,29,24,1,0,5.0224416666666667,3013.465,600,600,28,700,1,1690025,462,1097.2651648022809,1097.2651648022809,1.8287752746704682,11,,,,
14,shades,epic,29,29,1,0,14.5605800000000000,728.029,50,50,10,12510.000000000000000000,0,119014,21,86.53091869757498,86.53091869757498,1.7306183739514995,55,,,,
15,bowling,common,29,29,1,0,3.6539548751007252,4534.558,1239,2000,25,129.000000000000000000,0,7134,32,1.5906512308428749,1.5906512308428749,0.0012838185882509078,80,,,,
17,ninja,rare,29,29,1,0,10.3032700000000000,1030.327,100,100,8,4050.000000000000000000,0,895203,308,467.050571750232,467.050571750232,4.67050571750232,21,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.4384733333333333,1415.771,150,150,6,3200,1,496586,150,458.46325957571025,458.46325957571025,3.056421730504735,22,,,,
19,button,common,29,24,1,0,3.8123281899109792,12847.546,3109,3370,13,105.600000000000000000,0,114094,94,18.50749746669093,18.50749746669093,0.005952877924313583,69,,,,
20,cat,uncommon,29,29,1,0,5.0801350000000000,3048.081,600,600,29,740.000000000000000000,0,920986,414,449.3044188200579,449.3044188200579,0.7488406980334298,23,,,,
21,cherry,rare,29,29,1,0,9.1920300000000000,919.203,98,100,11,2200,0,7787,11,0.7942902655855194,0.7942902655855194,0.008105002710056321,84,,,,
22,egg,rare,29,19,1,0,13.2560300000000000,1325.603,100,100,22,8660.000000000000000000,1,1496060,691,1085.9101515010325,1085.9101515010325,10.859101515010325,12,,,,
23,coconut,rare,29,29,1,0,6.8286827586206897,1980.318,277,290,31,1800,0,387236,144,118.77234496182533,118.77234496182533,0.42878102874305174,49,,,,
24,cute,uncommon,29,29,1,0,5.5947854195323246,4067.409,710,727,31,450,0,37134,43,11.389675179509192,11.389675179509192,0.016041796027477736,74,,,,
25,devil,epic,29,29,1,0,13.6761764705882353,1162.475,84,85,21,8000,0,926303,432,401.19449781989596,401.19449781989596,4.776124974046381,25,,,,
26,revolver,uncommon,29,24,1,0,3.8009366666666667,2280.562,600,600,22,677.800000000000000000,0,699668,555,524.6994629046774,524.6994629046774,0.8744991048411289,19,,,,
27,disguise,epic,29,29,1,0,12.1820129870129870,938.015,76,77,17,5957.000000000000000000,0,307466,91,133.4773971062492,133.4773971062492,1.7562815408717,45,,,,
28,dog,uncommon,29,29,1,0,4.6327416666666667,2779.645,600,600,9,511.000000000000000000,0,484739,248,331.7761962364201,331.7761962364201,0.5529603270607002,28,,,,
29,donut,uncommon,29,29,1,0,5.4259152317880795,4096.566,695,755,11,363.000000000000000000,0,482854,191,132.2965750141694,132.2965750141694,0.1903547841930495,46,,,,
30,baseball,epic,29,29,1,0,9.6272394366197183,683.534,70,71,17,5178.800000000000000000,0,8175,17,0.9813136479135699,0.9813136479135699,0.014018766398765285,83,,,,
31,bowie,rare,29,29,1,0,7.6371556886227545,2550.810,330,334,29,1650,0,290624,168,78.05903542381044,78.05903542381044,0.23654253158730437,57,,,,
32,eyeball,rare,29,29,1,0,6.9691457627118644,2055.898,282,295,25,1338.000000000000000000,0,52199,28,10.808675753331572,10.808675753331572,0.0383286374231616,76,,,,
33,eyeball2,epic,29,29,1,0,10.6459090909090909,819.735,73,77,17,7280.000000000000000000,0,189972,53,80.74573698910739,80.74573698910739,1.106105986152156,56,,,,
34,discoball,epic,29,29,1,0,13.6618679245283019,724.079,53,53,3,9100.000000000000000000,0,840133,111,223.15922813762697,223.15922813762697,4.210551474294848,36,,,,
35,fishcake,uncommon,29,29,1,0,5.3334993324432577,3994.791,699,749,31,364.000000000000000000,0,15425,26,4.731128874991363,4.731128874991363,0.006768424713864611,78,,,,
36,floater,rare,29,29,1,0,8.1164200000000000,1217.463,150,150,16,7359.800000000000000000,0,194275,129,163.16517552752757,163.16517552752757,1.0877678368501837,42,,,,
37,fox,uncommon,29,29,1,0,5.9009459798994975,4697.153,723,796,14,556.000000000000000000,0,94252,56,37.85884405192223,37.85884405192223,0.052363546406531444,65,,,,
38,fox777,legendary,29,29,1,0,28.0882857142857143,393.236,14,14,22,100000,0,356296,119,113.93258005527723,113.93258005527723,8.138041432519802,50,,,,
40,gamer,rare,29,29,1,0,9.2249200000000000,922.492,99,100,24,2500.000000000000000000,0,250361,181,124.68902901554439,124.68902901554439,1.2594851415711554,48,,,,
41,xmasball,epic,29,29,1,0,10.7014603174603175,674.192,62,63,17,5980.000000000000000000,0,106550,62,12.882168330350089,12.882168330350089,0.2077769085540337,72,,,,
42,derp,uncommon,29,24,1,0,6.8512571428571429,2877.528,420,420,27,1100,0,663795,297,203.9772404830813,203.9772404830813,0.4856600963882888,39,,,,
43,moneybag,legendary,29,29,1,0,21.8864000000000000,218.864,10,10,29,46200.000000000000000000,0,167922,75,44.17861488368253,44.17861488368253,4.417861488368253,63,,,,
44,moon,uncommon,29,16,1,0,5.4204116666666667,3252.247,600,600,19,3120.000000000000000000,1,1223296,736,571.6687092343487,571.6687092343487,0.9527811820572479,18,200.000000000000000000,204,,
45,bull,uncommon,29,19,1,0,6.1066687500000000,4885.335,766,800,28,1020,1,1286250,1085,1118.1626080035153,1118.1626080035153,1.4597423080985839,10,,,,
46,opencan,uncommon,29,29,1,0,4.9206933333333333,2952.416,600,600,14,600.000000000000000000,0,435637,182,136.3743386885588,136.3743386885588,0.22729056448093132,44,,,,
47,candyswirl,rare,29,24,1,0,10.3397300000000000,1033.973,100,100,5,3775.500000000000000000,0,638487,220,233.8467419754608,233.8467419754608,2.338467419754608,35,,,,
48,royman,epic,29,29,1,0,13.5327000000000000,676.635,50,50,17,8500,0,4472,8,0.53681157595957,0.53681157595957,0.010736231519191399,85,,,,
49,panda,uncommon,29,29,1,0,5.2692916666666667,3161.575,599,600,4,650.000000000000000000,0,1136250,593,390.36107867389967,390.36107867389967,0.6516879443637724,26,,,,
50,melon,rare,29,29,1,0,7.0295795053003534,1989.371,279,283,30,1800,0,617944,195,275.19266790905584,275.19266790905584,0.986353648419555,33,,,,
51,casinochip,uncommon,29,29,1,0,4.7191166666666667,2831.470,600,600,25,699.000000000000000000,0,99890,76,20.683894729789667,20.683894729789667,0.03447315788298278,68,,,,
52,pizza,rare,29,29,1,0,8.6284600000000000,1294.269,150,150,10,3890.138000000000000000,1,893152,454,576.3454486436474,576.3454486436474,3.8423029909576494,17,,,,
53,jackolantern,rare,29,29,1,0,9.5839800000000000,1437.597,150,150,26,2120.000000000000000000,0,166298,46,111.2174343392207,111.2174343392207,0.7414495622614713,51,,,,
54,waffle,uncommon,29,29,1,0,5.1018905405405405,3775.399,691,740,31,500,0,137078,92,42.04432310703832,42.04432310703832,0.060845619547088746,64,,,,
55,saturn,common,29,24,1,0,3.9472201780415430,6651.066,1680,2000,25,180,0,197902,167,98.83882869552984,98.83882869552984,0.05883263612829157,52,,,,
56,marble,rare,29,29,1,0,7.1839930795847751,2076.174,279,289,10,1500,1,390568,148,325.69298142707527,325.69298142707527,1.1673583563694454,30,,,,
57,skull,uncommon,29,29,1,0,6.4977090352220521,4243.004,651,653,23,1850,0,653290,386,307.360264491748,307.360264491748,0.4721355829366329,31,,,,
58,skullpatch,rare,29,29,1,0,8.7735733333333333,1316.036,150,150,28,2499,0,1296026,343,596.9739105806502,596.9739105806502,3.9798260705376682,16,,,,
59,soccerball,common,29,17,1,0,3.4520255000000000,6904.051,1997,2000,13,392.000000000000000000,1,2992513,2068,1317.5047165348885,1317.5047165348885,0.6597419712242807,7,,,,
60,starball,common,29,29,1,0,3.5055518058022499,11841.754,3114,3697,31,114.800000000000000000,0,42697,86,12.69760635770189,12.69760635770189,0.004077587141201634,73,,,,
61,tamagochi,epic,29,29,1,0,11.9838961038961039,922.760,77,77,17,7920.000000000000000000,0,123651,73,14.842864082955453,14.842864082955453,0.19276446860981108,70,,,,
62,target,uncommon,29,29,1,0,5.0184132450331126,3788.902,720,755,14,358.000000000000000000,0,126812,68,50.93744145389343,50.93744145389343,0.07074644646374087,60,,,,
64,tomato,uncommon,29,29,1,0,4.8936567741935484,3792.584,753,775,7,398,0,7105,21,1.2509420585351385,1.2509420585351385,0.0016612776341768107,81,,,,
65,volleyball,common,29,29,1,0,3.5818422145328720,5175.762,1445,2000,32,170.000000000000000000,0,611499,231,200.23700186713842,200.23700186713842,0.13857231963123767,40,,,,
66,racoon,uncommon,29,29,1,0,6.3213172588832487,4981.198,741,788,31,395.800000000000000000,0,19290,56,5.649343205184474,5.649343205184474,0.007623944946267846,77,,,,
67,peach,rare,29,29,1,0,10.0392574257425743,1013.965,101,100,19,2730.000000000000000000,0,237387,77,174.24493573394025,174.24493573394025,1.725197383504359,41,,,,
68,watermelon,uncommon,29,29,1,0,3.8666516666666667,2319.991,600,600,31,540.000000000000000000,0,45054,49,71.57343109345963,71.57343109345963,0.11928905182243273,58,,,,
69,citrus,epic,29,29,1,0,15.5349800000000000,776.749,50,50,24,9500,0,345247,141,211.92148038939115,211.92148038939115,4.238429607787823,37,,,,
70,potion,epic,29,29,1,0,13.8953200000000000,694.766,50,50,6,11131.000000000000000000,0,498880,175,87.87375764190351,87.87375764190351,1.75747515283807,54,,,,
71,crlogo,legendary,29,29,1,0,18.3809000000000000,183.809,10,10,13,41200.000000000000000000,0,6827,7,1.1074262030001487,1.1074262030001487,0.11074262030001487,82,,,,
72,yinyang,uncommon,29,24,1,0,5.4071748998664887,4049.974,721,749,31,399,0,37029,42,11.357469764152688,11.357469764152688,0.01575238524847807,75,,,,
73,waffle2,legendary,29,29,1,0,17.0645714285714286,358.356,21,21,15,39000.000000000000000000,0,216851,106,129.5896449930469,129.5896449930469,6.170935475859376,47,,,,
74,snowman,epic,29,29,1,0,12.3663600000000000,618.318,50,50,13,8000,0,1070349,214,405.1938975713377,405.1938975713377,8.103877951426753,24,,,,
75,crosshair,common,29,24,1,0,3.1867030000000000,6373.406,2000,2000,31,283.800000000000000000,0,421130,263,376.110061426002,376.110061426002,0.188055030713001,27,,,,
76,xmasball2,common,29,29,1,0,3.8730078284547311,11378.897,2718,4016,8,55,0,171894,115,49.17718078418277,49.17718078418277,0.018093149663054735,61,,,,
77,xmasball1,rare,16,29,1,100.000000000000000000,10.6529200000000000,1065.292,100,100,15,6500.000000000000000000,3,3976211,1103,3345.054050393474,3345.054050393474,33.45054050393474,2,,,,
78,vase,common,29,29,1,0,2.8181030013642565,4131.339,1465,2000,31,161.400000000000000000,0,294185,197,90.23190587289038,90.23190587289038,0.06159174462313337,53,,,,
