id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9571000000000000,279.571,10,10,32,63785.714285714284000000,0,93032,93032,34,25.891708477395703,25.891708477395703,2.5891708477395703,58,,,,
4,8ball,common,29,29,1,0,4.2187175615212528,15086.134,3307,3576,10,98,0,196873,196873,148,20.791915029199906,20.791915029199906,0.006287243734260631,61,,,,
7,alien,common,29,29,1,0,4.7252690000000000,9450.538,2000,2000,17,177.200000000000000000,0,147229,147229,132,11.896173319757683,11.896173319757683,0.005948086659878842,65,100.000000000000000000,,,
8,angel,epic,29,29,1,0,15.3196600000000000,765.983,50,50,26,9950,0,728146,435494,119,248.1658078705941,248.1658078705941,4.9633161574118825,32,,,,
9,banana,rare,29,29,1,0,8.0735466666666667,1211.032,150,150,16,1920,0,11954,11954,5,1.3382772110552277,1.3382772110552277,0.008921848073701518,76,,,,
11,basketball,common,29,29,1,0,3.0961203878902554,13090.397,4030,4228,11,92,0,333575,332199,165,173.52646916887954,173.52646916887954,0.043058677213121475,38,,,,
12,beachball,common,29,29,1,0,3.6131538021726701,12638.812,3264,3498,11,98,0,9879,9879,7,1.6173514386605075,1.6173514386605075,0.0004955120829229496,75,,,,
13,bomb,uncommon,24,29,1,0,5.3611033333333333,3216.662,600,600,3,1667.600000000000000000,6,11166370,8509606,1322,4876.177289173566,7876.177289173566,13.12696214862261,1,200.000000000000000000,1000,3000,677.5
14,shades,epic,29,29,1,0,15.2176600000000000,760.883,50,50,13,9746.02857142857,0,1633302,1567365,155,413.0110960268377,413.0110960268377,8.260221920536754,25,,,,
15,bowling,common,29,29,1,0,2.9898340000000000,5979.668,1998,2000,16,150.000000000000000000,0,9613,9613,4,1.0578375138990908,1.0578375138990908,0.0005294482051547,77,,,,
17,ninja,rare,29,29,1,0,10.5299700000000000,1052.997,100,100,12,4120.000000000000000000,0,,,,,,,82,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7776266666666667,1466.644,150,150,23,6000,0,531378,531378,115,98.36491889768207,98.36491889768207,0.6557661259845472,45,,,,
19,button,common,29,29,1,0,3.8388244457759137,12813.996,3081,3338,9,98.800000000000000000,0,121506,121506,57,9.204191154642817,9.204191154642817,0.002987403815203771,69,,,,
20,cat,uncommon,29,29,1,0,5.3045150000000000,3182.709,600,600,4,980.000000000000000000,0,409816,395531,162,738.3024636856493,738.3024636856493,1.2305041061427489,16,,,,
21,cherry,rare,29,29,1,0,10.2636500000000000,1026.365,98,100,11,3300.000000000000000000,0,413217,413217,72,180.63631893916772,180.63631893916772,1.8432277442772216,37,,,,
22,egg,rare,29,29,1,0,13.9944900000000000,1399.449,100,100,25,8500,0,1034995,895989,200,657.7515310332388,657.7515310332388,6.577515310332388,17,,,,
23,coconut,rare,29,29,1,0,7.0191307420494700,1986.414,271,283,20,1550,0,209987,115695,44,13.05029983847141,13.05029983847141,0.04815608796483915,64,,,,
24,cute,uncommon,29,29,1,0,5.7200414364640884,4141.310,707,724,7,474,0,3451,3451,5,0.9715937901940624,0.9715937901940624,0.0013742486424244164,78,,,,
25,devil,epic,29,29,1,0,14.9389878048780488,1224.997,81,82,16,11699.600000000000000000,1,3165212,2845729,976,1130.0794461412754,1130.0794461412754,13.951598100509573,12,,,,
26,revolver,uncommon,29,29,1,0,4.1409550000000000,2484.573,600,600,14,600,1,2323503,1512683,434,1139.279176826645,1139.279176826645,1.8987986280444082,11,,,,
27,disguise,epic,29,29,1,0,12.3910540540540541,916.938,73,74,32,7380.000000000000000000,0,591999,284341,129,330.60798797106725,330.60798797106725,4.528876547548866,27,,,,
28,dog,uncommon,29,29,1,0,5.0510800000000000,3030.648,600,600,27,480.000000000000000000,0,402855,212925,67,63.37211343282416,63.37211343282416,0.10562018905470692,48,,,,
29,donut,uncommon,29,29,1,0,5.5132292225201072,4112.869,686,746,12,400,0,100526,100526,54,10.418926401539041,10.418926401539041,0.015187939360844083,66,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,25,6718.800000000000000000,0,,,,,,,83,,,,
31,bowie,rare,29,29,1,0,7.8888006329113924,2492.861,312,316,7,1314.000000000000000000,0,147044,147044,39,41.398735811444716,41.398735811444716,0.13268825580591256,55,,,,
32,eyeball,rare,29,17,1,0,7.0260937500000000,2023.515,275,288,23,1460.000000000000000000,0,,,,,,,84,,,,
33,eyeball2,epic,29,29,1,0,10.5324933333333333,789.937,71,75,14,5690.000000000000000000,0,2042,2042,1,0.3743664287387315,0.3743664287387315,0.005272766601953965,81,,,,
34,discoball,epic,29,29,1,0,14.3113773584905660,758.503,53,53,17,7820.000000000000000000,0,1226537,1148995,152,327.5885409591909,327.5885409591909,6.180915867154545,29,,,,
35,fishcake,uncommon,29,24,1,0,5.3524733242134063,3912.658,681,731,22,392.000000000000000000,0,108134,48081,21,21.24016415798165,21.24016415798165,0.03118966836708025,60,,,,
36,floater,rare,29,29,1,0,8.5565333333333333,1283.480,150,150,13,2920.000000000000000000,0,,,,,,,85,,,,
37,fox,uncommon,29,24,1,0,6.0476829268292683,4711.145,707,779,28,394,0,435502,215275,81,75.55118319326685,75.55118319326685,0.10686164525214548,46,,,,
38,fox777,legendary,29,29,1,0,31.8587142857142857,446.022,14,14,14,104100.000000000000000000,0,304206,304206,81,59.54145495823586,59.54145495823586,4.252961068445418,50,,,,
40,gamer,rare,29,29,1,0,10.3635500000000000,1036.355,99,100,22,5000,0,597154,597154,128,204.90055178853527,204.90055178853527,2.069702543318538,35,,,,
41,xmasball,epic,29,29,1,0,10.8031333333333333,648.188,60,60,19,8005.000000000000000000,0,139131,139131,59,26.39823059086642,26.39823059086642,0.43997050984777364,57,,,,
42,derp,uncommon,29,29,1,0,7.0957428571428571,2980.212,420,420,18,1360.000000000000000000,0,593167,374948,109,284.93231542407864,284.93231542407864,0.6784102748192349,31,,,,
43,moneybag,legendary,29,29,1,0,19.1939000000000000,191.939,10,10,4,41000.138000000000000000,0,43145,43758,3,9.14856547250005,9.14856547250005,0.914856547250005,70,,,,
44,moon,uncommon,29,24,1,0,6.2172516666666667,3730.351,600,600,24,4920,1,2076135,1511678,525,466.94788929887864,466.94788929887864,0.7782464821647977,24,,,,
45,bull,uncommon,29,29,1,0,6.3810492227979275,4926.170,738,772,30,450,0,328334,328334,57,60.61101180180779,60.61101180180779,0.08212874227887235,49,,,,
46,opencan,uncommon,29,29,1,0,5.0129200000000000,3007.752,600,600,31,480.000000000000000000,0,645213,405285,125,359.44168156666547,359.44168156666547,0.5990694692777758,26,,,,
47,candyswirl,rare,29,24,1,0,11.6833300000000000,1168.333,100,100,23,7000,0,789855,818786,327,501.0612650707398,501.0612650707398,5.010612650707398,22,,,,
48,royman,epic,29,29,1,0,12.5421400000000000,627.107,50,50,14,7200,0,,,,,,,86,,,,
49,panda,uncommon,29,29,1,0,5.5014633333333333,3300.878,599,600,6,566.000000000000000000,0,93141,93141,45,14.702111287093354,14.702111287093354,0.024544426188803595,62,,,,
50,melon,rare,29,29,1,0,7.0409703703703704,1901.062,266,270,14,1600,0,297410,297410,32,54.52513201331349,54.52513201331349,0.204981699298171,51,,,,
51,casinochip,uncommon,24,29,1,0,5.3405650000000000,3204.339,600,600,4,3500,2,5077500,4095884,1049,3834.3039432687638,4334.303943268764,7.22383990544794,3,300.000000000000000000,,500,
52,pizza,rare,29,29,1,0,8.8890933333333333,1333.364,150,150,30,2100.952380950940000000,0,29107,29107,14,4.420270510123606,4.420270510123606,0.029468470067490708,73,,,,
53,jackolantern,rare,29,29,1,0,9.6986600000000000,1454.799,150,150,17,2250,0,93195,93195,56,7.043519823821964,7.043519823821964,0.04695679882547976,71,,,,
