id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.8110000000000000,278.110,10,10,5,59900.000000000000000000,0,144781,37,17.80487958397416,17.80487958397416,1.780487958397416,69,,,,
4,8ball,common,29,29,1,0,4.2049927333705981,15045.464,3309,3578,6,100,0,454465,373,61.798330828756896,61.798330828756896,0.018675832828273464,48,,,,
7,alien,common,29,29,1,0,4.7113165000000000,9422.633,2000,2000,15,200,0,98451,54,11.53320092018514,11.53320092018514,0.00576660046009257,75,,,,
8,angel,epic,29,29,1,0,15.2759400000000000,763.797,50,50,29,10400,0,31214,14,7.690208695287765,7.690208695287765,0.1538041739057553,80,,,,
9,banana,rare,29,29,1,0,7.9912200000000000,1198.683,150,150,20,2000,0,171434,66,30.940167189133167,30.940167189133167,0.20626778126088777,65,,,,
11,basketball,common,29,29,1,0,3.1761372247823861,12405.992,3708,4235,11,96.000000000000000000,0,79079,93,20.64294515849437,20.64294515849437,0.005567137313509809,68,,,,
12,beachball,common,29,29,1,0,3.6091411831951986,12628.385,3265,3499,15,118.800000000000000000,0,130022,81,15.718469861020203,15.718469861020203,0.004814232729255805,70,,,,
13,bomb,uncommon,29,29,1,0,5.2730883333333333,3163.853,600,600,22,1230.000000000000000000,2,3510210,702,1546.9995539624174,1546.9995539624174,2.578332589937362,9,,,,
14,shades,epic,29,29,1,0,14.9871600000000000,749.358,50,50,25,10333,1,1636660,408,633.6872046045212,633.6872046045212,12.673744092090423,17,,,,
15,bowling,common,29,29,1,0,2.9578630000000000,5915.726,1998,2000,6,198.000000000000000000,0,64717,71,8.800121765856217,8.800121765856217,0.004404465348276385,79,,,,
17,ninja,rare,29,29,1,0,10.4873000000000000,1048.730,100,100,23,5020.000000000000000000,0,4595,6,1.5722077689411291,1.5722077689411291,0.015722077689411293,84,,,,
