id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,30.3097000000000000,303.097,10,10,15,63900.000000000000000000,0,202819,78,46.85182670711189,46.85182670711189,4.685182670711189,62,,,,
4,8ball,common,29,29,1,0,4.1844779575892857,14997.169,3315,3584,3,150,0,743105,520,273.4971881009726,273.4971881009726,0.08250292250406413,32,,,,
7,alien,common,29,24,1,0,4.6686395000000000,9337.279,2000,2000,5,300,0,246190,214,68.66706726046256,68.66706726046256,0.034333533630231276,54,,,,
8,angel,epic,29,29,1,0,17.9169400000000000,895.847,50,50,7,30000,0,174037,60,34.981114589423335,34.981114589423335,0.6996222917884667,64,,,,
9,banana,rare,29,29,1,0,7.9298200000000000,1189.473,150,150,33,2129.600000000000000000,0,126263,80,19.952038865039743,19.952038865039743,0.13301359243359828,69,,,,
11,basketball,common,29,29,1,0,3.8054705664568678,10278.576,2502,4282,7,100.998000000000000000,0,256886,385,60.00442209897334,60.00442209897334,0.02398258277337064,58,,,,
12,beachball,common,29,29,1,0,3.5924559201141227,12591.558,3271,3505,11,97.000000000000000000,0,658034,226,220.6840339227803,220.6840339227803,0.06746684008645071,38,,,,
13,bomb,uncommon,24,24,1,0,5.0865783333333333,3051.947,600,600,6,1070.000000000000000000,2,4677865,1326,1709.0316091745742,1709.0316091745742,2.848386015290957,14,100.000000000000000000,,,
14,shades,epic,29,29,1,0,14.7836000000000000,739.180,50,50,8,10000,0,1419197,299,534.9831625782047,534.9831625782047,10.699663251564093,24,,,,
15,bowling,common,29,29,1,0,2.8971745000000000,5794.349,1998,2000,4,244.000000000000000000,0,283422,326,62.76363120949177,62.76363120949177,0.031413228833579464,55,,,,
17,ninja,rare,29,29,1,0,10.4284600000000000,1042.846,100,100,28,5650.000000000000000000,0,148569,47,39.72835763440702,39.72835763440702,0.3972835763440702,63,,,,
18,burger,rare,24,29,1,300.000000000000000000,9.3810733333333333,1407.161,150,150,32,4485.000000000000000000,2,6753498,1473,5375.111178415603,6375.111178415603,42.50074118943735,2,,1000,,
19,button,common,29,29,1,0,3.8157943198804185,12763.832,3087,3345,25,100.000000000000000000,0,80801,124,14.759596649778313,14.759596649778313,0.004781210446964144,76,,,,
20,cat,uncommon,29,29,1,0,5.1447666666666667,3086.860,600,600,19,1025,0,2102323,486,902.9302770501969,902.9302770501969,1.5048837950836615,21,,,,
21,cherry,rare,29,29,1,0,10.1610900000000000,1016.109,98,100,19,3662.000000000000000000,0,373444,158,204.96884378492717,204.96884378492717,2.09151881413191,39,,,,
22,egg,rare,29,29,1,0,13.7168300000000000,1371.683,100,100,24,8000,1,1291920,290,903.9774579663517,903.9774579663517,9.039774579663517,20,,,,
23,coconut,rare,29,29,1,0,6.8590381944444444,1975.403,275,288,6,1500,0,82835,57,9.898089021841676,9.898089021841676,0.035993050988515185,79,,,,
24,cute,uncommon,29,29,1,0,5.6484455172413793,4095.123,708,725,23,700,0,66313,86,18.919291083377093,18.919291083377093,0.026722162547142787,70,,,,
25,devil,epic,29,29,1,0,14.0033333333333333,1134.270,80,81,14,8640.000000000000000000,0,1425921,515,857.5893168133216,857.5893168133216,10.71986646016652,22,,,,
26,revolver,uncommon,29,29,1,0,3.9773083333333333,2386.385,600,600,16,1070.000000000000000000,0,616671,367,362.7699930497465,362.7699930497465,0.6046166550829108,27,,,,
27,disguise,epic,29,29,1,0,12.1696400000000000,912.723,74,75,12,8000,0,1587722,304,254.72962251775516,254.72962251775516,3.4422921961858806,35,,,,
28,dog,uncommon,29,29,1,0,4.8148116666666667,2888.887,600,600,18,500,0,864111,411,416.7429736750542,416.7429736750542,0.694571622791757,25,,,,
29,donut,uncommon,29,29,1,0,5.4367676902536716,4072.139,689,749,20,333,0,274587,154,179.51742455672021,179.51742455672021,0.26054778600394807,41,,,,
30,baseball,epic,29,29,1,0,9.6165571428571429,673.159,69,70,23,6718.800000000000000000,0,5685,9,1.6219469758418228,1.6219469758418228,0.023506477910751056,86,,,,
31,bowie,rare,29,29,1,0,7.7924161490683230,2509.158,318,322,10,1466.666666666,0,384493,153,199.95034188996982,199.95034188996982,0.6287746600313516,40,,,,
32,eyeball,rare,29,29,1,0,6.9928075601374570,2034.907,278,291,27,1493.323809523800000000,0,31950,39,7.871631678425164,7.871631678425164,0.02831522186483872,82,,,,
33,eyeball2,epic,29,29,1,0,10.3220133333333333,774.151,71,75,23,6640.000000000000000000,0,70226,48,20.035681323741045,20.035681323741045,0.2821926947005781,68,,,,
34,discoball,epic,29,24,1,0,13.8466415094339623,733.872,53,53,21,8709.332000000000000000,0,430199,165,262.61791946893317,262.61791946893317,4.955055084319493,34,,,,
35,fishcake,uncommon,29,29,1,0,5.3180952380952381,3908.800,685,735,13,300.000000000000000000,0,86012,86,17.97852645818601,17.97852645818601,0.02624602402654892,73,,,,
36,floater,rare,29,29,1,0,8.5111066666666667,1276.666,150,150,6,3240,0,32379,20,3.8690194294466305,3.8690194294466305,0.025793462862977536,85,,,,
37,fox,uncommon,29,29,1,0,5.9417182389937107,4723.666,723,795,23,400,0,51770,45,14.770131035942157,14.770131035942157,0.020428950257181406,75,,,,
38,fox777,legendary,29,24,1,0,30.7421428571428571,430.390,14,14,23,150000,2,4184935,629,1990.2963225561057,1990.2963225561057,142.16402303972183,10,,,,
40,gamer,rare,29,29,1,0,9.5579200000000000,955.792,99,100,22,2720.000000000000000000,0,314113,136,88.43494419893226,88.43494419893226,0.8932822646356794,46,,,,
41,xmasball,epic,29,29,1,0,10.7425666666666667,644.554,60,60,23,6980.000000000000000000,0,50410,63,14.38211909449187,14.38211909449187,0.23970198490819783,77,,,,
42,derp,uncommon,29,29,1,0,7.0290452380952381,2952.199,420,420,5,1890.000000000000000000,0,685617,316,721.0394392907867,721.0394392907867,1.7167605697399684,23,,,,
43,moneybag,legendary,29,29,1,0,18.2343000000000000,182.343,10,10,32,38800.138000000000000000,0,364346,261,69.73706732090173,69.73706732090173,6.973706732090173,53,,,,
44,moon,uncommon,29,24,1,0,5.8642266666666667,3518.536,600,600,16,5100.000000000000000000,0,3571904,1498,2796.4835631725964,2796.4835631725964,4.660805938620994,6,400.000000000000000000,,,
45,bull,uncommon,29,29,1,0,6.3270219922380336,4890.788,739,773,20,620,0,650451,238,342.6538625072041,342.6538625072041,0.4636723443940516,28,,,,
46,opencan,uncommon,29,29,1,0,4.9375950000000000,2962.557,600,600,6,598,0,654866,332,78.52505462496926,78.52505462496926,0.13087509104161543,50,,,,
47,candyswirl,rare,19,24,1,0,10.8642500000000000,1086.425,100,100,13,7881.400000000000000000,1,2362292,1229,1667.331967959138,1667.331967959138,16.67331967959138,18,,,,
48,royman,epic,29,29,1,0,12.0933800000000000,604.669,50,50,23,7000,0,31415,15,8.962790544603493,8.962790544603493,0.17925581089206985,81,,,,
49,panda,uncommon,29,29,1,0,5.3758600000000000,3225.516,599,600,6,875,0,1322694,578,288.29845646478714,288.29845646478714,0.4812995934303625,31,,,,
50,melon,rare,29,29,1,0,7.0105218978102190,1920.883,270,274,31,2100,0,527847,324,81.9353541404331,81.9353541404331,0.30346427459419667,48,,,,
51,casinochip,uncommon,29,29,1,0,4.9635133333333333,2978.108,600,600,28,1600,1,1586195,749,1265.759258184546,1265.759258184546,2.10959876364091,19,,,,
52,pizza,rare,29,29,1,0,8.8040600000000000,1320.609,150,150,25,3220.000000000000000000,2,2483218,572,1784.7498216290833,1784.7498216290833,11.898332144193889,12,,,,
53,jackolantern,rare,29,29,1,0,9.5790333333333333,1436.855,150,150,31,2491.000000000000000000,0,558102,283,86.63170391511932,86.63170391511932,0.5775446927674621,47,,,,
54,waffle,uncommon,29,29,1,0,5.1161065573770492,3744.990,683,732,10,333,0,128256,64,30.210485893059094,30.210485893059094,0.044232043767290036,65,,,,
55,saturn,common,29,29,1,0,3.6589735000000000,7317.947,1996,2000,18,300,0,308528,348,61.021654630131586,61.021654630131586,0.030571971257580956,57,,,,
56,marble,rare,29,29,1,0,7.3039166666666667,2103.528,279,288,12,1700,0,129052,100,11.374980226287306,11.374980226287306,0.040770538445474215,78,,,,
57,skull,uncommon,29,29,1,0,6.5461087289433384,4274.609,651,653,28,1184.095238095200000000,0,683663,336,264.7059953795461,264.7059953795461,0.4066144322266453,33,,,,
58,skullpatch,rare,29,29,1,0,8.9152266666666667,1337.284,150,150,17,2114.000000000000000000,0,263474,93,55.14673604813768,55.14673604813768,0.36764490698758456,60,,,,
59,football,common,19,17,1,0,3.8705200000000000,7741.040,1997,2000,7,1050,1,5838618,2999,2682.8113478731243,2682.8113478731243,1.3434208051442786,7,600.000000000000000000,,,
60,starballoon,common,29,29,1,0,3.4210653825284862,12610.047,3423,3687,12,110,0,204463,227,18.20609357623077,18.20609357623077,0.00531875360100227,72,,,,
61,tamagochi,epic,29,29,1,0,11.9508552631578947,908.265,76,76,33,7713.000000000000000000,0,148734,53,23.50289909595702,23.50289909595702,0.30924867231522396,66,,,,
62,target,uncommon,29,29,1,0,5.0228348868175766,3772.149,716,751,23,350,0,369045,125,105.28960803861838,105.28960803861838,0.1470525251936011,45,,,,
64,tomato,uncommon,29,29,1,0,4.9155078328981723,3765.279,744,766,23,301.200000000000000000,0,33426,33,9.536534672733293,9.536534672733293,0.012817922947222168,80,,,,
65,volleyball,common,29,29,1,0,3.0256915000000000,6051.383,2000,2000,8,278.000000000000000000,0,302478,190,58.09746276032799,58.09746276032799,0.029048731380163995,59,,,,
66,racoon,uncommon,29,29,1,0,6.3265745222929936,4966.361,739,785,3,420,0,75710,84,17.773444682951908,17.773444682951908,0.024050669395063475,74,,,,
67,peach,rare,29,29,1,0,10.0500300000000000,1005.003,100,100,7,3099.800000000000000000,0,88274,34,20.93156651777918,20.93156651777918,0.20931566517779182,67,,,,
68,watermelon,uncommon,29,29,1,0,4.0707366666666667,2442.442,600,600,4,650,0,281690,218,48.020358182158596,48.020358182158596,0.08003393030359766,61,,,,
69,citrus,epic,29,29,1,0,15.3016200000000000,765.081,50,50,11,9000,0,373665,229,71.86041992237632,71.86041992237632,1.4372083984475266,51,,,,
70,potion,epic,29,29,1,0,13.5962800000000000,679.814,50,50,17,10500,0,629547,233,313.7922315918194,313.7922315918194,6.275844631836389,30,,,,
71,crlogo,legendary,29,21,1,0,29.8426000000000000,298.426,10,10,6,68733.333320000000000000,2,8384287,2761,4607.000836966898,5107.000836966898,510.7000836966898,3,1200.000000000000000000,500,239.16666666666666,
72,yinyang,uncommon,29,29,1,0,5.4044011142061281,3880.360,690,718,23,351.000000000000000000,0,23545,24,6.717456736358085,6.717456736358085,0.0097354445454465,84,,,,
73,waffle2,legendary,29,29,1,0,16.8208333333333333,302.775,18,18,8,40500,0,319106,163,61.293912592628466,61.293912592628466,3.405217366257137,56,,,,
74,snowman,epic,29,29,1,0,12.1304000000000000,606.520,50,50,21,8571.419047619047,0,249595,100,70.10622291578635,70.10622291578635,1.4021244583157269,52,,,,
75,crosshair,common,29,24,1,0,3.2823105000000000,6564.621,2000,2000,33,1000,3,5962917,1717,4170.329126186696,4170.329126186696,2.085164563093348,4,,,,
76,xmasball2,common,29,24,1,0,3.8473031704095112,11649.634,2808,4000,23,55,0,570232,457,142.07593027456028,142.07593027456028,0.050596841265869046,43,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.2674100000000000,1126.741,100,100,31,10323.000000000000000000,1,2323034,531,1667.8415500694198,1667.8415500694198,16.678415500694197,16,,,,
78,vase,common,29,29,1,0,2.4424315000000000,4884.863,1999,2000,12,160.000000000000000000,0,213202,101,18.792180936404755,18.792180936404755,0.009400790863634195,71,,,,
79,ufo,uncommon,29,24,1,0,5.7014066666666667,3420.844,600,600,16,3200.000000000000000000,1,4817213,1541,2530.547672687265,2530.547672687265,4.217579454478774,8,200.000000000000000000,,,
80,wheeee,rare,29,24,1,0,8.4537200000000000,1268.058,150,150,3,2795.000000000000000000,1,3523238,869,1667.5414406029963,1667.5414406029963,11.11694293735331,17,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.3014600000000000,865.073,50,50,24,16000,0,495099,75,241.4982483772497,241.4982483772497,4.829964967544994,36,100.000000000000000000,,,
83,ape,epic,24,24,1,0,15.7132000000000000,785.660,50,50,7,21000.000000000000000000,6,7815148,1779,6566.000532720794,9566.000532720795,191.32001065441588,1,200.000000000000000000,3000,551,1000
84,ghost,epic,29,21,1,0,20.9921400000000000,1049.607,50,50,32,45200.000000000000000000,0,6942944,1987,3401.066175611125,3401.066175611125,68.0213235122225,5,1200.000000000000000000,,85.66666666666667,
85,diver,rare,24,29,1,0,7.9344000000000000,1190.160,150,150,24,5650.000000000000000000,1,3499094,857,1737.6486899348597,1737.6486899348597,11.584324599565731,13,,,,
86,cobra,legendary,29,29,1,0,32.4289000000000000,324.289,10,10,22,75400.000000000000000000,2,3213396,707,2445.2113296965576,2445.2113296965576,244.52113296965575,9,,,,
87,clock,common,29,29,1,0,2.3480285000000000,4696.057,2000,2000,12,172.000000000000000000,0,81354,118,7.170753969945274,7.170753969945274,0.003585376984972637,83,,,,
88,ladybug,rare,24,29,1,0,9.5167066666666667,1427.506,150,150,18,4492.190000000000000000,1,2583717,782,1695.4318816431087,1695.4318816431087,11.302879210954059,15,,,,
89,dragon,epic,29,24,1,100.000000000000000000,15.5837000000000000,779.185,50,50,31,12000,0,507417,160,78.76409564111597,78.76409564111597,1.5752819128223194,49,,,,
90,virus,common,29,29,1,0,2.4533360000000000,4906.672,2000,2000,10,195,0,616249,328,327.4625193574708,327.4625193574708,0.1637312596787354,29,,,,
91,cougar,rare,29,29,1,0,9.1113733333333333,1366.706,150,150,33,4285.71,2,3586762,1265,1959.400310846491,1959.400310846491,13.062668738976607,11,,,,
92,botroyale,legendary,29,29,1,0,21.8357000000000000,218.357,10,10,29,47240.000000000000000000,0,1163901,480,385.5662009160071,385.5662009160071,38.55662009160071,26,,,,
93,mummy,epic,29,29,1,0,14.2189800000000000,710.949,50,50,8,11500,0,722934,264,140.22028687662666,140.22028687662666,2.8044057375325333,44,,,,
94,frankie,rare,29,29,1,0,6.5280066666666667,979.201,150,150,24,2518.200000000000000000,0,679286,267,148.82378231055085,148.82378231055085,0.9921585487370057,42,,,,
95,earth,uncommon,29,29,1,0,2.5946800000000000,1556.808,600,600,5,800,0,325528,290,236.17960244755616,236.17960244755616,0.39363267074592695,37,,,,
