id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,32.4504000000000000,324.504,10,10,13,79524.138000000000000000,0,376820,90,288.0674557497133,288.0674557497133,28.80674557497133,34,,,,
4,8ball,common,29,24,1,0,4.1583917037861915,14936.943,3323,3592,4,136.200000000000000000,0,573618,398,222.08649112640097,222.08649112640097,0.06683313004104754,38,,,,
7,alien,common,29,29,1,0,4.6117705000000000,9223.541,2000,2000,15,200.000000000000000000,0,236640,173,71.64231496103864,71.64231496103864,0.03582115748051932,56,,,,
8,angel,epic,29,29,1,0,17.6283800000000000,881.419,50,50,23,21060.000000000000000000,0,1851041,639,1374.5787337061017,1374.5787337061017,27.491574674122035,13,,,,
9,banana,rare,29,29,1,0,7.8690133333333333,1180.352,150,150,23,1987.000000000000000000,0,76836,33,21.108639241423234,21.108639241423234,0.14072426160948823,76,,,,
11,basketball,common,29,29,1,0,3.9105283018867925,9948.384,2345,4295,23,120,0,70367,79,19.33145423370853,19.33145423370853,0.008243690504779758,78,,,,
12,beachball,common,29,29,1,0,3.6177044405997693,12546.199,3232,3515,22,111.800000000000000000,0,226676,351,62.105108333673755,62.105108333673755,0.019215689459676284,59,,,,
13,bomb,uncommon,29,24,1,0,5.0192816666666667,3011.569,600,600,6,699.600000000000000000,3,2125966,584,2004.5460779641087,2004.5460779641087,3.3409101299401813,10,,,,
14,shades,epic,29,29,1,0,14.5843400000000000,729.217,50,50,25,12510.000000000000000000,0,4836,6,1.2523338858075375,1.2523338858075375,0.02504667771615075,84,,,,
15,bowling,common,29,29,1,0,3.4911337767923134,4723.504,1351,2000,33,170.000000000000000000,0,124699,220,34.747764720982346,34.747764720982346,0.025720033102133492,66,,,,
17,ninja,rare,29,29,1,0,10.3408500000000000,1034.085,100,100,18,3500,0,158272,116,55.589293254169746,55.589293254169746,0.5558929325416975,61,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.1991733333333333,1379.876,150,150,5,3500,0,417706,180,105.2823536364544,105.2823536364544,0.7018823575763626,48,,,,
19,button,common,29,29,1,0,3.8173229166666667,12826.205,3100,3360,5,125,0,137492,130,31.302844562194753,31.302844562194753,0.010097691794256371,67,,,,
20,cat,uncommon,29,29,1,0,5.0902233333333333,3054.134,600,600,5,800.000000000000000000,0,1748686,476,959.5321599744177,959.5321599744177,1.5992202666240296,17,,,,
21,cherry,rare,29,17,1,0,9.8670700000000000,986.707,98,100,30,3660.000000000000000000,0,1012628,1095,675.4819094747793,675.4819094747793,6.892672545661013,24,,,,
22,egg,rare,29,21,1,0,13.4025200000000000,1340.252,100,100,7,8500.000000000000000000,0,997104,800,900.5548108276838,900.5548108276838,9.005548108276837,18,,,,
23,coconut,rare,29,29,1,0,6.8339515570934256,1975.012,276,289,31,1800,0,619962,175,240.33237672627337,240.33237672627337,0.8707694808922948,37,,,,
24,cute,uncommon,29,29,1,0,5.6116107290233838,4079.641,710,727,23,568.000000000000000000,0,135883,123,37.29840100481722,37.29840100481722,0.052532959161714396,65,,,,
25,devil,epic,29,29,1,0,13.6575555555555556,1106.262,80,81,14,9300,0,839722,325,548.7635155868711,548.7635155868711,6.859543944835889,28,,,,
26,revolver,uncommon,29,29,1,0,3.8172300000000000,2290.338,600,600,30,731.600000000000000000,0,500075,386,136.55690260519,136.55690260519,0.22759483767531669,45,,,,
27,disguise,epic,29,29,1,0,12.2261298701298701,941.412,76,77,25,5957.000000000000000000,2,2483356,457,1678.2890959663,1678.2890959663,22.082751262714474,11,,,,
28,dog,uncommon,29,29,1,0,4.6626566666666667,2797.594,600,600,20,525,0,191296,147,50.86894220724868,50.86894220724868,0.08478157034541446,62,,,,
29,donut,uncommon,29,29,1,0,5.4353390728476821,4103.681,695,755,23,387.000000000000000000,0,316617,120,86.98206609794498,86.98206609794498,0.12515405193948917,51,,,,
30,baseball,epic,29,29,1,0,9.6332816901408451,683.963,70,71,17,5178.800000000000000000,0,7267,12,1.319821072815703,1.319821072815703,0.01885458675451004,83,,,,
31,bowie,rare,29,29,1,0,7.6438283132530120,2537.751,328,332,23,1800,0,83420,66,23.38128540320616,23.38128540320616,0.07128440671709195,74,,,,
32,eyeball,rare,29,29,1,0,6.9954677966101695,2063.663,282,295,23,1499,0,99117,81,27.22974901988842,27.22974901988842,0.09655939368754758,71,,,,
33,eyeball2,epic,29,29,1,0,10.6357500000000000,808.317,72,76,17,6420.000000000000000000,0,72897,23,13.239438109955456,13.239438109955456,0.18388108486049246,79,,,,
34,discoball,epic,29,29,1,0,13.7302641509433962,727.704,53,53,4,9560.000000000000000000,1,1294384,125,714.668715314805,714.668715314805,13.484315383298208,22,,,,
35,fishcake,uncommon,29,29,1,0,5.3340415549597855,3979.195,696,746,12,466.000000000000000000,0,88212,70,28.32903976611271,28.32903976611271,0.040702643342115964,69,,,,
36,floater,rare,24,29,1,0,8.4384666666666667,1265.770,150,150,7,8000,2,4161746,942,3659.2038965273623,4159.203896527362,27.728025976849082,3,500,500.000000000000000000,108,
37,fox,uncommon,29,29,1,0,5.9056306532663317,4700.882,723,796,23,556.000000000000000000,0,162176,71,43.56955871786056,43.56955871786056,0.06026218356550561,64,,,,
38,fox777,legendary,29,29,1,0,29.9607142857142857,419.450,14,14,24,133000,1,4090022,1225,2224.515800423242,2224.515800423242,158.8939857445173,9,,,,
40,gamer,rare,29,24,1,0,9.4101500000000000,941.015,99,100,27,3370.000000000000000000,1,984886,512,837.1704739508309,837.1704739508309,8.456267413644756,19,,,,
41,xmasball,epic,29,29,1,0,10.7072500000000000,642.435,59,60,17,5980.000000000000000000,0,120001,98,114.01916903495551,114.01916903495551,1.9325282887280595,46,,,,
42,derp,uncommon,29,29,1,0,6.9188880952380952,2905.933,420,420,19,899,0,531558,410,208.23274331506087,208.23274331506087,0.4957922459882402,40,,,,
43,moneybag,legendary,29,29,1,0,18.2915000000000000,182.915,10,10,24,40000,0,374380,228,177.46834876116534,177.46834876116534,17.746834876116534,41,,,,
44,moon,uncommon,29,19,1,0,5.5398233333333333,3323.894,600,600,24,4150.000000000000000000,3,3430906,1634,2330.630224311988,2330.630224311988,3.8843837071866467,7,,300.000000000000000000,,
45,bull,uncommon,29,21,1,0,6.1704826254826255,4794.465,743,777,27,699,0,386610,151,344.5290084863062,344.5290084863062,0.4636998768321753,32,,,,
46,opencan,uncommon,29,29,1,0,4.8843200000000000,2930.592,600,600,29,603.000000000000000000,0,430028,139,104.60017380667836,104.60017380667836,0.1743336230111306,49,,,,
47,candyswirl,rare,29,24,1,0,10.5007600000000000,1050.076,100,100,26,6778.500000000000000000,0,711773,528,564.9824384775741,564.9824384775741,5.649824384775741,27,,,,
48,royman,epic,29,29,1,0,12.5483200000000000,627.416,50,50,3,7500,0,22695,22,9.142990277185811,9.142990277185811,0.18285980554371623,80,,,,
49,panda,uncommon,29,29,1,0,5.3200900000000000,3192.054,599,600,3,700.000000000000000000,0,448152,304,286.2462944681164,286.2462944681164,0.4778736134693095,35,,,,
50,melon,rare,29,29,1,0,6.9881178571428571,1956.673,276,280,23,1540.000000000000000000,0,273612,90,75.16759071430441,75.16759071430441,0.2723463431677696,54,,,,
51,casinochip,uncommon,29,29,1,0,4.7316100000000000,2838.966,600,600,23,800.000000000000000000,0,76689,89,21.068254916777377,21.068254916777377,0.03511375819462896,77,,,,
52,pizza,rare,29,29,1,0,8.6716066666666667,1300.741,150,150,3,3890.138000000000000000,0,1046161,666,765.2549700028301,765.2549700028301,5.101699800018867,20,,,,
53,jackolantern,rare,29,29,1,0,9.5278933333333333,1429.184,150,150,23,2230.000000000000000000,0,313598,121,86.15267646457185,86.15267646457185,0.5743511764304791,52,,,,
54,waffle,uncommon,29,29,1,0,5.1246337837837838,3792.229,691,740,18,656.200000000000000000,0,240978,182,84.63781786925871,84.63781786925871,0.12248598823337006,53,,,,
55,saturn,common,29,29,1,0,3.6093585576434738,7106.827,1964,2000,20,169.000000000000000000,0,499038,490,301.7820434442932,301.7820434442932,0.15365684493090284,33,,,,
56,marble,rare,29,29,1,0,7.2134325259515571,2084.682,279,289,23,1500,0,248644,114,68.30829943704043,68.30829943704043,0.24483261446967897,58,,,,
57,skull,uncommon,29,29,1,0,6.5103307810107198,4251.246,651,653,7,1500,0,737278,313,369.41085538461846,369.41085538461846,0.5674513907597826,30,,,,
58,skullpatch,rare,29,29,1,0,8.8492333333333333,1327.385,150,150,27,2490.000000000000000000,0,342357,99,244.07149893573975,244.07149893573975,1.627143326238265,36,,,,
59,football,common,29,29,1,0,3.5119030000000000,7023.806,1997,2000,3,300,0,1644162,1285,1102.4345430809756,1102.4345430809756,0.5520453395498125,16,,,,
60,starballoon,common,29,29,1,0,3.5030523238819059,11983.942,3157,3693,12,147.933,0,223857,284,169.74425367245212,169.74425367245212,0.05376758114426738,42,,,,
61,tamagochi,epic,29,29,1,0,11.8778026315789474,902.713,76,76,19,8920.000000000000000000,0,42931,24,8.642441674409895,8.642441674409895,0.11371633782118283,81,,,,
