id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,28.6058000000000000,286.058,10,10,7,61918.914285714284000000,1,2704822,2452534,739,1196.7268160770839,1196.7268160770839,119.67268160770838,10,,,,
4,8ball,common,29,29,1,0,4.2222821588366890,15098.881,3307,3576,15,83.600000000000000000,0,315298,180583,118,269.73422947022465,269.73422947022465,0.08156462941343352,28,,,,
7,alien,common,29,29,1,0,4.7224215000000000,9444.843,2000,2000,14,170.000000000000000000,0,50926,50904,11,9.382827754253153,9.382827754253153,0.004691413877126576,64,,,,
8,angel,epic,29,29,1,0,15.3587000000000000,767.935,50,50,30,9000.000000000000000000,0,,,,,,,82,,,,
9,banana,rare,29,29,1,0,8.0914266666666667,1213.714,150,150,25,1948.400000000000000000,0,45417,45417,18,83.52414907736167,83.52414907736167,0.5568276605157445,44,,,,
11,basketball,common,29,29,1,0,3.1027045884578997,13118.235,4030,4228,24,88.000000000000000000,0,24947,24947,24,3.045722217879215,3.045722217879215,0.0007557623369427333,73,,,,
12,beachball,common,29,29,1,0,3.6106790617848970,12622.934,3262,3496,9,88.600000000000000000,0,8930,8930,10,2.587524873133735,2.587524873133735,0.0007932326404456575,75,,,,
13,bomb,uncommon,29,29,1,0,5.3855750000000000,3231.345,600,600,16,2100,2,7377990,5620497,578,1901.5235884423118,1901.5235884423118,3.1692059807371864,4,500.000000000000000000,102,,
14,shades,epic,29,29,1,0,15.3333000000000000,766.665,50,50,6,9315.605714285714000000,0,872104,872104,259,602.9573440384385,602.9573440384385,12.05914688076877,20,,,,
15,bowling,common,29,29,1,0,3.0101440000000000,6020.288,1998,2000,32,166.000000000000000000,0,3166,3166,4,0.8737780788179359,0.8737780788179359,0.00043732636577474267,79,,,,
17,ninja,rare,29,29,1,0,10.5623200000000000,1056.232,100,100,25,4000.000000000000000000,0,27740,27740,20,5.259870954426527,5.259870954426527,0.05259870954426527,69,,,,
