id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,30.2706000000000000,302.706,10,10,15,63900.000000000000000000,0,296086,105,75.99825996160753,75.99825996160753,7.599825996160753,54,,,,
4,8ball,common,29,24,1,0,4.1837067522321429,14994.405,3315,3584,23,117.600000000000000000,0,286798,282,44.97723168447827,44.97723168447827,0.01356779236334186,65,,,,
7,alien,common,29,29,1,0,4.6668000000000000,9333.600,2000,2000,23,276.200000000000000000,0,433986,278,206.37591140007694,206.37591140007694,0.10318795570003847,44,,,,
8,angel,epic,29,29,1,0,17.9148600000000000,895.743,50,50,33,30000,0,545710,133,89.31873617893118,89.31873617893118,1.7863747235786236,52,100.000000000000000000,,,
9,banana,rare,29,29,1,0,7.9270333333333333,1189.055,150,150,11,2129.600000000000000000,0,382769,119,226.61826009780873,226.61826009780873,1.5107884006520582,42,,,,
11,basketball,common,29,24,1,0,3.8309958739684921,10213.435,2467,4283,3,103.600000000000000000,0,341087,330,215.10717030115026,215.10717030115026,0.08719382663200254,43,,,,
12,beachball,common,29,29,1,0,3.5918259629101284,12589.350,3271,3505,23,97.000000000000000000,0,516167,273,131.99939570061633,131.99939570061633,0.040354446866590135,48,,,,
13,bomb,uncommon,19,24,1,0,5.0845533333333333,3050.732,600,600,31,775.000000000000000000,3,5620996,1279,3988.3515217373483,3988.3515217373483,6.647252536228914,4,,,,
14,shades,epic,29,29,1,0,14.7686600000000000,738.433,50,50,23,10000,0,168510,106,42.704847184720414,42.704847184720414,0.8540969436944083,68,,,,
15,bowling,common,29,29,1,0,2.8949590000000000,5789.918,1998,2000,23,159.998000000000000000,0,218687,231,44.46628013185352,44.46628013185352,0.02225539546138815,67,,,,
17,ninja,rare,29,29,1,0,10.4275800000000000,1042.758,100,100,28,5650.000000000000000000,0,14360,16,3.515701540137731,3.515701540137731,0.035157015401377306,85,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.3509400000000000,1402.641,150,150,7,4085.000000000000000000,0,3076369,608,1276.4554502594167,1276.4554502594167,8.509703001729445,14,,,,
19,button,common,29,29,1,0,3.8173658099222953,12772.906,3088,3346,14,98.000000000000000000,0,171579,163,46.98510688684688,46.98510688684688,0.01521538435454886,64,,,,
20,cat,uncommon,29,29,1,0,5.1433483333333333,3086.009,600,600,21,1150,0,1183798,526,627.8406535129097,627.8406535129097,1.046401089188183,22,,,,
21,cherry,rare,29,29,1,0,10.1586400000000000,1015.864,98,100,26,3662.000000000000000000,0,423532,181,226.75822508978348,226.75822508978348,2.3138594396916683,41,,,,
22,egg,rare,29,29,1,0,13.7139500000000000,1371.395,100,100,22,8000,0,1113285,294,693.9395304776511,693.9395304776511,6.939395304776512,21,,,,
23,coconut,rare,29,29,1,0,6.8577187500000000,1975.023,275,288,6,1500,0,50510,34,14.692000296992385,14.692000296992385,0.05342545562542685,78,,,,
24,cute,uncommon,29,24,1,0,5.6470468965517241,4094.109,708,725,23,500,0,50586,64,9.734145133332099,9.734145133332099,0.013748792561203529,81,,,,
25,devil,epic,29,29,1,0,13.9749876543209877,1131.974,80,81,24,8640.000000000000000000,0,1078780,415,284.1967365981777,284.1967365981777,3.5524592074772214,37,,,,
26,revolver,uncommon,29,24,1,0,3.9727783333333333,2383.667,600,600,7,1070.000000000000000000,1,3282829,985,2264.5927069741456,2264.5927069741456,3.7743211782902426,10,,,,
27,disguise,epic,29,29,1,0,12.1636800000000000,912.276,74,75,18,8000,0,556058,104,302.2970589414451,302.2970589414451,4.085095391100609,35,,,,
28,dog,uncommon,29,24,1,0,4.8127050000000000,2887.623,600,600,21,530,0,424804,305,248.01992015414203,248.01992015414203,0.41336653359023673,40,,,,
29,donut,uncommon,29,29,1,0,5.4350160213618158,4070.827,689,749,23,327.800000000000000000,0,143359,105,49.99907637145138,49.99907637145138,0.07256759995856514,62,,,,
30,baseball,epic,29,29,1,0,9.6149428571428571,673.046,69,70,23,6718.800000000000000000,0,11831,11,2.3820963855502475,2.3820963855502475,0.03452313602246736,86,,,,
31,bowie,rare,29,29,1,0,7.7944458204334365,2517.606,319,323,23,1466.666666666,0,312622,207,63.77681742639544,63.77681742639544,0.19992732735547158,59,,,,
32,eyeball,rare,29,29,1,0,6.9921890034364261,2034.727,278,291,27,1493.323809523800000000,0,26640,22,4.966939525721898,4.966939525721898,0.017866688941445677,84,,,,
33,eyeball2,epic,29,29,1,0,10.3200800000000000,774.006,71,75,23,6640.000000000000000000,0,80197,60,16.14715441061391,16.14715441061391,0.22742471000864664,77,,,,
34,discoball,epic,29,29,1,0,13.8443018867924528,733.748,53,53,21,8709.332000000000000000,0,517199,156,373.27684868158417,373.27684868158417,7.042959409086494,28,,,,
35,fishcake,uncommon,29,29,1,0,5.3171374149659864,3908.096,685,735,23,300.000000000000000000,0,28610,34,5.5649707037837715,5.5649707037837715,0.008124044823042001,83,,,,
36,floater,rare,29,29,1,0,8.5098600000000000,1276.479,150,150,28,3500,0,159175,66,41.373348432117325,41.373348432117325,0.2758223228807822,69,,,,
37,fox,uncommon,29,29,1,0,5.9413672955974843,4723.387,723,795,23,400,0,95500,65,19.228315849890002,19.228315849890002,0.026595180981867222,75,,,,
38,fox777,legendary,29,24,1,0,30.7162142857142857,430.027,14,14,7,150000,0,693977,225,162.24601497757317,162.24601497757317,11.589001069826654,45,,,,
40,gamer,rare,29,24,1,0,9.5564500000000000,955.645,99,100,24,2720.000000000000000000,0,521013,162,68.17541383744778,68.17541383744778,0.6886405438126039,56,,,,
41,xmasball,epic,29,29,1,0,10.7415500000000000,644.493,60,60,23,6980.000000000000000000,0,295561,108,59.50932210376271,59.50932210376271,0.9918220350627119,60,,,,
42,derp,uncommon,29,29,1,0,7.0243500000000000,2950.227,420,420,23,1590.000000000000000000,0,540561,370,141.32745454137512,141.32745454137512,0.33649393938422645,47,,,,
43,moneybag,legendary,29,29,1,0,18.1809000000000000,181.809,10,10,28,38800.138000000000000000,0,592331,360,387.653095273943,387.653095273943,38.7653095273943,27,,,,
44,moon,uncommon,29,19,1,0,5.8582633333333333,3514.958,600,600,23,4999,0,5038333,2014,3212.679145545342,3212.679145545342,5.3544652425755705,6,500.000000000000000000,,,
45,bull,uncommon,29,29,1,0,6.3410876288659794,4920.684,742,776,3,550,0,624371,229,361.0361700362664,361.0361700362664,0.4865716577308173,30,,,,
46,opencan,uncommon,29,29,1,0,4.9355650000000000,2961.339,600,600,23,600,0,277699,70,66.86921957222637,66.86921957222637,0.11144869928704396,57,,,,
