id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9296000000000000,279.296,10,10,32,59900.000000000000000000,0,341629,341629,43,39.40633655999164,39.40633655999164,3.9406336559991635,56,,,,
4,8ball,common,29,19,1,0,4.2191922861934041,15096.270,3309,3578,18,99.600000000000000000,0,225843,225843,99,144.021474249215,144.021474249215,0.04352416870632064,44,,,,
7,alien,common,29,29,1,0,4.7224735000000000,9444.947,2000,2000,27,172.600000000000000000,1,771677,400915,261,522.1556196834101,522.1556196834101,0.2610778098417051,20,,,,
8,angel,epic,29,24,1,0,15.2960400000000000,764.802,50,50,10,10000,0,2509,2509,2,0.24382501564882855,0.24382501564882855,0.004876500312976571,82,,,,
9,banana,rare,29,29,1,0,8.0626666666666667,1209.400,150,150,5,2000,0,226382,118275,108,151.80196726751686,151.80196726751686,1.012013115116779,43,,,,
11,basketball,common,29,29,1,0,3.0871419110690634,13052.436,4030,4228,10,90.400000000000000000,0,1282898,724741,167,200.8903257990696,200.8903257990696,0.04984871607917359,38,,,,
12,beachball,common,29,29,1,0,3.6135741640468705,12643.896,3265,3499,6,92.000000000000000000,0,8535,8535,10,1.2508850255050932,1.2508850255050932,0.0003831194565099826,80,,,,
13,bomb,uncommon,29,29,1,0,5.3485483333333333,3209.129,600,600,28,1700,1,10315978,9184179,1446,2384.7632338761264,2384.7632338761264,3.974605389793544,5,400.000000000000000000,176.5,,
14,shades,epic,29,29,1,0,15.1906400000000000,759.532,50,50,32,9750,1,2712681,2428313,252,728.5382217924717,728.5382217924717,14.570764435849435,14,100.000000000000000000,,,
15,bowling,common,29,29,1,0,2.9857845000000000,5971.569,1998,2000,23,170.000000000000000000,0,940701,518544,223,194.7834546078472,194.7834546078472,0.09748921652044405,39,,,,
17,ninja,rare,29,29,1,0,10.5247300000000000,1052.473,100,100,10,4500,0,,,,,,,84,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7406200000000000,1461.093,150,150,10,6500,0,2074253,1970148,319,385.8672353017146,385.8672353017146,2.5724482353447637,28,,,,
19,button,common,29,29,1,0,3.8379697514225816,12814.981,3082,3339,13,102.000000000000000000,0,77849,77849,38,18.876396425287393,18.876396425287393,0.0061247230451938325,64,,,,
20,cat,uncommon,29,29,1,0,5.2317933333333333,3139.076,600,600,3,950,0,512424,503891,216,654.7513687566261,654.7513687566261,1.0912522812610435,15,,,,
21,cherry,rare,29,29,1,0,10.2540800000000000,1025.408,98,100,26,3300.000000000000000000,0,1395831,775120,354,241.9259907648284,241.9259907648284,2.4686325588247797,30,,,,
22,egg,rare,29,29,1,0,13.9839000000000000,1398.390,100,100,4,8500,0,1036096,930438,322,1225.1056451599425,1225.1056451599425,12.251056451599425,8,,,,
23,coconut,rare,29,29,1,0,7.0862105263157895,2019.570,273,285,7,1550,0,,,,,,,85,,,,
24,cute,uncommon,29,29,1,0,5.7242303448275862,4150.067,708,725,10,500,0,3052,3052,5,0.1990937708959328,0.1990937708959328,0.0002812058910959503,83,,,,
25,devil,epic,24,24,1,0,14.6938414634146341,1204.895,81,82,32,11000.000000000000000000,2,3027277,2818821,786,1317.9804798644404,1317.9804798644404,16.27136394894371,7,,,,
26,revolver,uncommon,29,29,1,0,4.1372500000000000,2482.350,600,600,24,710.000000000000000000,1,1371199,882367,289,529.1719788328759,529.1719788328759,0.8819532980547932,19,,,,
27,disguise,epic,29,29,1,0,12.3804729729729730,916.155,73,74,15,7380.000000000000000000,0,11441,11441,9,2.580031597554041,2.580031597554041,0.035342898596630694,77,,,,
28,dog,uncommon,29,29,1,0,5.0474350000000000,3028.461,600,600,12,529,0,177660,177660,128,104.76421549067763,104.76421549067763,0.17460702581779605,53,,,,
29,donut,uncommon,29,29,1,0,5.5102774798927614,4110.667,686,746,4,316.000000000000000000,0,488903,252924,124,232.28715594621053,232.28715594621053,0.33861101449884917,32,,,,
30,baseball,epic,29,29,1,0,9.6970857142857143,678.796,69,70,13,6718.800000000000000000,0,8382,8382,4,2.03242115938238,2.03242115938238,0.029455379121483768,78,,,,
31,bowie,rare,29,29,1,0,7.8852278481012658,2491.732,312,316,5,1564.000000000000000000,0,170926,170926,41,38.87273662443408,38.87273662443408,0.12459210456549386,57,,,,
32,eyeball,rare,29,24,1,0,7.0362871972318339,2033.487,276,289,23,1440.000000000000000000,0,128575,128575,55,26.510062187596255,26.510062187596255,0.09605094995505889,60,,,,
33,eyeball2,epic,29,29,1,0,10.5317733333333333,789.883,71,75,14,5690.000000000000000000,0,,,,,,,86,,,,
34,discoball,epic,29,29,1,0,14.0828490566037736,746.391,53,53,22,8000,0,49369,49369,14,9.986745820463977,9.986745820463977,0.1884291664238486,72,,,,
