id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,30.1528000000000000,301.528,10,10,32,63900.000000000000000000,0,213831,113,61.05711868948356,61.05711868948356,6.105711868948356,56,,,,
4,8ball,common,29,29,1,0,4.1803309151785714,14982.306,3315,3584,15,117.800000000000000000,0,157337,197,46.519894366119615,46.519894366119615,0.014033150638346792,61,,,,
7,alien,common,29,29,1,0,4.6597395000000000,9319.479,2000,2000,26,177.600000000000000000,0,374023,295,223.9722838534875,223.9722838534875,0.11198614192674375,40,,,,
8,angel,epic,29,29,1,0,17.9084000000000000,895.420,50,50,23,30280.000000000000000000,0,2576001,673,725.4340479633606,725.4340479633606,14.508680959267213,24,,,,
9,banana,rare,29,29,1,0,7.9217333333333333,1188.260,150,150,9,2000,0,152178,73,37.291904247593706,37.291904247593706,0.24861269498395805,66,,,,
11,basketball,common,29,29,1,0,3.8822807219662058,10109.459,2404,4283,19,104.400000000000000000,0,285750,309,43.49728424346489,43.49728424346489,0.01809371224769754,63,,,,
12,beachball,common,29,29,1,0,3.5911078151739875,12590.424,3272,3506,19,97.800000000000000000,0,362668,264,43.50898866476588,43.50898866476588,0.013297368173828202,62,,,,
13,bomb,uncommon,29,29,1,0,5.0803433333333333,3048.206,600,600,17,825.000000000000000000,0,114886,59,20.525170262270738,20.525170262270738,0.03420861710378456,74,,,,
14,shades,epic,29,29,1,0,14.7551000000000000,737.755,50,50,28,10500,0,398886,255,389.6317766617354,389.6317766617354,7.792635533234708,29,,,,
15,bowling,common,29,29,1,0,2.8873075000000000,5774.615,1998,2000,24,157.000000000000000000,0,252702,322,153.1750645332417,153.1750645332417,0.07666419646308394,47,,,,
17,ninja,rare,29,29,1,0,10.4248900000000000,1042.489,100,100,28,5650.000000000000000000,0,70714,35,25.32683555050899,25.32683555050899,0.25326835550508986,71,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.3450200000000000,1401.753,150,150,11,3626.400000000000000000,1,1584486,420,812.4916325793719,812.4916325793719,5.416610883862479,20,,,,
19,button,common,29,29,1,0,3.8267136458644371,12815.664,3091,3349,26,120,0,156684,148,40.68675134491351,40.68675134491351,0.013162973582954872,64,,,,
