id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,32.5029000000000000,325.029,10,10,8,79524.138000000000000000,0,280697,54,183.63066046910401,183.63066046910401,18.3630660469104,38,,,,
4,8ball,common,29,29,1,0,4.1563402119353040,14904.636,3317,3586,10,126.000000000000000000,0,309496,416,59.23018515411286,59.23018515411286,0.017856552654239632,50,,,,
7,alien,common,29,29,1,0,4.6189200000000000,9237.840,2000,2000,10,214.000000000000000000,0,495677,341,233.95517371736702,233.95517371736702,0.11697758685868351,33,,,,
8,angel,epic,29,29,1,0,17.7253200000000000,886.266,50,50,7,18718.000000000000000000,0,156694,60,36.1199389578971,36.1199389578971,0.7223987791579419,60,,,,
9,banana,rare,29,29,1,0,7.8822533333333333,1182.338,150,150,10,2019.800000000000000000,0,26559,24,4.827983982832187,4.827983982832187,0.03218655988554791,81,,,,
11,basketball,common,29,29,1,0,3.9072972549019608,9963.608,2351,4290,24,127.200000000000000000,0,46718,54,11.147162291109742,11.147162291109742,0.0047414556746532294,80,,,,
12,beachball,common,29,29,1,0,3.6080011490950876,12559.452,3246,3512,24,124.000000000000000000,0,276243,221,162.2210884318676,162.2210884318676,0.04997568959700172,42,,,,
13,bomb,uncommon,29,29,1,0,5.0437466666666667,3026.248,600,600,12,975,0,812951,261,377.4082986330132,377.4082986330132,0.629013831055022,23,,,,
14,shades,epic,29,29,1,0,14.6391200000000000,731.956,50,50,32,12070.000000000000000000,0,607506,111,365.6852098472704,365.6852098472704,7.313704196945408,24,,,,
15,bowling,common,29,29,1,0,3.3771645919778700,4883.380,1444,2000,23,145,0,79177,84,27.97112577940759,27.97112577940759,0.01937058571981135,64,,,,
17,ninja,rare,29,29,1,0,10.3785600000000000,1037.856,100,100,21,4660.000000000000000000,0,136904,23,36.562862452266394,36.562862452266394,0.3656286245226639,58,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.2436400000000000,1386.546,150,150,3,3650,0,280516,110,163.2066278607858,163.2066278607858,1.088044185738572,41,,,,
19,button,common,29,29,1,0,3.8179621347644603,12805.445,3096,3354,21,142.800000000000000000,0,329665,168,86.1797962129866,86.1797962129866,0.027835851489982754,49,,,,
20,cat,uncommon,29,24,1,0,5.1080166666666667,3064.810,600,600,22,965.000000000000000000,1,1267495,470,924.9193594221692,924.9193594221692,1.5415322657036155,15,,,,
21,cherry,rare,29,24,1,0,10.0658200000000000,1006.582,98,100,31,3522.000000000000000000,0,12794,20,4.741463927252535,4.741463927252535,0.04838228497196464,82,,,,
22,egg,rare,29,24,1,0,13.4736600000000000,1347.366,100,100,24,6600.000000000000000000,0,1208974,646,536.9248738673989,536.9248738673989,5.369248738673989,20,,,,
