id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,28.3774000000000000,283.774,10,10,33,58985.714285714284000000,0,1044971,616479,78,170.12288565126678,170.12288565126678,17.012288565126678,33,,,,
4,8ball,common,29,29,1,0,4.2220687919463087,15098.118,3307,3576,10,95,0,171173,171173,75,104.59990871252134,104.59990871252134,0.031629848416244735,40,,,,
7,alien,common,29,24,1,0,4.7262520000000000,9452.504,2000,2000,18,170.000000000000000000,0,83547,83547,48,10.404480438346773,10.404480438346773,0.005202240219173386,62,,,,
8,angel,epic,29,29,1,0,15.3549400000000000,767.747,50,50,28,9000.000000000000000000,0,61835,61835,36,18.838803835534875,18.838803835534875,0.3767760767106975,55,,,,
9,banana,rare,29,29,1,0,8.0853533333333333,1212.803,150,150,26,1900,0,8643,8643,9,1.318825776298154,1.318825776298154,0.008792171841987693,78,,,,
11,basketball,common,29,29,1,0,3.1016828287606433,13113.915,4030,4228,28,92,0,145937,145859,118,45.6572896622715,45.6572896622715,0.011329352273516502,48,,,,
12,beachball,common,29,29,1,0,3.6104376430205950,12622.090,3262,3496,6,92,0,74421,34631,32,20.209671966357806,20.209671966357806,0.006195484968227408,53,,,,
13,bomb,uncommon,24,24,1,0,5.3740433333333333,3224.426,600,600,23,2100,4,13133447,10645165,1699,4049.8524967589256,4549.852496758926,7.583087494598209,3,500,600.000000000000000000,158.5,
14,shades,epic,29,29,1,0,15.2803200000000000,764.016,50,50,33,9746.02857142857,0,1582674,1582674,186,502.11168781786785,502.11168781786785,10.042233756357357,18,,,,
15,bowling,common,29,29,1,0,3.0097930000000000,6019.586,1998,2000,11,181.000000000000000000,0,8256,8256,8,1.1553489488568471,1.1553489488568471,0.0005782527271555792,80,,,,
17,ninja,rare,29,29,1,0,10.5590300000000000,1055.903,100,100,17,4120.000000000000000000,0,152314,152033,41,83.70955099570129,83.70955099570129,0.8370955099570129,42,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7820866666666667,1467.313,150,150,6,5000,0,408755,408755,134,180.0892574173175,180.0892574173175,1.2005950494487834,32,,,,
19,button,common,29,29,1,0,3.8391800479328939,12815.183,3081,3338,9,110,0,28391,28391,15,7.133908621953403,7.133908621953403,0.00231545232780052,69,,,,
20,cat,uncommon,29,29,1,0,5.3567350000000000,3214.041,600,600,4,1160.000000000000000000,1,951393,922256,381,903.216592239949,903.216592239949,1.5053609870665816,13,,,,
21,cherry,rare,29,29,1,0,10.2652300000000000,1026.523,98,100,19,3300.000000000000000000,0,128812,128127,38,28.158698403810142,28.158698403810142,0.28733365718173615,51,,,,
22,egg,rare,29,29,1,0,13.9983400000000000,1399.834,100,100,14,8500,0,1305022,1216676,202,583.4165225207786,583.4165225207786,5.834165225207786,15,,,,
23,coconut,rare,29,29,1,0,7.0201272084805654,1986.696,271,283,25,1550,0,645793,336417,148,123.73269074952998,123.73269074952998,0.4565781946477121,38,,,,
24,cute,uncommon,29,29,1,0,5.7226201657458564,4143.177,707,724,17,440,0,14262,7672,5,1.500047604783362,1.500047604783362,0.002121708069000512,77,,,,
25,devil,epic,29,24,1,0,15.0469146341463415,1233.847,81,82,5,11499.600000000000000000,3,5144766,4893453,1622,2805.7884552361725,2805.7884552361725,34.63936364489102,4,,,,
26,revolver,uncommon,29,29,1,0,4.1433916666666667,2486.035,600,600,7,525.200000000000000000,0,2869334,1861995,378,778.3738233618269,778.3738233618269,1.2972897056030448,14,,,,
27,disguise,epic,29,29,1,0,12.3947432432432432,917.211,73,74,13,7380.000000000000000000,0,11070,11070,3,1.546730228141306,1.546730228141306,0.021188085317004193,76,,,,
28,dog,uncommon,29,29,1,0,5.0525083333333333,3031.505,600,600,22,524,0,309785,171123,73,38.72496892183261,38.72496892183261,0.06454161486972101,49,,,,
