id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,BetPrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.3153000000000000,323.153,10,10,21,129084.138000000000000000,0,2251462,329,1389.0507893124716,1389.0507893124716,138.90507893124715,9,,,,
4,8ball,common,29,24,1,0,4.1641345565749235,14978.392,3328,3601,24,120.600000000000000000,0,239409,244,48.50025193709337,48.50025193709337,0.014573393009943921,55,,,,
7,alien,common,29,21,1,0,4.6006300000000000,9201.260,2000,2000,12,185,0,177133,247,38.369080186998616,38.369080186998616,0.01918454009349931,58,,,,
8,angel,epic,29,29,1,0,17.4303600000000000,871.518,50,50,32,16500,0,403542,159,282.0186415253624,282.0186415253624,5.640372830507248,31,,,,
9,banana,rare,29,24,1,0,7.8342533333333333,1175.138,150,150,22,2003.800000000000000000,0,179632,104,50.18833774892545,50.18833774892545,0.33458891832616966,54,,,,
11,basketball,common,29,29,1,0,3.9178092803775069,9962.989,2344,4300,23,100,0,103658,67,17.222348412449875,17.222348412449875,0.007347418264697046,67,,,,
12,beachball,common,29,29,1,0,3.6187282451575600,12517.181,3223,3520,23,110.200000000000000000,0,224548,141,37.307722426815054,37.307722426815054,0.01157546460652034,60,,,,
13,bomb,uncommon,29,29,1,0,5.0203883333333333,3012.233,600,600,22,769,0,1303757,610,873.0663007953611,873.0663007953611,1.4551105013256018,14,,,,
14,shades,epic,29,29,1,0,14.5593400000000000,727.967,50,50,10,12510.000000000000000000,0,27485,29,9.347554865343747,9.347554865343747,0.18695109730687495,74,,,,
15,bowling,common,29,29,1,0,3.6674894651539708,4525.682,1232,2000,23,139.700000000000000000,0,22268,45,3.6997361944898977,3.6997361944898977,0.0030030326253976444,79,,,,
17,ninja,rare,29,29,1,0,10.2232700000000000,1022.327,100,100,8,4500,0,376952,132,116.8095061342749,116.8095061342749,1.168095061342749,48,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.4372200000000000,1415.583,150,150,12,3333,0,431615,121,199.01017058592754,199.01017058592754,1.3267344705728503,38,,,,
19,button,common,29,29,1,0,3.8115988130563798,12845.088,3109,3370,3,100,0,55429,96,12.67369883571944,12.67369883571944,0.0040764550774266455,70,,,,
20,cat,uncommon,29,29,1,0,5.0792333333333333,3047.540,600,600,19,1150.000000000000000000,0,728726,325,219.8871886896971,219.8871886896971,0.36647864781616185,36,,,,
21,cherry,rare,29,29,1,0,9.1907900000000000,919.079,98,100,11,2180.000000000000000000,0,10867,19,1.8183269282743728,1.8183269282743728,0.018554356410962987,83,,,,
22,egg,rare,29,24,1,0,13.2506100000000000,1325.061,100,100,7,8660.000000000000000000,0,1012874,503,516.0980540251787,516.0980540251787,5.160980540251788,21,,,,
23,coconut,rare,29,29,1,0,6.8278586206896552,1980.079,277,290,31,1755,0,362942,93,389.73506414483245,389.73506414483245,1.4069857911365793,24,,,,
24,cute,uncommon,29,29,1,0,5.5941884456671252,4066.975,710,727,23,470.447619047619048000,0,29267,44,4.862591126465594,4.862591126465594,0.006848719896430414,78,,,,
25,devil,epic,29,29,1,0,13.6691411764705882,1161.877,84,85,30,8500,0,892534,471,306.7225781210669,306.7225781210669,3.6514592633460343,29,,,,
26,revolver,uncommon,29,29,1,0,3.7932200000000000,2275.932,600,600,10,675.600000000000000000,1,504231,252,398.8125015666744,398.8125015666744,0.6646875026111241,23,,,,
27,disguise,epic,29,29,1,0,12.1788051948051948,937.768,76,77,15,5957.000000000000000000,0,597819,224,252.71256372719756,252.71256372719756,3.325165312199968,33,,,,
28,dog,uncommon,29,29,1,0,4.6312850000000000,2778.771,600,600,6,545,0,229338,167,133.4100420498702,133.4100420498702,0.22235007008311702,45,,,,
29,donut,uncommon,29,29,1,0,5.4223072847682119,4093.842,695,755,23,363.000000000000000000,0,451680,323,75.08000166017838,75.08000166017838,0.10802877936716314,51,,,,
30,baseball,epic,29,24,1,0,9.6257746478873239,683.430,70,71,17,5178.800000000000000000,0,201124,47,33.25501542254803,33.25501542254803,0.47507164889354325,62,,,,
31,bowie,rare,29,24,1,0,7.6332844311377246,2549.517,330,334,29,1650,0,250792,119,230.61466605121922,230.61466605121922,0.698832321367331,35,,,,
32,eyeball,rare,29,29,1,0,6.9664949152542373,2055.116,282,295,14,1338.000000000000000000,0,32570,45,5.435362317065569,5.435362317065569,0.019274334457679322,77,,,,
33,eyeball2,epic,29,29,1,0,10.5990259740259740,816.125,73,77,17,6000.000000000000000000,0,4922,8,0.8138321926263468,0.8138321926263468,0.011148386200360915,84,,,,
34,discoball,epic,29,29,1,0,13.6581509433962264,723.882,53,53,33,9100.000000000000000000,0,131982,67,27.33885351502155,27.33885351502155,0.5158274248117274,63,,,,
35,fishcake,uncommon,29,29,1,0,5.3321735647530040,3993.798,699,749,23,364.000000000000000000,0,50780,75,8.43688719041661,8.43688719041661,0.012069938755960814,75,,,,
36,floater,rare,29,29,1,0,8.1128666666666667,1216.930,150,150,16,7159.800000000000000000,0,329357,171,302.5587763792999,302.5587763792999,2.0170585091953326,30,300.000000000000000000,,,
37,fox,uncommon,29,29,1,0,5.9003655778894472,4696.691,723,796,14,556.000000000000000000,0,199947,84,33.36765088149553,33.36765088149553,0.04615166097025661,61,,,,
38,fox777,legendary,29,24,1,0,28.0852142857142857,393.193,14,14,14,100000,0,228042,65,38.056214108328724,38.056214108328724,2.718301007737766,59,,,,
40,gamer,rare,29,29,1,0,9.2142900000000000,921.429,99,100,17,2500,0,63269,24,10.46126554150271,10.46126554150271,0.10566934890406778,72,,,,
41,xmasball,epic,29,29,1,0,10.6991269841269841,674.045,62,63,17,5980.000000000000000000,0,67060,45,11.088091596408537,11.088091596408537,0.17884018703884738,71,,,,
