id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.3297000000000000,323.297,10,10,13,98224.138000000000000000,0,1386565,195,1194.0527819062595,1194.0527819062595,119.40527819062595,11,,,,
4,8ball,common,29,29,1,0,4.1619902777777778,14983.165,3331,3601,5,105,0,289061,264,237.38179289349978,237.38179289349978,0.07126442296412482,33,,,,
7,alien,common,29,29,1,0,4.6012685000000000,9202.537,2000,2000,31,190,0,246894,199,52.915860893155795,52.915860893155795,0.026457930446577897,56,,,,
8,angel,epic,29,29,1,0,17.4429600000000000,872.148,50,50,32,16500,1,1180893,282,1108.4734487125663,1108.4734487125663,22.169468974251327,12,,,,
9,banana,rare,29,24,1,0,7.8577800000000000,1178.667,150,150,27,2003.800000000000000000,0,930101,207,337.62444694767447,337.62444694767447,2.25082964631783,29,,,,
11,basketball,common,29,29,1,0,3.9177625786163522,9966.788,2345,4300,31,112.380800000000000000,0,128509,130,27.909519359838008,27.909519359838008,0.011901714012724097,64,,,,
12,beachball,common,29,24,1,0,3.6180563583815029,12518.475,3224,3520,31,110.200000000000000000,0,198362,162,42.111251812752684,42.111251812752684,0.013061802671449343,58,,,,
13,bomb,uncommon,29,29,1,0,5.0213066666666667,3012.784,600,600,28,699,0,1113515,586,378.64477183501884,378.64477183501884,0.6310746197250314,26,,,,
14,shades,epic,29,29,1,0,14.5599400000000000,727.997,50,50,10,12510.000000000000000000,0,27076,16,3.7722212163777877,3.7722212163777877,0.07544442432755576,81,,,,
15,bowling,common,29,29,1,0,3.6612481810832660,4528.964,1235,2000,7,128.000000000000000000,0,13518,37,3.136572215993574,3.136572215993574,0.0025397345878490477,82,,,,
17,ninja,rare,29,24,1,0,10.2290200000000000,1022.902,100,100,8,4000,0,245726,73,329.7281167737091,329.7281167737091,3.297281167737091,30,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.4381200000000000,1415.718,150,150,6,3333,0,567854,137,108.47852052633687,108.47852052633687,0.7231901368422458,44,,,,
19,button,common,29,29,1,0,3.8121632047477745,12846.990,3109,3370,13,105,0,180275,187,48.974131898140605,48.974131898140605,0.01575237436414944,57,,,,
20,cat,uncommon,29,29,1,0,5.0797166666666667,3047.830,600,600,31,750.000000000000000000,0,979552,352,619.6077152093723,619.6077152093723,1.0326795253489538,14,,,,
21,cherry,rare,29,29,1,0,9.1918700000000000,919.187,98,100,11,2180.000000000000000000,0,20452,32,5.717926386975556,5.717926386975556,0.05834618762219955,78,,,,
22,egg,rare,29,24,1,0,13.2527100000000000,1325.271,100,100,7,8660.000000000000000000,0,558801,376,129.65821059841878,129.65821059841878,1.2965821059841878,41,,,,
23,coconut,rare,29,29,1,0,6.8280689655172414,1980.140,277,290,31,1800,0,667559,104,193.47769714708133,193.47769714708133,0.6984754409641926,35,,,,
24,cute,uncommon,29,29,1,0,5.5944855570839065,4067.191,710,727,31,470.447619047619048000,0,23171,35,5.694707748634997,5.694707748634997,0.008020715138922531,79,,,,
25,devil,epic,24,29,1,0,13.6728823529411765,1162.195,84,85,31,7500,0,1126681,518,497.513008373661,497.513008373661,5.9227739092102505,21,,,,
26,revolver,uncommon,29,29,1,0,3.7997650000000000,2279.859,600,600,9,677.800000000000000000,0,466383,367,174.68469520822478,174.68469520822478,0.29114115868037466,36,,,,
27,disguise,epic,29,29,1,0,12.1806103896103896,937.907,76,77,17,5957.000000000000000000,0,294625,115,147.6403457886533,147.6403457886533,1.9426361287980696,39,,,,
28,dog,uncommon,29,29,1,0,4.6319216666666667,2779.153,600,600,19,500.000000000000000000,0,132932,130,109.01631102016152,109.01631102016152,0.1816938517002692,43,,,,
29,donut,uncommon,29,19,1,0,5.4227920529801325,4094.208,695,755,11,363.000000000000000000,0,392344,209,79.35107747897088,79.35107747897088,0.1141742121999581,49,,,,
