id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,24,1,300.000000000000000000,29.3521000000000000,293.521,10,10,9,62640.000000000000000000,0,232225,43,44.74732897701424,44.74732897701424,4.474732897701424,59,,,,
4,8ball,common,29,29,1,0,4.1657143654114365,14934.086,3316,3585,23,127.000000000000000000,0,451305,437,90.01215986127026,90.01215986127026,0.02714480092318162,48,,,,
7,alien,common,29,29,1,0,4.6397525000000000,9279.505,2000,2000,17,222.000000000000000000,0,716185,331,214.06968836496185,214.06968836496185,0.10703484418248092,36,0.000000000000000000,,,
8,angel,epic,29,29,1,0,17.7451000000000000,887.255,50,50,31,18618.000000000000000000,0,240926,49,52.42806662320827,52.42806662320827,1.0485613324641654,57,,,,
9,banana,rare,29,29,1,0,7.8971200000000000,1184.568,150,150,32,2357.000000000000000000,0,1092271,173,185.356721029205,185.356721029205,1.2357114735280335,42,,,,
11,basketball,common,29,29,1,0,3.9122909516380655,10031.114,2365,4288,20,123.000000000000000000,0,134040,193,36.08052629291881,36.08052629291881,0.015256036487492098,63,,,,
12,beachball,common,29,24,1,0,3.5968859424009125,12614.279,3273,3512,8,127.800000000000000000,0,384481,263,212.4637933400221,212.4637933400221,0.06491408290254265,37,,,,
13,bomb,uncommon,29,29,1,0,5.0647566666666667,3038.854,600,600,3,920.476000000000000000,1,974973,403,639.7325294143133,639.7325294143133,1.0662208823571888,20,,,,
14,shades,epic,29,29,1,0,14.6604200000000000,733.021,50,50,25,12064.000000000000000000,0,211046,40,32.65295601149586,32.65295601149586,0.6530591202299172,68,,,,
15,bowling,common,29,29,1,0,3.2994098573281453,5087.690,1540,2000,4,147,0,276568,209,35.77578756869073,35.77578756869073,0.023231030888760214,65,,,,
17,ninja,rare,29,29,1,0,10.4175700000000000,1041.757,100,100,23,5650.000000000000000000,0,61634,54,13.928131120638605,13.928131120638605,0.13928131120638607,77,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.3163533333333333,1397.453,150,150,32,3326.400000000000000000,2,5239146,1037,3109.221843553938,3109.221843553938,20.72814562369292,7,,,,
19,button,common,29,29,1,0,3.8228299522673031,12814.126,3094,3352,28,134.000000000000000000,0,900933,283,355.96754827123823,355.96754827123823,0.11505092057893931,26,,,,
20,cat,uncommon,29,29,1,0,5.1287983333333333,3077.279,600,600,11,1095.400000000000000000,0,736510,310,456.694252291133,456.694252291133,0.7611570871518883,22,,,,
21,cherry,rare,29,29,1,0,10.0982500000000000,1009.825,98,100,23,3962.000000000000000000,0,39009,32,8.815304326913576,8.815304326913576,0.08995208496850589,81,,,,
22,egg,rare,29,15,1,0,13.6061900000000000,1360.619,100,100,7,6960.000000000000000000,0,2004337,1337,1375.50608940564,1375.50608940564,13.7550608940564,14,,,,
23,coconut,rare,29,29,1,0,6.8455605536332180,1978.367,276,289,23,1495,0,140173,114,35.375140793578424,35.375140793578424,0.12817079997673342,66,,,,
24,cute,uncommon,29,29,1,0,5.6315777166437414,4094.157,710,727,23,605.000000000000000000,0,100780,99,22.774394884932974,22.774394884932974,0.032076612513990105,71,,,,
25,devil,epic,29,29,1,0,13.8510740740740741,1121.937,80,81,24,8200,0,1846077,610,690.4490318263843,690.4490318263843,8.630612897829803,19,,,,
26,revolver,uncommon,29,24,1,0,3.9282500000000000,2356.950,600,600,29,1530.466000000000000000,0,1335982,609,359.85773928111576,359.85773928111576,0.5997628988018596,25,,,,
27,disguise,epic,29,29,1,0,12.2926184210526316,934.239,75,76,18,5957.000000000000000000,0,99339,79,15.019620118320177,15.019620118320177,0.20026160157760237,75,,,,
28,dog,uncommon,24,29,1,0,4.7161983333333333,2829.719,600,600,7,650,0,302533,218,76.97510417873897,76.97510417873897,0.12829184029789828,50,,,,
29,donut,uncommon,29,29,1,0,5.4366231691078562,4082.904,691,751,15,711.047619047540000000,0,241934,115,60.93067741899329,60.93067741899329,0.08817753606221894,54,,,,
30,baseball,epic,29,29,1,0,9.6059142857142857,672.414,69,70,17,5518.800000000000000000,0,3958,6,0.7539984609563757,0.7539984609563757,0.010927513926903996,86,,,,
31,bowie,rare,29,29,1,0,7.7853829787234043,2561.391,325,329,23,1581.800000000000000000,0,425740,248,96.20927642698318,96.20927642698318,0.29602854285225594,46,,,,
32,eyeball,rare,29,29,1,0,6.9940000000000000,2049.242,280,293,23,1499,0,8996,16,2.032927727573497,2.032927727573497,0.007260456169905346,84,,,,
33,eyeball2,epic,29,29,1,0,10.6557368421052632,809.836,72,76,17,6420.000000000000000000,0,188352,80,35.8810303481696,35.8810303481696,0.4983476437245778,64,,,,
34,discoball,epic,29,29,1,0,13.8215849056603774,732.544,53,53,23,8836.332000000000000000,0,269945,71,61.00252061136368,61.00252061136368,1.1509909549313901,53,,,,
35,fishcake,uncommon,29,29,1,0,5.3190377358490566,3946.726,692,742,23,414.380952380940000000,0,10460,19,2.3637643430879027,2.3637643430879027,0.003415844426427605,83,,,,
36,floater,rare,29,29,1,0,8.4977066666666667,1274.656,150,150,23,5252,0,42400,25,9.581606897411767,9.581606897411767,0.06387737931607845,80,,,,
37,fox,uncommon,29,29,1,0,5.9218379396984925,4713.783,724,796,23,520.000000000000000000,0,13094,11,2.9589990734601344,2.9589990734601344,0.00408701529483444,82,,,,
38,fox777,legendary,29,29,1,0,30.4984285714285714,426.978,14,14,32,85000,0,970376,334,262.98136789048,262.98136789048,18.784383420748572,32,,,,
40,gamer,rare,29,29,1,0,9.5293400000000000,952.934,99,100,10,3630.000000000000000000,0,248491,58,60.67573281606966,60.67573281606966,0.6128861900613097,55,,,,
41,xmasball,epic,29,29,1,0,10.7284000000000000,643.704,59,60,17,6580.000000000000000000,0,113999,84,21.71679397437238,21.71679397437238,0.36808125380292167,72,,,,
42,derp,uncommon,29,29,1,0,6.9665333333333333,2925.944,420,420,29,1220.000000000000000000,0,357084,142,44.816777680948725,44.816777680948725,0.10670661352606839,58,,,,
43,moneybag,legendary,29,29,1,0,16.8903000000000000,168.903,10,10,9,43213.280000000000000000,0,546779,319,71.97112637982298,71.97112637982298,7.197112637982298,51,,,,
44,moon,uncommon,24,21,1,0,5.7068550000000000,3424.113,600,600,14,4298.000000000000000000,1,6574136,2100,3269.9843649730137,3269.9843649730137,5.44997394162169,5,100.000000000000000000,,,
45,bull,uncommon,29,29,1,0,6.2987306701030928,4887.815,742,776,30,1086.000000000000000000,0,701616,462,333.5162749489026,333.5162749489026,0.44948285033544827,29,,,,
46,opencan,uncommon,29,29,1,0,4.9016433333333333,2940.986,600,600,21,626.600000000000000000,0,1051223,266,415.67181289229086,415.67181289229086,0.6927863548204848,23,,,,
47,candyswirl,rare,29,21,1,0,10.5890200000000000,1058.902,100,100,27,7881.400000000000000000,0,2101859,1021,403.2578383205523,403.2578383205523,4.032578383205523,24,,,,
48,royman,epic,29,29,1,0,12.3330200000000000,616.651,50,50,23,7980,0,5070,7,1.1457251643839073,1.1457251643839073,0.022914503287678144,85,,,,
49,panda,uncommon,29,29,1,0,5.3543900000000000,3212.634,599,600,21,866.000000000000000000,0,520087,276,228.31323409273483,228.31323409273483,0.3811573190195907,34,,,,
50,melon,rare,29,29,1,0,7.0115253623188406,1935.181,272,276,12,1800,0,699226,199,203.48220302820897,203.48220302820897,0.748096334662533,38,,,,
51,casinochip,uncommon,29,29,1,0,4.8245850000000000,2894.751,600,600,12,2170.800000000000000000,1,1855990,492,713.3696251268226,713.3696251268226,1.188949375211371,18,,,,
52,pizza,rare,29,29,1,0,8.7370000000000000,1310.550,150,150,22,3660.000000000000000000,3,3965190,1146,2816.6338253820018,2816.6338253820018,18.77755883588001,9,,,,
53,jackolantern,rare,29,29,1,0,9.5586733333333333,1433.801,150,150,9,2461.000000000000000000,0,163216,135,35.037724808842924,35.037724808842924,0.23358483205895283,67,,,,
54,waffle,uncommon,29,29,1,0,5.1141612466124661,3774.251,689,738,25,450.380952380940000000,0,97898,85,18.40460692249167,18.40460692249167,0.026712056491279636,74,,,,
55,saturn,common,29,29,1,0,3.6311575000000000,7262.315,1995,2000,22,209.9,0,355762,287,108.66053233664232,108.66053233664232,0.05446643224894352,44,,,,
