id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,32.4247000000000000,324.247,10,10,15,79524.138000000000000000,0,281329,63,64.70360689144167,64.70360689144167,6.470360689144167,61,,,,
4,8ball,common,29,21,1,0,4.1564329064587973,14929.907,3323,3592,23,130,0,511009,375,133.859098851358,133.859098851358,0.04028260573318026,52,,,,
7,alien,common,29,29,1,0,4.6105225000000000,9221.045,2000,2000,23,262.200000000000000000,0,271623,180,71.1517996890513,71.1517996890513,0.03557589984452565,59,,,,
8,angel,epic,29,24,1,0,17.5870800000000000,879.354,50,50,27,20260.000000000000000000,1,1807961,540,1073.5246045084255,1073.5246045084255,21.47049209016851,14,,,,
9,banana,rare,29,29,1,0,7.8674800000000000,1180.122,150,150,30,1987.000000000000000000,0,55691,24,11.668215096189677,11.668215096189677,0.07778810064126451,80,,,,
11,basketball,common,29,29,1,0,3.9126339355852317,9961.566,2347,4297,31,114.400000000000000000,0,88946,122,35.39979475164812,35.39979475164812,0.015082997337728216,69,,,,
12,beachball,common,29,29,1,0,3.6184701298701299,12537.999,3229,3516,7,140.000000000000000000,0,320744,232,310.26387469697835,310.26387469697835,0.0960866753474693,34,,,,
13,bomb,uncommon,29,29,1,0,5.0170350000000000,3010.221,600,600,20,758.000000000000000000,0,1944524,625,716.2270741494345,716.2270741494345,1.1937117902490575,17,,,,
14,shades,epic,29,29,1,0,14.5822600000000000,729.113,50,50,3,12510.000000000000000000,0,327428,59,277.75968954255404,277.75968954255404,5.555193790851081,38,,,,
15,bowling,common,29,29,1,0,3.5245901886792453,4670.082,1323,2000,12,150,0,256585,185,164.91300201883547,164.91300201883547,0.12465079517674639,47,,,,
17,ninja,rare,29,29,1,0,10.3315000000000000,1033.150,100,100,22,3500,0,38633,24,15.81653417225397,15.81653417225397,0.1581653417225397,77,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.1915533333333333,1378.733,150,150,31,3500,0,581718,166,534.4126476533846,534.4126476533846,3.5627509843558975,25,,,,
19,button,common,29,29,1,0,3.8154479166666667,12819.905,3100,3360,25,126.000000000000000000,0,308195,201,185.64743944788185,185.64743944788185,0.059886270789639304,45,,,,
20,cat,uncommon,29,29,1,0,5.0884366666666667,3053.062,600,600,19,800.000000000000000000,1,892115,258,641.8299118130351,641.8299118130351,1.0697165196883918,23,,,,
21,cherry,rare,21,21,1,0,9.7260800000000000,972.608,98,100,14,3660.000000000000000000,0,1795218,2223,1104.3469032781672,1104.3469032781672,11.268845951818033,13,,,,
22,egg,rare,29,29,1,0,13.3668100000000000,1336.681,100,100,13,9860.000000000000000000,0,1420292,650,527.3573011245962,527.3573011245962,5.273573011245962,26,,,,
23,coconut,rare,29,29,1,0,6.8301072664359862,1973.901,276,289,23,1800,0,494768,191,122.57122286847338,122.57122286847338,0.4440986335814253,54,,,,
24,cute,uncommon,29,29,1,0,5.6010825309491059,4071.987,710,727,23,554.000000000000000000,0,30717,25,8.046335660266578,8.046335660266578,0.011332867127136026,82,,,,
25,devil,epic,29,29,1,0,13.6477777777777778,1105.470,80,81,26,9300,1,950721,259,650.7578733849178,650.7578733849178,8.134473417311472,21,,,,
26,revolver,uncommon,29,24,1,0,3.8113383333333333,2286.803,600,600,26,800.600000000000000000,0,506672,462,443.3238817306393,443.3238817306393,0.7388731362177322,27,,,,
27,disguise,epic,29,29,1,0,12.2131428571428571,940.412,76,77,25,5957.000000000000000000,0,507959,119,243.41980764177674,243.41980764177674,3.202892205812852,40,,,,
