id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
44,moon,uncommon,29,29,1,0,6.2212016666666667,3732.721,600,600,21,5750,1,2749333,2493332,651,1501.378691068352,1501.378691068352,2.5022978184472535,8,,,,
45,bull,uncommon,29,29,1,0,6.3819183937823834,4926.841,738,772,24,504.000000000000000000,0,316591,316591,88,45.700655789914535,45.700655789914535,0.06192500784541265,52,,,,
46,opencan,uncommon,29,29,1,0,5.0138433333333333,3008.306,600,600,4,500.000000000000000000,0,5851,5851,6,1.4849733074318516,1.4849733074318516,0.0024749555123864194,77,,,,
47,candyswirl,rare,29,29,1,0,11.6949900000000000,1169.499,100,100,20,7100.000000000000000000,1,1382803,977246,470,462.4035951389594,462.4035951389594,4.624035951389594,23,,,,
48,royman,epic,29,29,1,0,12.5560400000000000,627.802,50,50,23,6500,0,1410011,717928,189,592.0670077162266,592.0670077162266,11.841340154324532,18,,,,
49,panda,uncommon,29,29,1,0,5.5047016666666667,3302.821,599,600,24,527.000000000000000000,0,335110,335110,101,177.98060970510252,177.98060970510252,0.2971295654509224,40,,,,
50,melon,rare,29,29,1,0,7.0426245353159851,1894.466,265,269,27,1600,0,402976,402976,41,231.8852297471042,231.8852297471042,0.8750386028192612,34,,,,
51,casinochip,uncommon,29,29,1,0,5.3671316666666667,3220.279,600,600,19,3000.000000000000000000,3,8300767,7269435,1847,5160.430612682354,6160.430612682354,10.26738435447059,2,,1000,500.000000000000000000,122
52,pizza,rare,29,29,1,0,8.9107733333333333,1336.616,150,150,17,2225,1,1596698,1121504,261,659.7461924780695,659.7461924780695,4.3983079498537965,16,,,,
53,jackolantern,rare,29,29,1,0,9.7065933333333333,1455.989,150,150,33,1850,0,24152,24152,21,1.0038924015408117,1.0038924015408117,0.0066926160102720785,82,,,,
54,waffle,uncommon,29,24,1,0,5.1748253094910591,3762.098,678,727,20,370.598000000000000000,0,6724,6724,6,0.8552968443147064,0.8552968443147064,0.001261499770375673,83,,,,
55,saturn,common,29,29,1,0,3.7605305000000000,7521.061,1996,2000,10,220,0,142098,142098,72,24.23201053705457,24.23201053705457,0.012140285840207701,59,,,,
56,marble,rare,29,29,1,0,7.5325818815331010,2161.851,278,287,21,1500,1,730081,415055,59,489.07130240241025,489.07130240241025,1.759249289217303,21,,,,
57,skull,uncommon,29,29,1,0,6.5809539877300613,4290.782,650,652,8,822,1,2349274,1656752,540,1067.8580569403912,1067.8580569403912,1.6428585491390633,9,,,,
58,skullpatch,rare,29,24,1,0,9.1592600000000000,1373.889,150,150,24,2350,0,239310,133172,54,114.45243807111714,114.45243807111714,0.7630162538074476,45,,,,
59,football,common,29,21,1,0,4.2305600000000000,8461.120,1997,2000,15,1050,5,10144772,9735509,2114,3843.295366062581,4343.295366062581,2.1749100481034453,3,,500,600.000000000000000000,165
60,starballoon,common,29,29,1,0,3.4734378231292517,12764.884,3412,3676,18,99,0,89957,89935,45,31.349411804872524,31.349411804872524,0.00918798704714904,56,,,,
61,tamagochi,epic,29,29,1,0,12.1192763157894737,921.065,76,76,11,6612.379047619047600000,0,135676,135676,48,30.459597559245196,30.459597559245196,0.400784178411121,57,,,,
62,target,uncommon,29,29,1,0,5.0491501340482574,3766.666,711,746,11,399,0,10209,10209,2,1.4236480977679016,1.4236480977679016,0.0020023179996735605,79,,,,
64,tomato,uncommon,29,29,1,0,5.0408120893561104,3836.058,739,761,33,400,0,115012,115012,40,4.780542931683166,4.780542931683166,0.006468934954916327,70,,,,
65,volleyball,common,29,29,1,0,3.1119255000000000,6223.851,2000,2000,18,293.000000000000000000,0,574567,574567,194,281.2302569205699,281.2302569205699,0.14061512846028495,29,,,,
66,racoon,uncommon,29,24,1,0,6.3611424903722721,4955.330,733,779,10,399,0,141362,75658,43,24.879409100293888,24.879409100293888,0.033941895089077606,58,,,,
67,peach,rare,29,29,1,0,10.2137400000000000,1021.374,100,100,19,4475,0,254133,254133,97,132.70339487150972,132.70339487150972,1.327033948715097,43,,,,
68,watermelon,uncommon,29,29,1,0,4.2450266666666667,2547.016,600,600,19,565.798000000000000000,0,406839,405281,236,139.0974368571907,139.0974368571907,0.23182906142865117,42,,,,
69,citrus,epic,29,29,1,0,15.7599200000000000,787.996,50,50,21,7206.400000000000000000,0,513132,515103,136,200.83929375776705,200.83929375776705,4.016785875155341,38,,,,
70,potion,epic,29,29,1,0,14.0706400000000000,703.532,50,50,16,9440.000000000000000000,1,1093969,567411,140,496.8558356359931,496.8558356359931,9.937116712719863,19,,,,
71,crlogo,legendary,29,29,1,0,35.4664000000000000,354.664,10,10,3,72464.800000000000000000,0,8005008,7412949,1292,2961.9837997196573,2961.9837997196573,296.1983799719657,4,,,400.000000000000000000,
72,yinyang,uncommon,29,29,1,0,5.4835328671328671,3920.726,687,715,28,408.600000000000000000,0,83352,83352,31,7.9187236783887975,7.9187236783887975,0.011526526460536823,68,,,,
73,waffle2,legendary,29,29,1,0,17.7596666666666667,319.674,18,18,8,40000,0,832657,832657,168,235.04019821739985,235.04019821739985,13.057788789855547,33,,,,
74,snowman,epic,29,29,1,0,12.5356800000000000,626.784,50,50,6,6955.400000000000000000,0,636281,400177,103,226.32322202543662,226.32322202543662,4.526464440508732,35,,,,
75,crosshair,common,29,29,1,0,3.5901600000000000,7180.320,2000,2000,7,900.000000000000000000,0,3855155,3851005,848,917.2777747155385,917.2777747155385,0.45863888735776925,11,,,,
76,xmasball2,common,29,29,1,0,3.3872087939698492,13481.091,3760,3980,15,55,0,295681,295681,153,251.97605644978478,251.97605644978478,0.06701490863026191,32,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.5069600000000000,1150.696,100,100,31,3638.800000000000000000,0,434007,218974,38,92.95462719627963,92.95462719627963,0.9295462719627963,48,,,,
78,vase,common,29,24,1,0,2.5119050000000000,5023.810,1999,2000,5,170.000000000000000000,0,1012723,1010037,258,260.55049141374855,260.55049141374855,0.1303404159148317,31,,,,
79,ufo,uncommon,29,29,1,0,5.9548050000000000,3572.883,600,600,8,2000,0,668648,668648,76,280.49181077716645,280.49181077716645,0.46748635129527744,30,,,,
80,wheeee,rare,29,29,1,0,9.0115600000000000,1351.734,150,150,29,4211.400000000000000000,0,68588,68588,15,18.566426646946677,18.566426646946677,0.12377617764631119,62,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.5713000000000000,878.565,50,50,33,16800.000000000000000000,0,280933,280933,73,11.677149057720472,11.677149057720472,0.23354298115440944,65,,,,
83,ape,epic,29,29,1,0,16.9852600000000000,849.263,50,50,12,7500,1,1643520,764784,337,489.41897301166307,489.41897301166307,9.788379460233262,20,,,,
84,ghost,epic,29,29,1,0,23.3420400000000000,1167.102,50,50,28,47000,2,6219557,5184968,1105,1547.0469543764552,1547.0469543764552,30.940939087529106,7,,,100.000000000000000000,
85,diver,rare,29,21,1,0,8.3063400000000000,1245.951,150,150,18,6800.000000000000000000,4,3306536,2833234,743,2039.554096291109,2039.554096291109,13.597027308607395,6,,,,
86,cobra,legendary,29,29,1,0,34.4182000000000000,344.182,10,10,13,72500,1,2422452,1938415,437,935.6351037787159,935.6351037787159,93.5635103778716,10,,,,
87,clock,common,29,29,1,0,2.4705965000000000,4941.193,2000,2000,5,203.200000000000000000,0,28063,28063,22,3.7996180466767475,3.7996180466767475,0.0018998090233383737,74,,,,
88,ladybug,rare,29,21,1,0,9.9908133333333333,1498.622,150,150,19,10000,1,5993535,4722714,1343,2507.914235794943,2507.914235794943,16.719428238632954,5,,,100.000000000000000000,
89,dragon,epic,29,29,1,100.000000000000000000,16.5356200000000000,826.781,50,50,30,10000,0,1261346,1261346,264,359.7950006486774,359.7950006486774,7.1959000129735475,26,,,,
90,virus,common,29,29,1,0,2.5553135000000000,5110.627,2000,2000,24,145.000000000000000000,0,131147,131147,50,23.468951905543147,23.468951905543147,0.011734475952771573,60,,,,
91,cougar,rare,29,29,1,0,9.1825200000000000,1377.378,150,150,19,2580.000000000000000000,1,631942,389909,139,485.6654387472489,485.6654387472489,3.237769591648326,22,,,,
92,botroyale,legendary,29,29,1,0,23.6482000000000000,236.482,10,10,17,47240.000000000000000000,0,97092,97092,29,12.445266373662308,12.445266373662308,1.244526637366231,63,,,,
93,mummy,epic,29,29,1,0,15.2126200000000000,760.631,50,50,10,10000,0,71477,71477,9,12.188992224781837,12.188992224781837,0.24377984449563672,64,,,,
94,frankie,rare,29,29,1,0,7.6998533333333333,1154.978,150,150,25,3100,0,1120507,1021765,393,350.7878855841343,350.7878855841343,2.3385859038942285,27,,,300.000000000000000000,
95,earth,uncommon,29,29,1,0,3.0834533333333333,1850.072,600,600,7,749.998000000000000000,0,488765,293792,130,288.628167716302,288.628167716302,0.4810469461938367,28,,,,
131,bat,epic,29,29,1,0,11.2289800000000000,561.449,50,50,17,11380.000000000000000000,0,582711,582914,206,183.3955580088306,183.3955580088306,3.6679111601766117,39,,,,
