id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,30.8535000000000000,308.535,10,10,11,56400.000000000000000000,0,622737,74,216.83851597822812,216.83851597822812,21.683851597822812,37,,,,
4,8ball,common,29,29,1,0,4.2029072107322527,15038.002,3309,3578,24,106.000000000000000000,0,321624,213,47.719244002002384,47.719244002002384,0.01442104684255134,54,,,,
7,alien,common,29,29,1,0,4.7080920000000000,9416.184,2000,2000,24,205,0,105919,75,21.413040982535087,21.413040982535087,0.010706520491267543,67,,,,
8,angel,epic,29,29,1,0,15.2676400000000000,763.382,50,50,15,10400,0,673974,137,84.45689171488144,84.45689171488144,1.6891378342976286,49,,,,
9,banana,rare,29,29,1,0,7.9627533333333333,1194.413,150,150,11,2000,0,611800,89,273.9858077515597,273.9858077515597,1.8265720516770647,35,,,,
11,basketball,common,29,29,1,0,3.2130015894039735,12129.081,3577,4236,26,81.380000000000000000,0,125439,152,18.39696135480806,18.39696135480806,0.0051431259029376735,69,,,,
12,beachball,common,29,24,1,0,3.6081403258073735,12624.883,3265,3499,25,117.800000000000000000,0,579600,134,164.11557003931713,164.11557003931713,0.0502651056781982,41,,,,
13,bomb,uncommon,29,24,1,0,5.2585816666666667,3155.149,600,600,15,1200,3,5879228,1248,2533.14405209539,2533.14405209539,4.221906753492317,6,,,,
14,shades,epic,29,29,1,0,14.9764800000000000,748.824,50,50,7,11111,0,53558,16,16.122150787406763,16.122150787406763,0.3224430157481353,70,,,,
15,bowling,common,29,29,1,0,2.9543175000000000,5908.635,1998,2000,22,200,0,134090,102,29.68762327607924,29.68762327607924,0.014858670308347968,59,,,,
17,ninja,rare,29,29,1,0,10.4838300000000000,1048.383,100,100,32,5020.000000000000000000,0,1353144,154,406.285792076378,406.285792076378,4.06285792076378,23,,,,
