id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,29.8268000000000000,298.268,10,10,22,63900.000000000000000000,0,1672662,251,696.7456435723141,696.7456435723141,69.6745643572314,22,,,,
4,8ball,common,29,29,1,0,4.1711391910739191,14953.534,3316,3585,30,128.800000000000000000,0,285505,413,44.55486897293722,44.55486897293722,0.01343632960583149,60,,,,
7,alien,common,29,29,1,0,4.6559290000000000,9311.858,2000,2000,18,240,0,339314,209,79.76503818258527,79.76503818258527,0.03988251909129264,51,,,,
8,angel,epic,29,24,1,0,17.7991800000000000,889.959,50,50,23,32000,0,1902333,706,1607.4848147983282,1607.4848147983282,32.149696295966564,11,200.000000000000000000,,,
9,banana,rare,29,29,1,0,7.9003200000000000,1185.048,150,150,11,2229.600000000000000000,0,84140,30,21.473885796688386,21.473885796688386,0.14315923864458924,76,,,,
11,basketball,common,29,24,1,0,3.9148076323987539,10053.226,2369,4286,4,140.600000000000000000,0,156337,125,49.25751087242453,49.25751087242453,0.020792533082492414,58,,,,
12,beachball,common,29,29,1,0,3.5897520661157025,12596.440,3275,3509,31,124.600000000000000000,0,579778,453,248.50926913973976,248.50926913973976,0.0758806928670961,35,,,,
13,bomb,uncommon,29,24,1,0,5.0722850000000000,3043.371,600,600,27,920.476000000000000000,0,1619039,333,771.8764415561365,771.8764415561365,1.286460735926894,19,,,,
14,shades,epic,29,29,1,0,14.7103800000000000,735.519,50,50,13,12000,0,204832,186,43.79479228487968,43.79479228487968,0.8758958456975935,62,,,,
15,bowling,common,29,29,1,0,3.2043274173806610,5235.871,1632,2000,28,164.000000000000000000,0,178485,246,39.785791220700396,39.785791220700396,0.02437854854209583,64,,,,
17,ninja,rare,29,29,1,0,10.4193800000000000,1041.938,100,100,28,5650.000000000000000000,0,577,2,0.12942220650439426,0.12942220650439426,0.0012942220650439427,86,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.3314933333333333,1399.724,150,150,14,3593.000000000000000000,0,1841870,423,522.5469967386485,522.5469967386485,3.4836466449243235,28,,,,
19,button,common,24,29,1,0,3.8259418257756563,12824.557,3094,3352,33,116.000000000000000000,1,1833451,307,959.3135432749546,959.3135432749546,0.31005609026339837,17,,,,
20,cat,uncommon,29,29,1,0,5.1323700000000000,3079.422,600,600,13,1075.400000000000000000,0,1333541,525,740.8683044361617,740.8683044361617,1.234780507393603,20,,,,
21,cherry,rare,29,29,1,0,10.1367400000000000,1013.674,98,100,16,3962.000000000000000000,0,253777,123,164.9635646535632,164.9635646535632,1.6833016801384,45,,,,
22,egg,rare,29,24,1,0,13.6580400000000000,1365.804,100,100,7,6960.000000000000000000,0,2454394,881,732.1809090439201,732.1809090439201,7.321809090439201,21,,,,
23,coconut,rare,29,29,1,0,6.8535224913494810,1980.668,276,289,30,1495,0,185750,179,30.666962142318617,30.666962142318617,0.11111218167506745,70,,,,
24,cute,uncommon,29,29,1,0,5.6385254470426410,4099.208,710,727,23,730,0,25354,25,9.758110276763166,9.758110276763166,0.013743817291215725,82,,,,
25,devil,epic,29,29,1,0,13.8902098765432099,1125.107,80,81,10,9500,0,1568683,570,499.0145562111391,499.0145562111391,6.237681952639239,29,,,,
26,revolver,uncommon,29,24,1,0,3.9405183333333333,2364.311,600,600,15,1200.000000000000000000,0,1563576,981,657.8347273808433,657.8347273808433,1.0963912123014055,23,,,,
27,disguise,epic,29,29,1,0,12.1277466666666667,909.581,74,75,29,8000,0,177036,60,50.76650638782336,50.76650638782336,0.6860338701057211,57,,,,
28,dog,uncommon,29,29,1,0,4.7173666666666667,2830.420,600,600,21,661.000000000000000000,0,235427,147,73.90435403237414,73.90435403237414,0.12317392338729025,52,,,,
29,donut,uncommon,29,29,1,0,5.4387350199733688,4084.490,691,751,19,711.047619047540000000,0,297326,155,203.66971376780276,203.66971376780276,0.2947463296205539,42,,,,
30,baseball,epic,29,29,1,0,9.6089142857142857,672.624,69,70,17,6718.800000000000000000,0,6087,4,2.0726921661300035,2.0726921661300035,0.030039016900434833,85,,,,
31,bowie,rare,29,29,1,0,7.7804403669724771,2544.204,323,327,12,1550,0,243483,253,101.45072196972839,101.45072196972839,0.31408892250689907,49,,,,
32,eyeball,rare,29,29,1,0,6.9922226027397260,2041.729,279,292,23,1500,0,28471,24,10.957764364192006,10.957764364192006,0.039275141090293925,81,,,,
33,eyeball2,epic,29,29,1,0,10.3104933333333333,773.287,71,75,8,6640.000000000000000000,0,99862,67,22.2426629222029,22.2426629222029,0.313276942566238,75,,,,
34,discoball,epic,29,29,1,0,13.8275660377358491,732.861,53,53,23,8709.332000000000000000,0,395619,164,152.26369920260186,152.26369920260186,2.872899984954752,46,,,,
35,fishcake,uncommon,29,29,1,0,5.3205781671159030,3947.869,692,742,20,464.380952380940000000,0,39671,38,13.649656073971522,13.649656073971522,0.019724936523080234,80,,,,
