id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,30.6596000000000000,306.596,10,10,21,56400.000000000000000000,0,319978,91,80.15058331983519,80.15058331983519,8.01505833198352,49,,,,
4,8ball,common,29,29,1,0,4.1980388051367951,15037.375,3313,3582,11,189,0,413692,335,61.971090995850936,61.971090995850936,0.018705430424343777,52,,,,
7,alien,common,29,29,1,0,4.6940470000000000,9388.094,2000,2000,29,200,0,227501,184,56.107838517170165,56.107838517170165,0.028053919258585084,57,,,,
8,angel,epic,29,29,1,0,18.0169000000000000,900.845,50,50,9,30280.000000000000000000,3,5424993,419,2355.9476215780555,2355.9476215780555,47.11895243156111,7,,,,
9,banana,rare,29,29,1,0,7.9617666666666667,1194.265,150,150,11,2254.000000000000000000,0,605993,155,168.43908517398762,168.43908517398762,1.1229272344932508,43,,,,
11,basketball,common,29,29,1,0,3.5162226103524929,11072.585,2951,4253,20,100,0,307595,295,73.86125188295168,73.86125188295168,0.025029228018621376,50,,,,
12,beachball,common,29,29,1,0,3.6018566533409480,12613.702,3268,3502,23,143.000000000000000000,0,279500,143,59.473149269013334,59.473149269013334,0.018198638087213382,54,,,,
13,bomb,uncommon,29,29,1,0,5.1362816666666667,3081.769,600,600,23,1210.000000000000000000,0,625375,299,148.61695434020154,148.61695434020154,0.2476949239003359,46,,,,
14,shades,epic,29,29,1,0,14.8712400000000000,743.562,50,50,32,13240.000000000000000000,0,2419154,390,634.0173374648393,634.0173374648393,12.680346749296787,24,,,,
15,bowling,common,29,29,1,0,2.9434585000000000,5886.917,1998,2000,25,220,0,94324,117,8.361272041533413,8.361272041533413,0.004184820841608315,79,,,,
17,ninja,rare,29,29,1,0,10.4491800000000000,1044.918,100,100,24,4200,0,18783,12,2.1471497881882096,2.1471497881882096,0.021471497881882094,84,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.4655466666666667,1419.832,150,150,24,6000,1,4933130,850,1578.4562622869812,1578.4562622869812,10.523041748579875,12,,,,
19,button,common,29,29,1,0,3.8253618421052632,12792.010,3086,3344,13,118.000000000000000000,0,91846,73,15.380128091894196,15.380128091894196,0.004983839303919053,73,,,,
20,cat,uncommon,29,24,1,0,5.1576866666666667,3094.612,600,600,6,950,0,1539723,415,660.4666858005867,660.4666858005867,1.1007778096676444,23,,,,
21,cherry,rare,29,29,1,0,10.1962000000000000,1019.620,98,100,19,3662.000000000000000000,0,113811,49,31.535271501282736,31.535271501282736,0.3217884847069667,67,,,,
22,egg,rare,29,29,1,0,13.7702100000000000,1377.021,100,100,17,8300.000000000000000000,0,1221180,464,371.2368755112416,371.2368755112416,3.712368755112416,30,,,,
23,coconut,rare,29,29,1,0,6.9496041666666667,2001.486,275,288,23,1660.000000000000000000,0,236762,190,50.37918342479477,50.37918342479477,0.18319703063561735,58,,,,
24,cute,uncommon,29,29,1,0,5.6702693370165746,4105.275,707,724,29,532.000000000000000000,0,98765,84,14.991561522752583,14.991561522752583,0.021204471743638733,74,,,,
