id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,ZonePrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,30.3865000000000000,303.865,10,10,11,54000,0,157760,57,20.234255038241386,20.234255038241386,2.0234255038241384,77,,,,
4,8ball,common,29,29,1,0,4.1907028459821429,15019.479,3315,3584,9,122.000000000000000000,0,538889,562,90.24524394444741,90.24524394444741,0.027223301340708116,52,,,,
7,alien,common,29,29,1,0,4.6744805000000000,9348.961,2000,2000,11,275,0,281337,261,150.1634626120239,150.1634626120239,0.07508173130601195,49,,,,
8,angel,epic,29,29,1,0,17.9343200000000000,896.716,50,50,18,28500,1,1198504,169,946.4533604429887,946.4533604429887,18.929067208859774,20,,,,
9,banana,rare,29,29,1,0,7.9390733333333333,1190.861,150,150,10,2129.600000000000000000,0,46540,43,16.217712968301953,16.217712968301953,0.10811808645534636,81,,,,
11,basketball,common,29,29,1,0,3.7216498936924167,10502.496,2623,4278,10,100,0,190518,275,181.46642121489162,181.46642121489162,0.0691827759111291,47,,,,
12,beachball,common,29,29,1,0,3.5964256776034237,12605.472,3271,3505,14,144,0,398969,289,94.45899780737395,94.45899780737395,0.028877712567219185,51,,,,
13,bomb,uncommon,29,24,1,0,5.0969850000000000,3058.191,600,600,9,1515.600000000000000000,1,3239389,706,1182.6614466663752,1182.6614466663752,1.9711024111106255,16,,,,
14,shades,epic,29,29,1,0,14.8054800000000000,740.274,50,50,29,10000,0,1191583,311,741.3258196609125,741.3258196609125,14.82651639321825,23,,,,
15,bowling,common,29,24,1,0,2.9118290000000000,5823.658,1998,2000,14,200,0,287691,299,68.11307028416047,68.11307028416047,0.03409062576784808,57,,,,
17,ninja,rare,29,29,1,0,10.4347800000000000,1043.478,100,100,12,5890.000000000000000000,0,209771,75,73.38682327811468,73.38682327811468,0.7338682327811468,55,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.4117066666666667,1411.756,150,150,27,4485.000000000000000000,0,2068880,419,1201.9720059722015,1201.9720059722015,8.013146706481344,15,,,,
19,button,common,29,24,1,0,3.8192609865470852,12775.428,3087,3345,9,140,0,129811,165,21.738846704372634,21.738846704372634,0.007042062424480931,75,,,,
20,cat,uncommon,29,24,1,0,5.1489766666666667,3089.386,600,600,5,1145.000000000000000000,0,688080,322,452.48580560353633,452.48580560353633,0.7541430093392272,30,,,,
21,cherry,rare,29,29,1,0,10.1697400000000000,1016.974,98,100,13,3662.000000000000000000,0,681997,369,273.62469659448783,273.62469659448783,2.79208874076008,41,,,,
22,egg,rare,29,29,1,0,13.7251400000000000,1372.514,100,100,14,8000,0,1271618,344,763.3258570049891,763.3258570049891,7.6332585700498905,22,,,,
23,coconut,rare,29,29,1,0,6.8806805555555556,1981.636,275,288,33,1598.095238095200000000,0,155941,128,36.262644090670555,36.262644090670555,0.1318641603297111,65,,,,
24,cute,uncommon,29,29,1,0,5.6521146408839779,4092.131,707,724,13,500,0,53203,79,7.430223934173366,7.430223934173366,0.0105095105150967,82,,,,
25,devil,epic,29,29,1,0,14.0328024691358025,1136.657,80,81,19,8440.000000000000000000,1,1421900,587,1153.3707305868927,1153.3707305868927,14.417134132336159,17,,,,
26,revolver,uncommon,29,29,1,0,3.9885400000000000,2393.124,600,600,15,1330.000000000000000000,0,671079,428,312.3370676672619,312.3370676672619,0.5205617794454366,38,,,,
27,disguise,epic,29,29,1,0,12.0216351351351351,889.601,73,74,27,8000,0,120529,43,18.494883385498024,18.494883385498024,0.2533545669246305,79,,,,
28,dog,uncommon,29,29,1,0,4.8353800000000000,2901.228,600,600,16,695,0,1299805,649,390.06283121937906,390.06283121937906,0.6501047186989651,33,,,,
29,donut,uncommon,29,29,1,0,5.4505750670241287,4066.129,686,746,5,350,0,270301,139,73.65030609960145,73.65030609960145,0.10736196224431699,54,,,,
30,baseball,epic,29,29,1,0,9.6179000000000000,673.253,69,70,23,6718.800000000000000000,0,10698,13,1.6385599631012608,1.6385599631012608,0.02374724584204726,85,,,,
31,bowie,rare,29,29,1,0,7.7981521739130435,2511.005,318,322,3,1535,0,361691,230,67.00933417331687,67.00933417331687,0.21072117664565054,59,,,,
32,eyeball,rare,29,29,1,0,6.9905275862068966,2027.253,277,290,33,1500,0,36320,30,34.454379178064244,34.454379178064244,0.12438404035402253,66,,,,
33,eyeball2,epic,29,29,1,0,10.3237466666666667,774.281,71,75,23,6500,0,4668,1,0.7149745660643751,0.7149745660643751,0.010070064310765847,86,,,,
34,discoball,epic,29,24,1,0,13.8532830188679245,734.224,53,53,6,8749.332000000000000000,0,317619,93,210.10849626032416,210.10849626032416,3.9643112501947955,45,,,,
35,fishcake,uncommon,29,29,1,0,5.3206000000000000,3910.641,685,735,13,304.998000000000000000,0,213891,143,29.871586705717256,29.871586705717256,0.043608155774769716,70,,,,
36,floater,rare,29,29,1,0,8.4777200000000000,1271.658,150,150,11,3240,0,27945,33,2.9209947242959817,2.9209947242959817,0.019473298161973213,84,,,,
37,fox,uncommon,29,29,1,0,5.9368661616161616,4701.998,720,792,17,375,0,254437,170,34.05725363569042,34.05725363569042,0.04730174116068114,67,,,,
38,fox777,legendary,29,29,1,0,30.7879285714285714,431.031,14,14,8,150000,0,1366232,429,230.44443226246798,230.44443226246798,16.460316590176284,44,,,,
40,gamer,rare,24,29,1,0,9.8164900000000000,981.649,99,100,7,3105.000000000000000000,0,2553196,931,1107.5971943474656,1107.5971943474656,11.187850447954197,18,,,,
41,xmasball,epic,29,29,1,0,10.7452833333333333,644.717,60,60,23,6980.000000000000000000,0,158782,73,24.319856801378236,24.319856801378236,0.40533094668963726,74,,,,
42,derp,uncommon,29,29,1,0,7.0257095238095238,2950.798,420,420,8,1355,0,530390,275,566.5269038860456,566.5269038860456,1.348873580681061,26,,,,
43,moneybag,legendary,29,29,1,0,18.3868000000000000,183.868,10,10,27,41000.138000000000000000,0,845267,450,362.69613494518853,362.69613494518853,36.26961349451885,36,,,,
44,moon,uncommon,29,24,1,0,5.8877700000000000,3532.662,600,600,7,5555,3,6829745,2397,4804.034335365545,5304.034335365545,8.840057225609241,3,500,200.000000000000000000,,
45,bull,uncommon,29,29,1,0,6.3471668822768435,4906.360,739,773,22,640.000000000000000000,0,287700,134,76.51242377669446,76.51242377669446,0.10353507953544581,53,,,,
46,opencan,uncommon,29,29,1,0,4.9118333333333333,2947.100,600,600,26,600.000000000000000000,1,2197557,407,825.374267938242,825.374267938242,1.37562377989707,21,,,,
47,candyswirl,rare,29,21,1,0,10.9230100000000000,1092.301,100,100,17,7881.400000000000000000,1,2338523,1330,1448.2976666475133,1448.2976666475133,14.482976666475134,14,,,,
48,royman,epic,29,29,1,0,12.0989000000000000,604.945,50,50,11,7000,0,204220,63,27.622749089676656,27.622749089676656,0.5524549817935331,72,,,,
49,panda,uncommon,24,29,1,0,5.3817283333333333,3229.037,599,600,24,970.000000000000000000,0,955391,422,400.55122083274534,400.55122083274534,0.6686998678342994,32,,,,
50,melon,rare,29,29,1,0,6.9902710622710623,1908.344,269,273,18,2000,0,143327,44,24.390644898722815,24.390644898722815,0.09067154237443426,73,,,,
51,casinochip,uncommon,29,29,1,0,4.9967466666666667,2998.048,600,600,3,1350,0,1101589,433,584.4963150983102,584.4963150983102,0.9741605251638503,25,,,,
52,pizza,rare,29,29,1,0,8.8153200000000000,1322.298,150,150,18,3960.000000000000000000,0,729371,278,308.50007155932803,308.50007155932803,2.0566671437288537,40,,,,
53,jackolantern,rare,29,29,1,0,9.5957133333333333,1439.357,150,150,23,2491.000000000000000000,0,187581,79,21.403708836938982,21.403708836938982,0.14269139224625987,76,,,,
54,waffle,uncommon,29,24,1,0,5.1176104252400549,3730.738,680,729,29,338.700000000000000000,0,114671,49,46.39755774955798,46.39755774955798,0.06823170257287939,64,,,,
55,saturn,common,29,29,1,0,3.6679490000000000,7335.898,1996,2000,4,244.400000000000000000,0,444227,445,55.97814219782407,55.97814219782407,0.028045161421755546,61,,,,
56,marble,rare,29,29,1,0,7.3355694444444444,2112.644,279,288,12,1700,0,697150,287,379.7431112258333,379.7431112258333,1.361086420164277,34,,,,
