id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9555000000000000,279.555,10,10,22,63785.714285714284000000,1,2802980,2195120,297,1424.3116314778536,1424.3116314778536,142.43116314778536,9,,,,
4,8ball,common,29,29,1,0,4.2184038031319911,15085.012,3307,3576,19,94.600000000000000000,0,1825661,967494,227,269.51240153804423,269.51240153804423,0.08149755111522354,30,,,,
7,alien,common,29,29,1,0,4.7243840000000000,9448.768,2000,2000,23,172.400000000000000000,0,51687,51687,20,8.127099664404573,8.127099664404573,0.004063549832202287,67,,,,
8,angel,epic,29,29,1,0,15.3125000000000000,765.625,50,50,15,10000,1,1967757,1218643,303,787.4273897506571,787.4273897506571,15.748547795013142,14,,,,
9,banana,rare,29,29,1,0,8.0677066666666667,1210.156,150,150,33,1870,0,226746,112529,76,175.26807919930053,175.26807919930053,1.1684538613286701,37,,,,
11,basketball,common,29,29,1,0,3.0928940397350993,13076.756,4030,4228,3,91.7,0,1104512,594143,457,231.49215531437264,231.49215531437264,0.05744222216237534,32,,,,
12,beachball,common,29,29,1,0,3.6145650185767362,12647.363,3265,3499,16,98,0,36300,36300,22,3.4711177449340047,3.4711177449340047,0.0010631294777745802,71,,,,
13,bomb,uncommon,29,29,1,0,5.3589116666666667,3215.347,600,600,8,1667.600000000000000000,1,5228407,4858095,655,1430.7061109179342,1430.7061109179342,2.3845101848632235,8,200.000000000000000000,,,
14,shades,epic,29,29,1,0,15.2110600000000000,760.553,50,50,10,9750,0,2632579,2512702,233,517.1722175277463,517.1722175277463,10.343444350554925,21,,,,
15,bowling,common,29,29,1,0,2.9872545000000000,5974.509,1998,2000,27,164,0,1012149,566645,219,293.77658758692047,293.77658758692047,0.14703532912258283,28,,,,
17,ninja,rare,29,29,1,0,10.5299500000000000,1052.995,100,100,12,4060.000000000000000000,0,,,,,,,85,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7755333333333333,1466.330,150,150,20,9320.000000000000000000,0,516425,516425,128,136.67576836312236,136.67576836312236,0.9111717890874824,40,,,,
19,button,common,29,29,1,0,3.8389173405211141,12818.145,3082,3339,3,105,0,36929,36929,44,7.574453017799957,7.574453017799957,0.002457642121284866,68,,,,
20,cat,uncommon,29,29,1,0,5.2911700000000000,3174.702,600,600,20,980.000000000000000000,1,1358699,1355317,396,609.1831922764287,609.1831922764287,1.0153053204607145,18,,,,
21,cherry,rare,29,29,1,0,10.2632500000000000,1026.325,98,100,26,3300.000000000000000000,0,429992,429992,151,51.371682800146665,51.371682800146665,0.5242008448994557,51,,,,
22,egg,rare,29,29,1,0,13.9928300000000000,1399.283,100,100,7,8500,1,2042451,1574165,389,1698.612083063704,1698.612083063704,16.986120830637038,7,,,,
23,coconut,rare,29,29,1,0,7.0430070422535211,2000.214,272,284,5,1550,0,48499,48499,22,5.901588036693301,5.901588036693301,0.021697014840784196,69,,,,
24,cute,uncommon,29,29,1,0,5.7195096685082873,4140.925,707,724,7,499,0,570,570,1,0.13156547862255966,0.13156547862255966,0.00018608978588763742,84,,,,
