id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
54,waffle,uncommon,29,29,1,0,5.1010013513513514,3774.741,691,740,23,500,0,47881,15,50.132021509009235,50.132021509009235,0.07254995876846489,56,,,,
55,saturn,common,29,29,1,0,3.9717515006002401,6616.938,1661,2000,31,176.598000000000000000,0,42872,56,35.246512670935786,35.246512670935786,0.021220055792255138,61,,,,
56,marble,rare,29,29,1,0,7.1867827586206897,2084.167,280,290,14,1591.000000000000000000,0,8138,7,26.315904715240222,26.315904715240222,0.09398537398300079,64,,,,
57,skull,uncommon,29,29,1,0,6.4949877488514548,4241.227,651,653,31,1229.998600000000000000,0,68816,45,56.5759473773819,56.5759473773819,0.08690621716955745,55,,,,
58,skullpatch,rare,29,29,1,0,8.7625666666666667,1314.385,150,150,25,2440.000000000000000000,0,247667,38,169.2712336871093,169.2712336871093,1.1284748912473952,38,,,,
59,soccerball,common,29,19,1,0,3.4302685000000000,6860.537,1997,2000,8,375.000000000000000000,0,140013,132,354.38586978172,354.38586978172,0.17745912357622431,27,,,,
60,starball,common,29,29,1,0,3.5042175199763244,11840.751,3115,3698,23,100.000000000000000000,0,16492,10,17.267335659793666,17.267335659793666,0.005543285926097485,67,,,,
61,tamagochi,epic,29,29,1,0,11.9810000000000000,922.537,77,77,17,7920.000000000000000000,0,958,2,1.333679505823306,1.333679505823306,0.017320513062640337,71,,,,
62,target,uncommon,29,29,1,0,5.0176701986754967,3788.341,720,755,14,298.000000000000000000,0,,,,,,82,,,,
64,tomato,uncommon,29,29,1,0,4.9103667953667954,3815.355,755,777,29,351.400000000000000000,0,,,,,,83,,,,
65,volleyball,common,29,29,1,0,3.6505511079342387,5107.121,1399,2000,23,155.000000000000000000,0,,,,,,84,,,,
66,racoon,uncommon,29,29,1,0,6.3188491761723701,4985.572,742,789,23,350.000000000000000000,0,3876,16,4.058221744928465,4.058221744928465,0.005469301543030276,70,,,,
67,peach,rare,29,29,1,0,10.1430396039603960,1024.447,101,100,22,2730.000000000000000000,0,6846,9,9.534951897109861,9.534951897109861,0.0944054643278204,69,,,,
68,watermelon,uncommon,29,29,1,0,3.8631766666666667,2317.906,600,600,16,660,0,111543,60,260.0924093357928,260.0924093357928,0.433487348892988,34,,,,
69,citrus,epic,29,29,1,0,15.5132000000000000,775.660,50,50,7,9500,0,53965,14,62.022803777072205,62.022803777072205,1.2404560755414442,53,,,,
70,potion,epic,29,29,1,0,13.8824400000000000,694.122,50,50,23,11131.000000000000000000,1,954161,173,2810.793692787071,2810.793692787071,56.21587385574142,3,,,,
71,crlogo,legendary,29,24,1,0,18.3156000000000000,183.156,10,10,10,40000,1,67931,69,304.07171873620484,304.07171873620484,30.407171873620484,30,,,,
72,yinyang,uncommon,29,29,1,0,5.4069533954727031,4060.622,723,751,23,380,0,,,,,,85,,,,
73,waffle2,legendary,29,29,1,0,17.0529523809523810,358.112,21,21,15,39000.000000000000000000,0,142479,58,266.6446307159832,266.6446307159832,12.697363367427773,33,,,,
74,snowman,epic,29,29,1,0,12.3529000000000000,617.645,50,50,14,8880.000000000000000000,0,62475,18,506.93202293986644,506.93202293986644,10.13864045879733,21,,,,
75,crosshair,common,29,24,1,0,3.1832145000000000,6366.429,2000,2000,23,480,0,90387,43,94.6363490347908,94.6363490347908,0.0473181745173954,48,,,,
76,xmasball2,common,29,29,1,0,3.8755340599455041,11378.568,2716,4018,8,55,0,24649,7,28.597605579264894,28.597605579264894,0.010529309859817707,62,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,10.5909000000000000,1059.090,100,100,7,6500.000000000000000000,1,468261,96,1058.5886608365608,1058.5886608365608,10.585886608365609,8,,,,
78,vase,common,29,29,1,0,2.8298061855670103,4117.368,1454,2000,29,136.000000000000000000,0,28200,15,370.3117796014706,370.3117796014706,0.25468485529674734,24,,,,
79,ufo,uncommon,24,16,1,0,5.1768533333333333,3106.112,600,600,7,2560.000000000000000000,1,645975,268,2336.2738184123596,2336.2738184123596,3.8937896973539328,4,,,500.000000000000000000,98
80,wheeee,rare,29,24,1,0,8.4232533333333333,1263.488,150,150,13,3000,0,13601,10,149.65131196758188,149.65131196758188,0.9976754131172125,39,,,,
81,owl,epic,29,29,1,200.000000000000000000,16.8245400000000000,841.227,50,50,18,18000,0,264290,55,186.5824521301783,186.5824521301783,3.731649042603566,36,,,100.000000000000000000,
83,ape,epic,16,24,1,0,14.7948800000000000,739.744,50,50,18,16088.000000000000000000,3,1930172,554,3044.6477552893607,3044.6477552893607,60.892955105787216,2,,,1200.000000000000000000,170.83333333333331
84,ghost,epic,29,29,1,0,18.9226200000000000,946.131,50,50,28,19200.000000000000000000,2,116759,24,1376.0447316709888,1376.0447316709888,27.520894633419775,7,,,,
85,diver,rare,29,29,1,0,7.5325866666666667,1129.888,150,150,32,4335.400000000000000000,0,143971,63,560.5099623695526,560.5099623695526,3.736733082463684,19,,,,
86,cobra,legendary,29,24,1,0,29.3736000000000000,293.736,10,10,31,73400.000000000000000000,2,1040521,188,1889.7082921644073,1889.7082921644073,188.97082921644073,5,,,,
87,clock,common,29,29,1,0,2.3353998923573735,4339.173,1858,2000,7,162.000000000000000000,0,91436,20,105.08879989178865,105.08879989178865,0.0565601721699616,46,,,,
88,ladybug,rare,29,29,1,0,9.2679333333333333,1390.190,150,150,11,5430.000000000000000000,0,191501,79,112.04123431448112,112.04123431448112,0.7469415620965407,43,,,,
89,dragon,epic,29,29,1,100.000000000000000000,14.8073200000000000,740.366,50,50,10,12350,1,258739,49,324.8279363476872,324.8279363476872,6.496558726953745,29,,,,
90,virus,common,29,29,1,0,2.3749860000000000,4749.972,2000,2000,4,174,0,7531,8,274.6402407037408,274.6402407037408,0.1373201203518704,32,,,,
91,cougar,rare,29,24,1,0,8.4747200000000000,1271.208,150,150,15,2710,1,277309,105,792.0994640978888,792.0994640978888,5.280663093985925,17,,,,
92,botroyale,legendary,29,24,1,0,13.6406000000000000,136.406,10,10,11,39200.000000000000000000,0,35396,28,41.25561623033882,41.25561623033882,4.1255616230338825,60,,,,
93,mummy,epic,29,29,1,0,13.3061000000000000,665.305,50,50,14,15500,2,286691,168,1676.7794407166307,1676.7794407166307,33.53558881433261,6,,,200.000000000000000000,
94,frankie,rare,29,29,1,0,5.8031666666666667,870.475,150,150,22,2574.000000000000000000,0,109691,55,367.68131080132605,367.68131080132605,2.451208738675507,25,,,,
