id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,24,1,300.000000000000000000,30.7644000000000000,307.644,10,10,8,56400.000000000000000000,0,460149,94,263.207171512861,263.207171512861,26.3207171512861,25,,,,
4,8ball,common,29,29,1,0,4.2017256216820341,15037.976,3310,3579,24,100,0,401417,276,170.03015197797566,170.03015197797566,0.05136862597521923,31,,,,
7,alien,common,29,29,1,0,4.7003860000000000,9400.772,2000,2000,23,200.998000000000000000,0,146706,83,154.5127399809215,154.5127399809215,0.07725636999046076,32,,,,
8,angel,epic,29,24,1,0,15.2353000000000000,761.765,50,50,4,11500,0,796024,155,254.95501044059142,254.95501044059142,5.099100208811828,27,,,,
9,banana,rare,29,29,1,0,7.9370533333333333,1190.558,150,150,7,2000,0,92344,28,30.413298347889594,30.413298347889594,0.20275532231926396,58,,,,
11,basketball,common,29,29,1,0,3.2797503510249930,11679.191,3363,4241,28,88,0,502400,273,59.22313557742079,59.22313557742079,0.017610209805953254,42,,,,
12,beachball,common,29,29,1,0,3.6035815947413547,12608.932,3265,3499,24,94.400000000000000000,0,173553,86,29.25232354587326,29.25232354587326,0.008959364026301151,59,,,,
13,bomb,uncommon,29,29,1,0,5.2283200000000000,3136.992,600,600,10,1450,0,1808041,691,1052.4479452346166,1052.4479452346166,1.7540799087243608,14,,,,
14,shades,epic,29,29,1,0,14.9470600000000000,747.353,50,50,9,13000,0,281377,115,39.0050308103416,39.0050308103416,0.780100616206832,52,,,,
15,bowling,common,29,29,1,0,2.9507810000000000,5901.562,1998,2000,32,195,0,278583,108,83.95859141576673,83.95859141576673,0.04202131702490827,37,,,,
17,ninja,rare,29,29,1,0,10.4591900000000000,1045.919,100,100,5,4499,0,768,1,0.12244787847018518,0.12244787847018518,0.0012244787847018519,87,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.5913866666666667,1438.708,150,150,18,6720.000000000000000000,1,3438699,701,1253.4088194518233,1253.4088194518233,8.356058796345488,13,,,,
19,button,common,29,29,1,0,3.8272624962586052,12786.884,3084,3341,8,87.000000000000000000,0,66377,57,8.593674035327897,8.593674035327897,0.0027865350309104727,75,,,,
20,cat,uncommon,29,29,1,0,5.1747016666666667,3104.821,600,600,6,930,0,927329,386,198.65152285851457,198.65152285851457,0.3310858714308576,29,,,,
21,cherry,rare,29,29,1,0,10.2261800000000000,1022.618,98,100,27,3200,0,214682,90,34.66361665094569,34.66361665094569,0.35371037398924177,53,,,,
22,egg,rare,29,29,1,0,13.8721800000000000,1387.218,100,100,22,7720.000000000000000000,0,2091610,483,520.3806324781451,520.3806324781451,5.203806324781451,21,,,,
23,coconut,rare,29,29,1,0,6.9514843205574913,1995.076,275,287,7,1700,0,141471,100,46.59317043418401,46.59317043418401,0.16942971066976004,47,,,,
24,cute,uncommon,29,29,1,0,5.6739502762430939,4107.940,707,724,27,544.000000000000000000,0,39271,40,6.340889732251834,6.340889732251834,0.008968726636848421,79,,,,
25,devil,epic,29,24,1,0,14.3064074074074074,1158.819,80,81,30,7702.400000000000000000,1,3554189,1226,1652.126373033252,1652.126373033252,20.65157966291565,10,,,,
26,revolver,uncommon,29,29,1,0,4.1038583333333333,2462.315,600,600,7,832.000000000000000000,0,570832,290,72.86626189647414,72.86626189647414,0.1214437698274569,40,,,,
27,disguise,epic,29,29,1,0,12.2304054054054054,905.050,73,74,23,8000,0,23393,22,6.0176472089385795,6.0176472089385795,0.08243352341011753,80,,,,
