id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.5007000000000000,325.007,10,10,8,79524.138000000000000000,0,95755,28,19.883789852618325,19.883789852618325,1.9883789852618325,67,,,,
4,8ball,common,29,29,1,0,4.1559261015058561,14903.151,3317,3586,4,126.000000000000000000,0,286808,279,188.0100772112362,188.0100772112362,0.056680758881892127,36,,,,
7,alien,common,29,29,1,0,4.6181370000000000,9236.274,2000,2000,31,214.000000000000000000,0,199976,121,40.594862565697014,40.594862565697014,0.020297431282848506,59,,,,
8,angel,epic,29,24,1,0,17.7244800000000000,886.224,50,50,7,18718.000000000000000000,0,434034,106,550.487722655266,550.487722655266,11.00975445310532,20,,,,
9,banana,rare,29,29,1,0,7.8818066666666667,1182.271,150,150,31,1899,0,58165,43,10.286651855462118,10.286651855462118,0.06857767903641412,77,,,,
11,basketball,common,29,29,1,0,3.9104605727736367,9967.764,2350,4291,9,123.600000000000000000,0,133902,90,43.98231464515404,43.98231464515404,0.018715878572405975,56,,,,
12,beachball,common,29,29,1,0,3.6084637931034483,12557.454,3245,3512,31,124.000000000000000000,0,247849,231,213.2088045016774,213.2088045016774,0.06570379183410706,34,,,,
13,bomb,uncommon,29,29,1,0,5.0420700000000000,3025.242,600,600,29,975,0,1898300,501,1282.3850654809896,1282.3850654809896,2.137308442468316,10,,,,
14,shades,epic,29,29,1,0,14.6369800000000000,731.849,50,50,32,12070.000000000000000000,0,311831,83,127.1588951358491,127.1588951358491,2.543177902716982,41,,,,
15,bowling,common,29,29,1,0,3.3832669902912621,4878.671,1440,2000,3,150,0,203979,129,44.060097773105774,44.060097773105774,0.030597290120212343,55,,,,
17,ninja,rare,29,29,1,0,10.3784300000000000,1037.843,100,100,7,4660.000000000000000000,0,56378,46,30.033958046052142,30.033958046052142,0.3003395804605214,62,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.2431800000000000,1386.477,150,150,31,3898.000000000000000000,0,287387,123,49.07116617810561,49.07116617810561,0.3271411078540374,53,,,,
19,button,common,29,24,1,0,3.8178330351818724,12805.012,3096,3354,3,142.800000000000000000,0,216902,123,60.63131956954356,60.63131956954356,0.019583759550886162,48,,,,
20,cat,uncommon,29,24,1,0,5.1071450000000000,3064.287,600,600,21,965.000000000000000000,0,1433735,469,827.1983436141218,827.1983436141218,1.3786639060235364,17,,,,
21,cherry,rare,29,29,1,0,10.0652400000000000,1006.524,98,100,31,3522.000000000000000000,0,13480,11,2.7471924437978457,2.7471924437978457,0.028032575957120873,84,,,,
22,egg,rare,29,29,1,0,13.4667600000000000,1346.676,100,100,31,6200.000000000000000000,0,1034087,596,504.67618600490766,504.67618600490766,5.0467618600490765,23,,,,
23,coconut,rare,29,29,1,0,6.8401003460207612,1976.789,276,289,33,1700,0,313623,36,51.2287088918836,51.2287088918836,0.18561126410102755,51,,,,
24,cute,uncommon,29,24,1,0,5.6206836313617607,4086.237,710,727,31,565.000000000000000000,0,62242,72,11.987041150723961,11.987041150723961,0.01688315655031544,73,,,,
25,devil,epic,29,29,1,0,13.6815185185185185,1108.203,80,81,20,8000,0,375411,165,230.57633638982375,230.57633638982375,2.8822042048727967,32,,,,
26,revolver,uncommon,29,29,1,0,3.8742633333333333,2324.558,600,600,14,1350.666000000000000000,0,1439127,611,899.7996439833515,899.7996439833515,1.499666073305586,16,,,,
27,disguise,epic,29,29,1,0,12.2619220779220779,944.168,76,77,28,5957.000000000000000000,0,418827,88,130.95962983150267,130.95962983150267,1.7231530240987194,40,,,,
28,dog,uncommon,29,29,1,0,4.6798666666666667,2807.920,600,600,4,580,0,322991,215,76.11856186639595,76.11856186639595,0.1268642697773266,45,,,,
29,donut,uncommon,29,29,1,0,5.4499136786188579,4103.785,693,753,18,430,0,409345,160,193.4436346981887,193.4436346981887,0.2791394440089303,35,,,,
30,baseball,epic,29,29,1,0,9.6015285714285714,672.107,69,70,17,5518.800000000000000000,0,455,1,0.11004891263608226,0.11004891263608226,0.0015949117773345254,86,,,,
