id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9243000000000000,279.243,10,10,24,59900.000000000000000000,0,1092012,701597,122,294.3547352541549,294.3547352541549,29.43547352541549,29,,,,
4,8ball,common,29,29,1,0,4.2189172722191168,15095.286,3309,3578,4,96,0,200083,200083,140,24.277221497666137,24.277221497666137,0.007336724538430383,57,,,,
7,alien,common,29,29,1,0,4.7218225000000000,9443.645,2000,2000,5,190,0,63616,63616,44,10.83677277601582,10.83677277601582,0.00541838638800791,66,,,,
8,angel,epic,29,29,1,0,15.2932800000000000,764.664,50,50,15,10800.000000000000000000,0,18676,18497,13,2.8665325900440446,2.8665325900440446,0.05733065180088089,78,,,,
9,banana,rare,29,29,1,0,8.0581600000000000,1208.724,150,150,4,2040.000000000000000000,0,171168,171168,43,20.768798195311533,20.768798195311533,0.1384586546354102,58,,,,
11,basketball,common,29,29,1,0,3.0806993850520341,13025.197,4030,4228,20,74.400000000000000000,0,218783,218783,148,125.51154356478108,125.51154356478108,0.031144303614089597,43,,,,
12,beachball,common,29,29,1,0,3.6124807087739354,12640.070,3265,3499,33,102.998000000000000000,0,44723,44723,49,4.831899855376976,4.831899855376976,0.0014799080720909576,74,,,,
13,bomb,uncommon,29,29,1,0,5.3368033333333333,3202.082,600,600,14,1488.000000000000000000,0,4078305,3744196,579,1074.9121703947455,1074.9121703947455,1.7915202839912425,10,100.000000000000000000,,,
14,shades,epic,29,29,1,0,15.0390600000000000,751.953,50,50,32,9750,1,2537649,1630880,198,1057.2655745626118,1057.2655745626118,21.145311491252237,11,,,,
15,bowling,common,29,29,1,0,2.9850645000000000,5970.129,1998,2000,9,172.000000000000000000,0,281899,163761,99,131.483392011427,131.483392011427,0.06580750350922271,42,,,,
17,ninja,rare,29,29,1,0,10.5173900000000000,1051.739,100,100,14,4560.000000000000000000,0,,,,,,,84,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.6747066666666667,1451.206,150,150,15,7000,1,1915898,1374681,401,687.6387703533759,687.6387703533759,4.584258469022506,16,,,,
19,button,common,29,29,1,0,3.8367613057801737,12810.946,3082,3339,16,103,0,26521,26521,23,4.081942270542343,4.081942270542343,0.001324445902187652,77,,,,
20,cat,uncommon,29,29,1,0,5.2206383333333333,3132.383,600,600,10,1000,0,577579,577040,270,70.08477867675013,70.08477867675013,0.11680796446125022,49,,,,
21,cherry,rare,29,29,1,0,10.2513800000000000,1025.138,98,100,13,3300.000000000000000000,0,339954,319167,111,171.4798656833402,171.4798656833402,1.7497945477891856,37,,,,
22,egg,rare,29,29,1,0,13.9602200000000000,1396.022,100,100,3,8500,1,1272812,1270987,309,666.9300591347887,666.9300591347887,6.669300591347888,17,,,,
23,coconut,rare,29,29,1,0,7.0741614035087719,2016.136,273,285,6,1550,0,305909,159079,50,156.973366095638,156.973366095638,0.574994015002337,39,,,,
24,cute,uncommon,29,29,1,0,5.7226082758620690,4148.891,708,725,23,500,0,46561,46546,44,4.5334031524055565,4.5334031524055565,0.006403111797182989,75,,,,
25,devil,epic,29,24,1,0,14.6368658536585366,1200.223,81,82,29,11000.000000000000000000,0,3141963,2606175,877,651.1180668722532,651.1180668722532,8.038494652743866,18,,,,
26,revolver,uncommon,29,29,1,0,4.1274350000000000,2476.461,600,600,8,748,0,1768589,1266842,414,539.4121047776757,539.4121047776757,0.8990201746294595,23,,,,
27,disguise,epic,29,29,1,0,12.3782837837837838,915.993,73,74,23,7880.000000000000000000,0,527916,527916,122,143.87764006820527,143.87764006820527,1.9709265762767845,41,,,,
28,dog,uncommon,29,29,1,0,5.0453050000000000,3027.183,600,600,8,520.400000000000000000,0,435886,435713,181,60.706869804312504,60.706869804312504,0.10117811634052085,50,,,,
29,donut,uncommon,29,29,1,0,5.5092600536193029,4109.908,686,746,26,400,0,7133,7133,12,1.509355468552683,1.509355468552683,0.00220022663054327,80,,,,
30,baseball,epic,29,29,1,0,9.6970142857142857,678.791,69,70,13,6718.800000000000000000,0,,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.8848829113924051,2491.623,312,316,7,1500,0,97800,97800,38,12.151658252077748,12.151658252077748,0.038947622602813294,63,,,,
32,eyeball,rare,29,24,1,0,7.0352249134948097,2033.180,276,289,12,1390.000000000000000000,0,767193,352656,284,147.10840569615493,147.10840569615493,0.5330014699136049,40,,,,
33,eyeball2,epic,29,29,1,0,10.5314400000000000,789.858,71,75,14,5690.000000000000000000,0,967,967,1,0.12058525870125819,0.12058525870125819,0.0016983839253698336,83,,,,
34,discoball,epic,29,29,1,0,14.0570188679245283,745.022,53,53,10,8000,0,1672,1672,1,0.21092413947446081,0.21092413947446081,0.003979700744801147,81,,,,
35,fishcake,uncommon,29,29,1,0,5.3575218579234973,3921.706,682,732,5,438.000000000000000000,0,1094,1094,3,0.18635924008050345,0.18635924008050345,0.00027325401771334816,82,,,,
36,floater,rare,29,29,1,0,8.5514800000000000,1282.722,150,150,22,2920.000000000000000000,0,18573,18573,12,2.4002787085506623,2.4002787085506623,0.016001858057004416,79,,,,
37,fox,uncommon,29,29,1,0,6.0435275288092190,4719.995,709,781,28,391,0,264433,264433,111,25.784586263014543,25.784586263014543,0.03636754056842672,56,,,,
38,fox777,legendary,29,29,1,0,31.7840714285714286,444.977,14,14,18,104100.000000000000000000,1,1888482,1454479,381,813.5323201452087,813.5323201452087,58.10945143894348,14,,,,
40,gamer,rare,29,29,1,0,10.3090100000000000,1030.901,99,100,7,5000,1,6169769,3709735,977,2036.6721116553597,2036.6721116553597,20.57244557227636,5,,,,
41,xmasball,epic,29,24,1,0,10.7930833333333333,647.585,60,60,17,8005.000000000000000000,0,55293,55293,20,5.1819596786586795,5.1819596786586795,0.08636599464431133,73,,,,
42,derp,uncommon,29,24,1,0,7.0862190476190476,2976.212,420,420,20,1160.000000000000000000,0,96340,94906,35,20.656554112897787,20.656554112897787,0.049182271697375685,59,,,,
43,moneybag,legendary,29,29,1,0,19.1626000000000000,191.626,10,10,13,41000.138000000000000000,0,56398,56398,25,8.348113956369017,8.348113956369017,0.8348113956369018,69,,,,
44,moon,uncommon,29,21,1,0,6.2077783333333333,3724.667,600,600,28,6450,1,3987273,3986713,1218,1236.8013396704623,1236.8013396704623,2.061335566117437,9,100.000000000000000000,,,
45,bull,uncommon,29,29,1,0,6.3783601036269430,4924.094,738,772,28,472.000000000000000000,0,351267,351267,112,34.25167911285781,34.25167911285781,0.046411489312815454,53,,,,
46,opencan,uncommon,29,29,1,0,5.0055350000000000,3003.321,600,600,24,506.000000000000000000,0,77134,77134,39,90.0732319908009,90.0732319908009,0.15012205331800152,48,,,,
47,candyswirl,rare,29,29,1,0,11.6450900000000000,1164.509,100,100,8,7250.000000000000000000,0,722127,722127,420,276.415124371143,276.415124371143,2.76415124371143,31,,,,
48,royman,epic,29,29,1,0,12.5103200000000000,625.516,50,50,6,6950,0,,,,,,,86,,,,
49,panda,uncommon,29,29,1,0,5.4832883333333333,3289.973,599,600,11,625,0,91268,91268,68,9.122691379230721,9.122691379230721,0.015229868746628917,68,,,,
50,melon,rare,29,29,1,0,7.0317896678966790,1905.615,267,271,7,1500,0,329986,329986,43,41.00078834325284,41.00078834325284,0.15356100503090953,51,,,,
51,casinochip,uncommon,29,29,1,0,5.2107050000000000,3126.423,600,600,11,2800,1,6063972,5773016,1314,1952.5220834080228,1952.5220834080228,3.254203472346705,6,100.000000000000000000,434,,
52,pizza,rare,29,29,1,0,8.9881066666666667,1348.216,150,150,11,2500,1,2024956,1255394,228,715.2686986162829,715.2686986162829,4.768457990775219,15,,,,
53,jackolantern,rare,29,29,1,0,9.6727800000000000,1450.917,150,150,22,2160.000000000000000000,0,33549,33549,10,4.335699692734948,4.335699692734948,0.028904664618232986,76,,,,
54,waffle,uncommon,29,29,1,0,5.1664209078404402,3755.988,678,727,30,398,0,65671,65671,29,19.174604625722413,19.174604625722413,0.02828112776655223,61,,,,
55,saturn,common,29,29,1,0,3.7527540000000000,7505.508,1996,2000,23,208.000000000000000000,0,93577,93577,36,9.389828423659662,9.389828423659662,0.004704322857544921,67,,,,
56,marble,rare,29,29,1,0,7.4992648083623693,2152.289,278,287,33,1260.000000000000000000,0,199036,199036,33,92.9721227511599,92.9721227511599,0.3344320962271939,47,,,,
57,skull,uncommon,29,29,1,0,6.5792679938744257,4296.262,651,653,10,999,1,2000048,1423386,523,539.6792022148225,539.6792022148225,0.8290003106218471,22,,,,
58,skullpatch,rare,29,29,1,0,9.1361733333333333,1370.426,150,150,31,2600,0,57190,56599,43,7.921111284901519,7.921111284901519,0.05280740856601013,70,,,,
59,football,common,16,21,1,0,4.1655945000000000,8331.189,1997,2000,19,1000,7,9431719,8797392,2956,5528.914770131673,8528.914770131672,4.270863680586716,1,600.000000000000000000,151,1000,3000
60,starballoon,common,29,29,1,0,3.4597714285714286,12714.660,3412,3676,18,78.000000000000000000,0,61956,61956,68,11.110929516681502,11.110929516681502,0.0032564271737050123,65,,,,
61,tamagochi,epic,29,29,1,0,11.9845000000000000,910.822,76,76,16,7293.000000000000000000,0,,,,,,,87,,,,
62,target,uncommon,29,29,1,0,5.0397801608579088,3759.676,711,746,26,388,0,393124,194809,54,159.15389004472067,159.15389004472067,0.22384513367752557,38,,,,
