id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9200000000000000,279.200,10,10,27,59900.000000000000000000,0,30841,30841,9,3.2694239092813286,3.2694239092813286,0.3269423909281329,77,,,,
4,8ball,common,29,29,1,0,4.2188742314141979,15095.132,3309,3578,4,96,0,266404,266404,124,96.36159269349291,96.36159269349291,0.029121061557417015,50,,,,
7,alien,common,29,29,1,0,4.7217875000000000,9443.575,2000,2000,5,192.000000000000000000,0,640406,368976,183,196.05134730774537,196.05134730774537,0.09802567365387269,34,,,,
8,angel,epic,29,29,1,0,15.2927800000000000,764.639,50,50,14,10800.000000000000000000,0,936652,478101,248,535.6674593921339,535.6674593921339,10.713349187842677,21,,,,
9,banana,rare,29,29,1,0,8.0580466666666667,1208.707,150,150,4,2020.000000000000000000,1,2434623,1329231,327,505.61744163677,505.61744163677,3.3707829442451334,23,,,,
11,basketball,common,29,29,1,0,3.0780208333333333,13001.560,4026,4228,20,92.400000000000000000,0,450101,450101,328,207.18625832819308,207.18625832819308,0.05146206118435,33,,,,
12,beachball,common,29,29,1,0,3.6119468419548442,12638.202,3265,3499,33,102.998000000000000000,0,24647,24647,23,3.2711131928188553,3.2711131928188553,0.0010018723408327275,76,,,,
13,bomb,uncommon,24,29,1,0,5.3323366666666667,3199.402,600,600,22,1488.000000000000000000,6,11574048,7844651,1403,4779.899468063504,7779.899468063504,12.966499113439173,1,1000,3000,100.000000000000000000,1540
14,shades,epic,29,29,1,0,15.0370400000000000,751.852,50,50,31,9800,1,2637540,1670386,285,1297.3038295947654,1297.3038295947654,25.946076591895306,8,,,,
15,bowling,common,29,29,1,0,2.9849300000000000,5969.860,1998,2000,8,172.000000000000000000,0,212913,212913,79,17.151009725264245,17.151009725264245,0.008584088951583706,67,,,,
17,ninja,rare,29,29,1,0,10.5173900000000000,1051.739,100,100,14,4560.000000000000000000,0,2550,2550,2,0.6518464151837398,0.6518464151837398,0.0065184641518373975,81,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.6722133333333333,1450.832,150,150,6,7000,1,2593806,1940836,393,708.2699065048986,708.2699065048986,4.721799376699324,13,,,,
19,button,common,29,29,1,0,3.8365387840670860,12810.203,3082,3339,23,103,0,85228,85228,33,16.725314839324177,16.725314839324177,0.0054267731470876625,68,,,,
20,cat,uncommon,29,29,1,0,5.2189716666666667,3131.383,600,600,18,1000,0,527549,524032,268,255.1853016913281,255.1853016913281,0.4253088361522135,30,,,,
21,cherry,rare,29,29,1,0,10.2507700000000000,1025.077,98,100,8,3300.000000000000000000,0,13687,13687,7,1.1517843523679836,1.1517843523679836,0.011752901554775343,79,,,,
