id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,32.5119000000000000,325.119,10,10,7,79524.138000000000000000,0,363174,71,161.40342786975282,161.40342786975282,16.140342786975282,46,,,,
4,8ball,common,24,29,1,0,4.1577744004461796,14909.779,3317,3586,22,174.000000000000000000,0,363150,380,210.81696025882445,210.81696025882445,0.06355651500115299,40,,,,
7,alien,common,29,29,1,0,4.6203420000000000,9240.684,2000,2000,23,210,0,227185,168,32.871857612331745,32.871857612331745,0.016435928806165873,71,,,,
8,angel,epic,29,29,1,0,17.7266200000000000,886.331,50,50,7,18718.000000000000000000,0,292892,62,105.4688906069465,105.4688906069465,2.10937781213893,55,,,,
9,banana,rare,29,29,1,0,7.8847266666666667,1182.709,150,150,20,2019.800000000000000000,0,571689,190,336.58212443412754,336.58212443412754,2.24388082956085,32,,,,
11,basketball,common,29,29,1,0,3.9088392787142297,9971.449,2352,4290,24,127.000000000000000000,0,191677,221,133.77461752791066,133.77461752791066,0.056876963234655895,51,,,,
12,beachball,common,29,29,1,0,3.6067322812051650,12569.462,3250,3512,6,127.400000000000000000,0,259598,246,52.274488366568285,52.274488366568285,0.016084457958944087,64,,,,
13,bomb,uncommon,29,29,1,0,5.0444266666666667,3026.656,600,600,7,780,2,2202969,501,1467.3249378388764,1467.3249378388764,2.445541563064794,13,,,,
14,shades,epic,29,29,1,0,14.6430800000000000,732.154,50,50,32,12064.000000000000000000,0,337903,77,334.68639398283017,334.68639398283017,6.6937278796566035,33,,,,
15,bowling,common,29,29,1,0,3.3677173169062286,4920.235,1459,2000,4,140.998000000000000000,0,228164,245,37.299381616433685,37.299381616433685,0.025565031950948378,67,,,,
17,ninja,rare,29,29,1,0,10.3799200000000000,1037.992,100,100,21,4920.000000000000000000,0,59048,32,17.994773797496077,17.994773797496077,0.17994773797496078,76,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.2449800000000000,1386.747,150,150,3,3650,0,373813,122,260.9136736402013,260.9136736402013,1.7394244909346752,37,,,,
19,button,common,29,29,1,0,3.8178807038473009,12801.354,3095,3353,21,174.800000000000000000,0,185397,195,182.69185107834946,182.69185107834946,0.05902806173775427,43,,,,
20,cat,uncommon,29,29,1,0,5.1092783333333333,3065.567,600,600,17,965.000000000000000000,0,877972,322,543.2895323247951,543.2895323247951,0.9054825538746585,23,,,,
21,cherry,rare,29,29,1,0,10.0663400000000000,1006.634,98,100,31,3522.000000000000000000,0,3918,7,1.4012391468301943,1.4012391468301943,0.014298358641124432,85,,,,
22,egg,rare,29,21,1,0,13.4823600000000000,1348.236,100,100,31,6600.000000000000000000,0,912755,479,821.7597465518106,821.7597465518106,8.217597465518105,18,,,,
23,coconut,rare,29,29,1,0,6.8406678200692042,1976.953,276,289,33,1700,0,230251,28,154.68259134889098,154.68259134889098,0.5604441715539529,47,,,,
24,cute,uncommon,29,29,1,0,5.6227193947730399,4087.717,710,727,3,565.000000000000000000,0,302130,154,77.26187638214566,77.26187638214566,0.10881954420020515,58,,,,
25,devil,epic,24,29,1,0,13.6887283950617284,1108.787,80,81,27,8000,0,630530,277,239.00055992560712,239.00055992560712,2.987506999070089,38,,,,
26,revolver,uncommon,29,24,1,0,3.8797366666666667,2327.842,600,600,15,1350.666000000000000000,0,1111162,733,919.4776648686411,919.4776648686411,1.5324627747810686,15,,,,
27,disguise,epic,29,29,1,0,12.2672467532467532,944.578,76,77,29,5957.000000000000000000,0,607175,211,441.19272595523836,441.19272595523836,5.8051674467794525,27,,,,
28,dog,uncommon,29,29,1,0,4.6818466666666667,2809.108,600,600,3,569.000000000000000000,0,244411,188,62.53254925070584,62.53254925070584,0.10422091541784306,62,,,,
29,donut,uncommon,29,29,1,0,5.4526547144754316,4105.849,693,753,23,437.200000000000000000,0,253772,129,36.718784470791,36.718784470791,0.05298525897661039,68,,,,
30,baseball,epic,29,29,1,0,9.6027428571428571,672.192,69,70,17,5518.800000000000000000,0,6192,16,1.2403806839920124,1.2403806839920124,0.01797653165205815,86,,,,
