id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,28.2712000000000000,282.712,10,10,17,58985.714285714284000000,0,90396,90130,40,9.547339392107423,9.547339392107423,0.9547339392107423,70,,,,
4,8ball,common,29,29,1,0,4.2193615771812081,15088.437,3307,3576,9,98,0,279189,279189,111,162.69411631202388,162.69411631202388,0.04919689032719198,38,,,,
7,alien,common,29,24,1,0,4.7256120000000000,9451.224,2000,2000,24,160.000000000000000000,0,70312,70312,64,7.309939049250083,7.309939049250083,0.0036549695246250414,74,,,,
8,angel,epic,29,29,1,0,15.3229000000000000,766.145,50,50,11,9000.000000000000000000,0,637405,340494,112,211.21831272249858,211.21831272249858,4.224366254449972,31,,,,
9,banana,rare,29,29,1,0,8.0769333333333333,1211.540,150,150,23,1922,0,2598,2598,4,0.29575066073488226,0.29575066073488226,0.0019716710715658816,85,,,,
11,basketball,common,29,29,1,0,3.0967947019867550,13093.248,4030,4228,4,85.776000000000000000,0,629515,407190,121,191.55747172942125,191.55747172942125,0.04753287139687872,33,,,,
12,beachball,common,29,29,1,0,3.6117037460680583,12630.128,3263,3497,8,95,0,44956,21645,22,10.274034799704605,10.274034799704605,0.003148646889275086,69,,,,
13,bomb,uncommon,29,24,1,0,5.3632700000000000,3217.962,600,600,23,1900,4,9377471,7977181,1176,3917.8417732098987,4917.841773209899,8.196402955349832,2,1000,100.000000000000000000,701,
14,shades,epic,29,29,1,0,15.2521200000000000,762.606,50,50,33,8888,0,1397583,1262050,140,525.2866025709613,525.2866025709613,10.505732051419226,18,,,,
15,bowling,common,29,29,1,0,3.0058305000000000,6011.661,1998,2000,27,162.000000000000000000,0,24883,24883,11,3.725296279869026,3.725296279869026,0.0018645126525871,75,,,,
17,ninja,rare,29,24,1,0,10.5518800000000000,1055.188,100,100,18,4120.000000000000000000,1,1444001,679210,152,638.527725951499,638.527725951499,6.385277259514989,16,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7806533333333333,1467.098,150,150,23,5000,0,478695,478695,145,54.655073883505985,54.655073883505985,0.3643671592233732,48,,,,
19,button,common,29,29,1,0,3.8390680047932894,12814.809,3081,3338,12,104.000000000000000000,0,18549,18549,17,2.5091555136831074,2.5091555136831074,0.0008143964666287269,78,,,,
20,cat,uncommon,29,29,1,0,5.3263616666666667,3195.817,600,600,15,950.000000000000000000,2,1638907,1284497,390,1696.7466823459504,1696.7466823459504,2.827911137243251,9,,,,
21,cherry,rare,29,29,1,0,10.2640600000000000,1026.406,98,100,18,3300.000000000000000000,0,122198,122198,48,16.588679549498153,16.588679549498153,0.16927224030100155,62,,,,
22,egg,rare,29,29,1,0,13.9962500000000000,1399.625,100,100,27,8500,0,1000165,986405,240,351.2879287714575,351.2879287714575,3.5128792877145747,21,,,,
23,coconut,rare,29,29,1,0,7.0195300353356890,1986.527,271,283,5,1550,0,72988,72988,35,11.689132235702303,11.689132235702303,0.04313332928303433,65,,,,
24,cute,uncommon,29,29,1,0,5.7214378453038674,4142.321,707,724,5,466,0,414183,206575,70,175.06691375744458,175.06691375744458,0.24761939711095415,36,,,,
25,devil,epic,29,24,1,0,14.9948414634146341,1229.577,81,82,3,11499.600000000000000000,0,2633898,2332752,952,587.0894738503132,587.0894738503132,7.248018195682879,17,,,,
26,revolver,uncommon,29,29,1,0,4.1422650000000000,2485.359,600,600,22,555,0,275170,275170,90,197.1507296760684,197.1507296760684,0.328584549460114,32,,,,
27,disguise,epic,29,29,1,0,12.3923513513513514,917.034,73,74,17,7380.000000000000000000,0,103785,103785,25,10.96144319228582,10.96144319228582,0.15015675605870987,67,,,,
28,dog,uncommon,29,29,1,0,5.0518966666666667,3031.138,600,600,27,494.400000000000000000,0,567018,302894,102,176.44188829648766,176.44188829648766,0.29406981382747943,35,,,,
29,donut,uncommon,29,21,1,0,5.5135415549597855,4113.102,686,746,26,400,0,90166,46767,37,11.101340290646815,11.101340290646815,0.016182711793945793,66,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,25,6718.800000000000000000,0,,,,,,,87,,,,
31,bowie,rare,29,29,1,0,7.8890094936708861,2492.927,312,316,3,1600,0,71898,71898,26,8.254283238565405,8.254283238565405,0.026456036021042965,72,,,,
32,eyeball,rare,29,17,1,0,7.0317361111111111,2025.140,275,288,33,1400,0,7416,3762,4,1.116102245817258,1.116102245817258,0.004058553621153665,81,,,,
33,eyeball2,epic,29,29,1,0,10.5328533333333333,789.964,71,75,14,5690.000000000000000000,0,12222,12222,8,2.1286242649716103,2.1286242649716103,0.02998062345030437,79,,,,
34,discoball,epic,29,29,1,0,14.3193018867924528,758.923,53,53,7,7777,0,554718,554718,54,96.88551868513773,96.88551868513773,1.828028654436561,44,,,,
35,fishcake,uncommon,29,29,1,0,5.3528166894664843,3912.909,681,731,7,392.000000000000000000,0,318,318,1,0.0555410045137778,0.0555410045137778,8.15580095650188e-05,86,,,,
36,floater,rare,29,29,1,0,8.5621800000000000,1284.327,150,150,28,2500,0,1404144,706665,116,523.8360043084607,523.8360043084607,3.4922400287230713,19,,,,
