id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,28.3472000000000000,283.472,10,10,7,58985.714285714284000000,0,86575,86575,8,6.868086556713733,6.868086556713733,0.6868086556713733,69,,,,
4,8ball,common,29,24,1,0,4.2213330536912752,15095.487,3307,3576,30,100,0,175229,175229,114,46.87022296437472,46.87022296437472,0.014173033856780986,53,,,,
7,alien,common,29,29,1,0,4.7260945000000000,9452.189,2000,2000,21,165.000000000000000000,0,542091,286194,191,148.91904338584797,148.91904338584797,0.07445952169292398,41,,,,
8,angel,epic,29,29,1,0,15.3530600000000000,767.653,50,50,28,9000.000000000000000000,0,174046,174046,90,43.72980992540188,43.72980992540188,0.8745961985080376,55,,,,
9,banana,rare,29,29,1,0,8.0851733333333333,1212.776,150,150,26,1922,0,11294,10802,11,11.39608725838098,11.39608725838098,0.0759739150558732,66,,,,
11,basketball,common,29,29,1,0,3.0988654210028382,13102.003,4030,4228,13,94.7,0,536626,312427,220,63.27589246969002,63.27589246969002,0.01570121401233003,49,,,,
12,beachball,common,29,29,1,0,3.6104036041189931,12621.971,3262,3496,12,92,0,9424,9510,10,2.7510580717126936,2.7510580717126936,0.000843365441972009,76,,,,
13,bomb,uncommon,29,29,1,0,5.3712733333333333,3222.764,600,600,3,2024,0,6417971,6351693,983,864.5126105770821,864.5126105770821,1.4408543509618035,12,300.000000000000000000,,,
14,shades,epic,29,29,1,0,15.2723000000000000,763.615,50,50,33,9746.02857142857,0,1633708,1472794,203,709.5731643013654,709.5731643013654,14.191463286027307,15,,,,
15,bowling,common,29,29,1,0,3.0070400000000000,6014.080,1998,2000,27,181.000000000000000000,0,3739,3739,5,0.7647058303546745,0.7647058303546745,0.00038273565082816544,80,,,,
17,ninja,rare,29,29,1,0,10.5559500000000000,1055.595,100,100,18,4120.000000000000000000,1,3641850,2094632,467,2592.561983526607,2592.561983526607,25.92561983526607,5,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7813533333333333,1467.203,150,150,14,4000,0,698794,534790,146,500.95773525294385,500.95773525294385,3.3397182350196255,19,,,,
19,button,common,29,29,1,0,3.8391186339125225,12814.978,3081,3338,19,104.000000000000000000,0,27183,27183,22,3.530873896408624,3.530873896408624,0.0011460155457347044,75,,,,
20,cat,uncommon,29,29,1,0,5.3293750000000000,3197.625,600,600,21,1000,0,1543517,1039962,465,1140.1465182218549,1140.1465182218549,1.9002441970364248,11,,,,
21,cherry,rare,29,29,1,0,10.2646500000000000,1026.465,98,100,17,3300.000000000000000000,0,313872,166334,49,187.54733132788925,187.54733132788925,1.9137482788560127,33,,,,
22,egg,rare,29,29,1,0,13.9975800000000000,1399.758,100,100,22,8500,0,1246194,966318,315,678.399879033723,678.399879033723,6.78399879033723,16,,,,
23,coconut,rare,29,29,1,0,7.0198480565371025,1986.617,271,283,14,1550,0,49571,49571,24,14.324473845457334,14.324473845457334,0.05285783706810824,64,,,,
24,cute,uncommon,29,29,1,0,5.7217071823204420,4142.516,707,724,16,465,0,181615,95324,43,109.50306894858117,109.50306894858117,0.15488411449587153,44,,,,
25,devil,epic,29,29,1,0,15.0264756097560976,1232.171,81,82,29,11499.600000000000000000,0,2436690,2281103,712,651.0591397593624,651.0591397593624,8.037767157522993,17,,,,
26,revolver,uncommon,29,29,1,0,4.1429316666666667,2485.759,600,600,20,593.198000000000000000,0,245872,245872,95,61.45429045440345,61.45429045440345,0.10242381742400575,50,,,,
27,disguise,epic,29,29,1,0,12.3946351351351351,917.203,73,74,30,7380.000000000000000000,0,275664,134865,88,157.6406199892956,157.6406199892956,2.1594605477985698,40,,,,
28,dog,uncommon,29,29,1,0,5.0521383333333333,3031.283,600,600,22,524,0,158924,158924,60,21.44947058557379,21.44947058557379,0.03574911764262298,62,,,,
29,donut,uncommon,29,29,1,0,5.5141206434316354,4113.534,686,746,25,400,0,159450,159450,78,104.72363396813722,104.72363396813722,0.1526583585541359,45,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,5,6718.800000000000000000,0,,,,,,,83,,,,
31,bowie,rare,29,29,1,0,7.8898797468354430,2493.202,312,316,12,1600,0,165690,165690,79,127.01293707155293,127.01293707155293,0.4070927470242081,43,,,,
32,eyeball,rare,29,17,1,0,7.0317430555555556,2025.142,275,288,33,1400,0,,,,,,,84,,,,
33,eyeball2,epic,29,29,1,0,10.5329733333333333,789.973,71,75,14,5690.000000000000000000,0,,,,,,,85,,,,
34,discoball,epic,29,29,1,0,14.3223018867924528,759.082,53,53,8,7377,0,456183,241750,99,222.41325207285513,222.41325207285513,4.196476454204814,29,,,,
35,fishcake,uncommon,29,29,1,0,5.3530259917920657,3913.062,681,731,31,392.000000000000000000,0,65582,34663,19,11.796209888269578,11.796209888269578,0.017321894109059585,65,,,,
