id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
44,moon,uncommon,29,29,1,0,6.2114416666666667,3726.865,600,600,31,5500,0,2407356,1913340,650,710.8633637747112,710.8633637747112,1.184772272957852,15,,,,
45,bull,uncommon,29,29,1,0,6.3789702072538860,4924.565,738,772,23,472.000000000000000000,0,178581,178581,66,31.315468890483046,31.315468890483046,0.04243288467545128,57,,,,
46,opencan,uncommon,29,29,1,0,5.0069183333333333,3004.151,600,600,5,494.200000000000000000,0,54728,54728,27,8.196915979549603,8.196915979549603,0.013661526632582672,75,,,,
47,candyswirl,rare,29,29,1,0,11.6581200000000000,1165.812,100,100,8,7250.000000000000000000,0,625976,625976,318,150.6461616300157,150.6461616300157,1.5064616163001572,47,,,,
48,royman,epic,29,29,1,0,12.5239200000000000,626.196,50,50,12,6900,0,5116,5116,6,0.47653593608354106,0.47653593608354106,0.00953071872167082,80,,,,
49,panda,uncommon,29,29,1,0,5.4909800000000000,3294.588,599,600,21,610,0,280187,280187,111,140.07689732019102,140.07689732019102,0.2338512476130067,48,,,,
50,melon,rare,29,29,1,0,7.0456937269372694,1909.383,267,271,19,1600,0,545413,545413,155,267.139015498819,267.139015498819,1.0005206572989476,33,,,,
51,casinochip,uncommon,24,21,1,0,5.2465450000000000,3147.927,600,600,28,3419.800000000000000000,4,10462490,7646134,1928,5795.290417382371,8795.29041738237,14.65881736230395,1,500.000000000000000000,357,1000,3000
52,pizza,rare,29,29,1,0,8.9897333333333333,1348.460,150,150,29,2440.000000000000000000,0,360009,360009,51,173.9597097290058,173.9597097290058,1.159731398193372,42,,,,
53,jackolantern,rare,29,29,1,0,9.6857266666666667,1452.859,150,150,25,2280,0,146941,146941,81,94.14842737967722,94.14842737967722,0.6276561825311814,53,,,,
54,waffle,uncommon,29,29,1,0,5.1689766162310867,3757.846,678,727,19,388,0,2142,2142,3,0.6260210133628229,0.6260210133628229,0.0009233348279687653,79,,,,
55,saturn,common,29,29,1,0,3.7571860000000000,7514.372,1996,2000,23,215,0,223968,223968,177,34.61700538989006,34.61700538989006,0.017343189073091212,55,,,,
56,marble,rare,29,29,1,0,7.5090104529616725,2155.086,278,287,23,1340.000000000000000000,0,126292,126292,31,19.62847735130682,19.62847735130682,0.07060603363779432,64,,,,
57,skull,uncommon,29,29,1,0,6.5819678407350689,4298.025,651,653,7,811,0,820878,820878,350,158.64252240466124,158.64252240466124,0.24369051060623845,45,,,,
58,skullpatch,rare,29,29,1,0,9.1473466666666667,1372.102,150,150,8,2300,0,193176,193176,105,46.69561604486893,46.69561604486893,0.31130410696579286,54,,,,
59,football,common,19,21,1,0,4.1899205000000000,8379.841,1997,2000,24,1030,3,8629180,8103075,2721,3376.0571748739662,4376.057174873966,2.19131556077815,2,600.000000000000000000,178.5,,1000
60,starballoon,common,29,29,1,0,3.4637276190476190,12729.199,3412,3676,3,93.000000000000000000,0,83639,83639,89,14.982953503550391,14.982953503550391,0.004391252492248063,70,,,,
61,tamagochi,epic,29,29,1,0,11.9876710526315789,911.063,76,76,16,7293.000000000000000000,0,,,,,,,86,,,,
62,target,uncommon,29,29,1,0,5.0436742627345845,3762.581,711,746,23,304.000000000000000000,0,,,,,,,87,,,,
64,tomato,uncommon,29,29,1,0,5.0201771653543307,3825.375,740,762,23,303.000000000000000000,0,361150,205683,124,224.89748137017807,224.89748137017807,0.3039155153651055,36,,,,
65,volleyball,common,29,29,1,0,3.1030700000000000,6206.140,2000,2000,29,211.000000000000000000,1,1848497,1029803,348,893.9650036273101,893.9650036273101,0.44698250181365506,12,,,,
66,racoon,uncommon,29,29,1,0,6.3565198463508323,4964.442,735,781,23,399,0,71191,71191,66,13.357948495943448,13.357948495943448,0.01817407958631762,72,,,,
67,peach,rare,29,29,1,0,10.1860200000000000,1018.602,100,100,15,3799.800000000000000000,0,87700,87700,26,20.498881155814168,20.498881155814168,0.20498881155814166,63,,,,
68,watermelon,uncommon,29,29,1,0,4.1703850000000000,2502.231,600,600,9,548.196000000000000000,1,1212606,901965,357,505.6913038593207,505.6913038593207,0.8428188397655345,21,,,,
69,citrus,epic,29,29,1,0,15.7256800000000000,786.284,50,50,30,8850,0,199901,199901,52,16.457095002848817,16.457095002848817,0.32914190005697636,69,,,,
70,potion,epic,29,29,1,0,14.0538000000000000,702.690,50,50,27,10000,1,3135422,1924426,375,936.309718279166,936.309718279166,18.726194365583318,10,,,,
71,crlogo,legendary,29,29,1,0,34.8984000000000000,348.984,10,10,7,72464.800000000000000000,2,4735336,4559712,898,2450.2749559331414,2450.2749559331414,245.02749559331414,6,800.000000000000000000,,,
72,yinyang,uncommon,29,29,1,0,5.4644027972027972,3907.048,687,715,13,399,0,541410,271974,133,307.80905141411165,307.80905141411165,0.4480481097730883,29,,,,
73,waffle2,legendary,29,29,1,0,17.4674444444444444,314.414,18,18,8,40000,0,1209109,964417,230,357.24329125847015,357.24329125847015,19.84684951435945,27,,,,
74,snowman,epic,29,29,1,0,12.5051000000000000,625.255,50,50,26,6740.800000000000000000,0,157937,100006,52,25.823305097551966,25.823305097551966,0.5164661019510394,61,,,,
75,crosshair,common,29,24,1,0,3.5610535000000000,7122.107,2000,2000,23,1200,0,1723728,1722640,784,278.0108907300184,278.0108907300184,0.1390054453650092,32,100.000000000000000000,,,
76,xmasball2,common,29,21,1,0,3.4310979274611399,13244.038,3640,3980,3,55,0,625413,381815,260,231.18753864791856,231.18753864791856,0.0635130600681095,35,,,,
77,xmasball1,rare,29,24,1,100.000000000000000000,11.5046200000000000,1150.462,100,100,6,7044,1,967087,539000,132,647.1219707703241,647.1219707703241,6.4712197077032405,17,,,,
78,vase,common,29,29,1,0,2.5085320000000000,5017.064,1999,2000,12,156.000000000000000000,1,1654007,1101378,425,650.9113424668916,650.9113424668916,0.32561848047368264,16,,,,
79,ufo,uncommon,29,29,1,0,5.9371666666666667,3562.300,600,600,23,1200.000000000000000000,0,1813344,1813344,329,633.2701475219562,633.2701475219562,1.055450245869927,18,,,,
80,wheeee,rare,29,29,1,0,8.9023666666666667,1335.355,150,150,24,4050.000000000000000000,0,211925,211454,63,30.21738584278264,30.21738584278264,0.20144923895188427,58,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.5583400000000000,877.917,50,50,8,18400.000000000000000000,0,71372,71372,23,17.25245117589341,17.25245117589341,0.3450490235178682,67,,,,
83,ape,epic,29,29,1,0,16.9513200000000000,847.566,50,50,12,18000,0,809269,432302,254,191.2062602893294,191.2062602893294,3.824125205786588,41,,,,
84,ghost,epic,29,24,1,0,23.0006200000000000,1150.031,50,50,7,49599.800000000000000000,2,5066235,4854317,1125,2755.556228433634,3255.556228433634,65.11112456867268,3,200.000000000000000000,,,500
85,diver,rare,29,24,1,0,8.2535200000000000,1238.028,150,150,3,5650.000000000000000000,2,6196180,5575769,1313,2490.972320396134,2490.972320396134,16.606482135974225,5,,,,
86,cobra,legendary,29,29,1,0,34.3009000000000000,343.009,10,10,16,72500,1,2650692,2444540,520,912.4825533926851,912.4825533926851,91.24825533926851,11,,,,
87,clock,common,29,29,1,0,2.4663965000000000,4932.793,2000,2000,19,209.000000000000000000,0,12049,12049,9,3.5214412651767755,3.5214412651767755,0.0017607206325883878,77,,,,
88,ladybug,rare,29,24,1,0,9.6460333333333333,1446.905,150,150,28,5500,1,4506992,3356018,804,2690.886154717541,2690.886154717541,17.939241031450273,4,,,,
89,dragon,epic,29,29,1,100.000000000000000000,16.4913400000000000,824.567,50,50,8,13965.000000000000000000,0,674693,674693,172,445.4166122140941,445.4166122140941,8.908332244281882,24,,,,
90,virus,common,29,29,1,0,2.5518400000000000,5103.680,2000,2000,33,158.999400000000000000,0,552206,321715,170,213.73429485461412,213.73429485461412,0.10686714742730706,39,,,,
91,cougar,rare,29,29,1,0,9.6288866666666667,1444.333,150,150,24,2840,0,876768,617710,260,222.78195196164026,222.78195196164026,1.4852130130776018,37,,,,
92,botroyale,legendary,29,29,1,0,23.5665000000000000,235.665,10,10,30,47240.000000000000000000,0,1109890,651181,310,171.79694871142902,171.79694871142902,17.179694871142903,43,,,,
93,mummy,epic,29,24,1,0,15.1794600000000000,758.973,50,50,22,9500,0,283579,283579,33,212.86070933450333,212.86070933450333,4.257214186690066,40,,,,
94,frankie,rare,29,29,1,0,7.2868466666666667,1093.027,150,150,9,3400,1,1743015,1658223,462,887.5227677457563,887.5227677457563,5.916818451638375,13,,,,
95,earth,uncommon,29,21,1,0,3.0618066666666667,1837.084,600,600,7,1100,0,125369,127667,95,24.228757977860255,24.228757977860255,0.04038126329643376,62,,,,
131,bat,epic,29,29,1,0,10.6722000000000000,533.610,50,50,27,11560.000000000000000000,0,204395,204395,67,118.23811371272186,118.23811371272186,2.364762274254437,50,,,,
