id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,32.4207000000000000,324.207,10,10,8,79524.138000000000000000,0,311391,82,87.76677405765629,87.76677405765629,8.776677405765628,51,,,,
4,8ball,common,29,29,1,0,4.1561653674832962,14928.946,3323,3592,23,136.600000000000000000,0,505706,593,114.63730614190673,114.63730614190673,0.03449813606437157,47,,,,
7,alien,common,29,29,1,0,4.6070705000000000,9214.141,2000,2000,23,262.200000000000000000,0,275305,193,68.73055269726119,68.73055269726119,0.0343652763486306,57,,,,
8,angel,epic,29,24,1,0,17.5830600000000000,879.153,50,50,20,20260.000000000000000000,0,3562060,999,1650.1729738233998,1650.1729738233998,33.003459476467995,12,400.000000000000000000,,,
9,banana,rare,29,29,1,0,7.8668866666666667,1180.033,150,150,23,1987.000000000000000000,0,13644,13,3.075264746476342,3.075264746476342,0.020501764976508945,81,,,,
11,basketball,common,29,29,1,0,3.9118695993715632,9959.620,2347,4297,31,114.400000000000000000,0,182384,158,80.05050677118298,80.05050677118298,0.034107587035016186,53,,,,
12,beachball,common,29,29,1,0,3.6178862914862915,12535.976,3229,3516,22,136.200000000000000000,0,283556,162,35.543285286683975,35.543285286683975,0.011007520993088875,63,,,,
13,bomb,uncommon,29,29,1,0,5.0162750000000000,3009.765,600,600,9,754.000000000000000000,0,809718,282,337.7705159393124,337.7705159393124,0.5629508598988541,29,,,,
14,shades,epic,29,29,1,0,14.5811600000000000,729.058,50,50,3,12510.000000000000000000,0,327644,51,189.28611959748338,189.28611959748338,3.7857223919496676,41,,,,
15,bowling,common,29,29,1,0,3.5332045454545455,4663.830,1318,2000,9,162.400000000000000000,0,184993,221,134.58218329166397,134.58218329166397,0.10211091296787858,44,,,,
17,ninja,rare,29,29,1,0,10.3310900000000000,1033.109,100,100,22,3500,0,16666,11,1.9806801224744512,1.9806801224744512,0.019806801224744514,82,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.1905333333333333,1378.580,150,150,31,3500,0,791733,187,891.356457810522,891.356457810522,5.94237638540348,17,,,,
19,button,common,29,29,1,0,3.8150776785714286,12818.661,3100,3360,4,111,0,235964,180,189.389965216764,189.389965216764,0.06109353716669807,39,,,,
20,cat,uncommon,29,29,1,0,5.0882200000000000,3052.932,600,600,5,730.000000000000000000,1,1290454,358,1037.4773104221117,1037.4773104221117,1.7291288507035196,14,,,,
21,cherry,rare,29,19,1,0,9.6809600000000000,968.096,98,100,23,3660.000000000000000000,0,1717791,2021,1061.8238578101816,1061.8238578101816,10.83493732459369,13,,,,
22,egg,rare,29,24,1,0,13.3614800000000000,1336.148,100,100,13,9860.000000000000000000,0,1499873,819,952.4763094991173,952.4763094991173,9.524763094991172,15,,,,
23,coconut,rare,29,29,1,0,6.8283875432525952,1973.404,276,289,23,1800,0,342321,98,101.82079215787175,101.82079215787175,0.3689159136154774,50,,,,
24,cute,uncommon,29,29,1,0,5.6009215955983494,4071.870,710,727,23,554.000000000000000000,0,24082,33,5.427918911216891,5.427918911216891,0.007644956212981537,79,,,,
25,devil,epic,29,29,1,0,13.6439629629629630,1105.161,80,81,19,9300,0,718776,168,355.0928724067819,355.0928724067819,4.438660905084774,28,,,,
26,revolver,uncommon,29,29,1,0,3.8060716666666667,2283.643,600,600,16,800.600000000000000000,0,946328,732,520.560102303803,520.560102303803,0.8676001705063383,25,,,,
27,disguise,epic,29,29,1,0,12.2111688311688312,940.260,76,77,25,5957.000000000000000000,0,472292,174,310.37113672057137,310.37113672057137,4.083830746323308,32,,,,
28,dog,uncommon,29,29,1,0,4.6503950000000000,2790.237,600,600,23,549.000000000000000000,0,124283,103,28.012542398586863,28.012542398586863,0.04668757066431144,66,,,,
29,donut,uncommon,29,29,1,0,5.4327284768211921,4101.710,695,755,11,439.800000000000000000,0,248158,109,70.93297102232266,70.93297102232266,0.10206182880909735,56,,,,
30,baseball,epic,29,29,1,0,9.6322957746478873,683.893,70,71,17,5178.800000000000000000,0,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.6394427710843373,2536.295,328,332,23,1800,0,181814,124,43.19430653137018,43.19430653137018,0.13168995893710422,62,,,,
32,eyeball,rare,29,29,1,0,6.9896949152542373,2061.960,282,295,23,1285.400000000000000000,0,67817,27,15.285490274976992,15.285490274976992,0.05420386622332266,77,,,,
33,eyeball2,epic,29,29,1,0,10.6322894736842105,808.054,72,76,17,6420.000000000000000000,0,76041,38,22.2462931517257,22.2462931517257,0.308976293773968,70,,,,
34,discoball,epic,29,29,1,0,13.7145094339622642,726.869,53,53,13,9100.000000000000000000,0,1130723,101,616.3585423693415,616.3585423693415,11.629406459798897,22,,,,
35,fishcake,uncommon,29,29,1,0,5.3320898123324397,3977.739,696,746,23,400,0,78047,70,17.59126265525059,17.59126265525059,0.025274802665589926,74,,,,
36,floater,rare,29,24,1,0,8.3329533333333333,1249.943,150,150,23,8000,0,16143,10,4.34492640871404,4.34492640871404,0.028966176058093596,80,,,,
37,fox,uncommon,29,29,1,0,5.9046231155778894,4700.080,723,796,23,556.000000000000000000,0,26194,29,5.903949338112085,5.903949338112085,0.008165905031966923,78,,,,
38,fox777,legendary,29,24,1,0,29.8057857142857143,417.281,14,14,23,100000,0,3356340,840,2024.7899305610067,2024.7899305610067,144.62785218292905,6,100.000000000000000000,,,
40,gamer,rare,29,29,1,0,9.3743400000000000,937.434,99,100,23,3370.000000000000000000,0,529122,329,131.49318505147784,131.49318505147784,1.328213990418968,45,,,,
41,xmasball,epic,29,29,1,0,10.7040666666666667,642.244,59,60,17,5980.000000000000000000,0,75314,28,22.033604534778206,22.033604534778206,0.3734509243182747,72,,,,
42,derp,uncommon,29,24,1,0,6.9064380952380952,2900.704,420,420,21,950,0,299555,186,321.79386918961325,321.79386918961325,0.7661758790228886,31,,,,
43,moneybag,legendary,29,29,1,0,17.6862000000000000,176.862,10,10,5,45813.142000000000000000,0,632351,461,283.47268836849366,283.47268836849366,28.347268836849366,34,,,,
44,moon,uncommon,29,21,1,0,5.5088866666666667,3305.332,600,600,7,3250.000000000000000000,2,5012526,1711,3105.281395892487,3105.281395892487,5.175468993154145,5,900.000000000000000000,94,,
45,bull,uncommon,29,24,1,0,6.1653938223938224,4790.511,743,777,23,899,0,625879,352,665.0701119315447,665.0701119315447,0.8951145517248247,19,,,,
46,opencan,uncommon,29,29,1,0,4.8827450000000000,2929.647,600,600,3,610,0,417811,148,278.81918743102256,278.81918743102256,0.46469864571837094,37,,,,
47,candyswirl,rare,29,24,1,0,10.4630900000000000,1046.309,100,100,21,6778.500000000000000000,0,684386,526,305.8971857877624,305.8971857877624,3.058971857877624,33,,,,
48,royman,epic,29,29,1,0,12.5464800000000000,627.324,50,50,3,8000,0,960,1,0.25872920727306953,0.25872920727306953,0.005174584145461391,83,,,,
49,panda,uncommon,29,19,1,0,5.3064316666666667,3183.859,599,600,6,600.000000000000000000,0,554123,261,138.77340950412042,138.77340950412042,0.23167514107532625,43,,,,
50,melon,rare,29,29,1,0,6.9866214285714286,1956.254,276,280,23,1410.000000000000000000,0,291975,70,65.80917797950967,65.80917797950967,0.23843905065039736,58,,,,
51,casinochip,uncommon,29,29,1,0,4.7289316666666667,2837.359,600,600,23,666.000000000000000000,0,68748,51,15.53507904408769,15.53507904408769,0.025891798406812817,76,,,,
52,pizza,rare,29,29,1,0,8.6551933333333333,1298.279,150,150,21,3890.138000000000000000,1,897454,453,927.7431577901136,927.7431577901136,6.1849543852674245,16,,,,
