id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,24,1,300.000000000000000000,27.9385000000000000,279.385,10,10,32,59900.000000000000000000,0,585718,585718,48,266.8952604655636,266.8952604655636,26.68952604655636,33,,,,
4,8ball,common,29,24,1,0,4.2186021805982667,15089.940,3308,3577,32,104.997,0,114295,114295,34,18.59686301928534,18.59686301928534,0.005621784467740429,59,,,,
7,alien,common,29,29,1,0,4.7242290000000000,9448.458,2000,2000,10,172.400000000000000000,0,105176,105176,34,13.46355791816886,13.46355791816886,0.00673177895908443,63,,,,
8,angel,epic,29,24,1,0,15.2997400000000000,764.987,50,50,29,10000,0,99328,99328,32,9.990166540048483,9.990166540048483,0.19980333080096965,65,,,,
9,banana,rare,29,29,1,0,8.0642400000000000,1209.636,150,150,15,1900,0,26131,26131,16,4.595084022942982,4.595084022942982,0.030633893486286545,74,,,,
11,basketball,common,29,21,1,0,3.0913148060548723,13070.079,4030,4228,17,90,0,170141,170141,119,38.433896698775115,38.433896698775115,0.009536947071656357,52,,,,
12,beachball,common,29,29,1,0,3.6145387253501000,12647.271,3265,3499,17,96.640000000000000000,0,44868,44868,30,5.467089816985271,5.467089816985271,0.0016744532364426558,72,,,,
13,bomb,uncommon,29,29,1,0,5.3571716666666667,3214.303,600,600,22,1667.600000000000000000,0,3941035,3206104,767,1399.5908876995375,1399.5908876995375,2.332651479499229,10,200.000000000000000000,,,
14,shades,epic,29,29,1,0,15.1994800000000000,759.974,50,50,5,9750,1,2650841,2018575,194,667.4436643273484,667.4436643273484,13.348873286546969,22,,,,
15,bowling,common,29,29,1,0,2.9864550000000000,5972.910,1998,2000,10,170.000000000000000000,0,74372,75720,48,9.511213794924124,9.511213794924124,0.004760367264726789,66,,,,
17,ninja,rare,29,29,1,0,10.5272400000000000,1052.724,100,100,17,4500,0,28127,28127,12,7.800749075755078,7.800749075755078,0.07800749075755078,70,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7736066666666667,1466.041,150,150,10,9320.000000000000000000,2,4705493,3720508,354,1940.2694972086133,1940.2694972086133,12.935129981390755,5,,,,
19,button,common,29,29,1,0,3.8387041030248577,12817.433,3082,3339,18,140,0,66374,66374,35,5.451449651194719,5.451449651194719,0.0017688026123279426,73,,,,
20,cat,uncommon,29,29,1,0,5.2557650000000000,3153.459,600,600,3,979.000000000000000000,0,599423,576917,355,546.4820961433495,546.4820961433495,0.9108034935722492,23,,,,
21,cherry,rare,29,29,1,0,10.2618800000000000,1026.188,98,100,21,3300.000000000000000000,0,244518,140205,54,103.47564719401376,103.47564719401376,1.055873950959324,45,,,,
22,egg,rare,29,29,1,0,13.9906600000000000,1399.066,100,100,3,8500,1,2279277,1868335,441,1609.0957096362852,1609.0957096362852,16.090957096362853,7,,,,
23,coconut,rare,29,29,1,0,7.0358309859154930,1998.176,272,284,19,1550,0,358617,358617,169,216.8128237297505,216.8128237297505,0.797105969594671,35,,,,
24,cute,uncommon,29,24,1,0,5.7192941988950276,4140.769,707,724,10,500,0,179262,79576,56,133.4545907462119,133.4545907462119,0.18876179737795176,41,,,,
25,devil,epic,29,29,1,0,14.7534878048780488,1209.786,81,82,12,11000.000000000000000000,1,3878352,2988061,762,1443.6603337388347,1443.6603337388347,17.82296708319549,9,,,,
26,revolver,uncommon,29,29,1,0,4.1387083333333333,2483.225,600,600,6,650,0,927534,649285,260,192.67161852817065,192.67161852817065,0.32111936421361775,38,,,,
27,disguise,epic,29,29,1,0,12.3862027027027027,916.579,73,74,22,7380.000000000000000000,0,8551,8551,7,0.7639327648365647,0.7639327648365647,0.010464832395021434,83,,,,
28,dog,uncommon,29,29,1,0,5.0484716666666667,3029.083,600,600,17,522.600000000000000000,0,305545,305545,109,33.22650203434898,33.22650203434898,0.05537750339058164,55,,,,
29,donut,uncommon,29,29,1,0,5.5109544235924933,4111.172,686,746,20,338.188571428571420000,0,95902,95902,60,90.60680358323299,90.60680358323299,0.1320798886052959,48,,,,
30,baseball,epic,29,29,1,0,9.6983142857142857,678.882,69,70,13,6718.800000000000000000,0,63114,63114,6,6.645264221480648,6.645264221480648,0.09630817712290794,71,,,,
31,bowie,rare,29,29,1,0,7.8879873417721519,2492.604,312,316,25,1500,0,328826,179588,64,131.61509542573535,131.61509542573535,0.4218432545696646,42,,,,
32,eyeball,rare,29,24,1,0,7.0364117647058824,2033.523,276,289,23,1455,0,,,,,,,86,,,,
33,eyeball2,epic,29,29,1,0,10.5322666666666667,789.920,71,75,14,5690.000000000000000000,0,39983,39983,27,8.422921922080315,8.422921922080315,0.11863270312789176,68,,,,
34,discoball,epic,29,29,1,0,14.0874339622641509,746.634,53,53,33,8020.000000000000000000,0,117952,117952,18,92.05163398999161,92.05163398999161,1.7368232828300305,47,,,,
35,fishcake,uncommon,29,29,1,0,5.3523160054719562,3912.543,681,731,17,366,0,501,501,1,0.1389474628276494,0.1389474628276494,0.0002040344534914088,85,,,,
36,floater,rare,29,29,1,0,8.5559266666666667,1283.389,150,150,13,2920.000000000000000000,0,22547,22547,12,2.373970472505691,2.373970472505691,0.015826469816704606,80,,,,
37,fox,uncommon,29,29,1,0,6.0448267008985879,4708.920,707,779,15,390,0,51227,51227,60,9.124069990791842,9.124069990791842,0.012905332377357626,67,,,,
38,fox777,legendary,29,29,1,0,31.8472857142857143,445.862,14,14,13,104100.000000000000000000,1,1961969,1313954,418,669.1167285994679,669.1167285994679,47.79405204281914,21,,,,
40,gamer,rare,24,29,1,0,10.3506200000000000,1035.062,99,100,20,5000,2,2167321,1788069,482,1166.3625977946404,1166.3625977946404,11.781440381764044,12,,,,
41,xmasball,epic,29,29,1,0,10.8019666666666667,648.118,60,60,6,8005.000000000000000000,0,144799,144799,55,15.203736672425123,15.203736672425123,0.25339561120708537,61,,,,
42,derp,uncommon,29,24,1,0,7.0900666666666667,2977.828,420,420,14,1360.000000000000000000,0,1145760,674410,319,545.9383678024005,545.9383678024005,1.2998532566723822,24,,,,
43,moneybag,legendary,29,29,1,0,19.1904000000000000,191.904,10,10,4,41000.138000000000000000,0,440208,249127,85,184.3969535162021,184.3969535162021,18.43969535162021,39,,,,
44,moon,uncommon,29,24,1,0,6.2138283333333333,3728.297,600,600,21,5050,1,11567900,11567900,1156,777.2093660325468,777.2093660325468,1.295348943387578,19,,,,
45,bull,uncommon,29,29,1,0,6.3799170984455959,4925.296,738,772,9,486.000000000000000000,1,679986,385480,150,453.150701357714,453.150701357714,0.6140253405931084,26,,,,
46,opencan,uncommon,29,29,1,0,5.0080166666666667,3004.810,600,600,8,537.600000000000000000,0,255218,255218,99,44.79231735903606,44.79231735903606,0.0746538622650601,50,,,,
47,candyswirl,rare,29,24,1,0,11.6660300000000000,1166.603,100,100,8,7250.000000000000000000,0,969239,969239,388,347.10083902910173,347.10083902910173,3.471008390291017,29,,,,
48,royman,epic,29,29,1,0,12.5240600000000000,626.203,50,50,12,6900,0,14484,14484,8,1.818142670273262,1.818142670273262,0.03636285340546524,82,,,,
49,panda,uncommon,29,29,1,0,5.4955166666666667,3297.310,599,600,18,587.400000000000000000,0,1445027,898618,362,281.8138569699984,281.8138569699984,0.47047388475792723,32,,,,
50,melon,rare,29,29,1,0,7.0700036900369004,1915.971,267,271,19,1600,0,1433981,1019305,352,427.981236790744,427.981236790744,1.6029259804896778,27,,,,
51,casinochip,uncommon,24,29,1,0,5.3138866666666667,3188.332,600,600,29,3500.000000000000000000,3,10150649,7142814,1525,5193.901172708344,8193.901172708345,13.656501954513908,1,900.000000000000000000,3000,121.33333333333334,
52,pizza,rare,29,29,1,0,8.8878333333333333,1333.175,150,150,32,2500,1,2048010,1311146,244,1019.6042430207258,1019.6042430207258,6.797361620138172,13,,,,
53,jackolantern,rare,29,29,1,0,9.6883733333333333,1453.256,150,150,27,2400,0,11218,11218,19,3.3130563618054354,3.3130563618054354,0.022087042412036236,77,,,,
54,waffle,uncommon,29,24,1,0,5.1708060522696011,3759.176,678,727,20,377,0,4099,4099,1,0.48141204847788893,0.48141204847788893,0.0007100472691414291,84,,,,
55,saturn,common,29,29,1,0,3.7582445000000000,7516.489,1996,2000,17,230,0,236933,236933,151,44.0973345880755,44.0973345880755,0.022092853000037823,51,,,,
56,marble,rare,29,29,1,0,7.5109268292682927,2155.636,278,287,8,1420.000000000000000000,1,1486941,874146,265,965.3824632586877,965.3824632586877,3.4725987887003154,16,,,,
57,skull,uncommon,29,29,1,0,6.5768052147239264,4288.077,650,652,25,811,0,1198894,1198894,579,296.45820838254895,296.45820838254895,0.45608955135776763,30,,,,
58,skullpatch,rare,29,29,1,0,9.1494533333333333,1372.418,150,150,24,2570.000000000000000000,0,295195,166589,47,204.72948444344848,204.72948444344848,1.36486322962299,36,,,,
59,football,common,29,19,1,0,4.1994705000000000,8398.941,1997,2000,27,1260,5,10850772,9483896,2535,4845.50512320563,5845.50512320563,2.9271432765175915,2,500.000000000000000000,1000,314,1000
60,starballoon,common,29,29,1,0,3.4651001360544218,12734.243,3412,3676,10,100,0,408162,224883,184,124.84220922090076,124.84220922090076,0.03658915862277279,44,,,,
61,tamagochi,epic,29,29,1,0,11.9880000000000000,911.088,76,76,16,7293.000000000000000000,0,,,,,,,87,,,,
62,target,uncommon,29,29,1,0,5.0447774798927614,3763.404,711,746,15,354.000000000000000000,0,62119,62119,19,11.064050281257899,11.064050281257899,0.01556125215366793,64,,,,
64,tomato,uncommon,29,29,1,0,5.0225262467191601,3827.165,740,762,33,353.998000000000000000,0,831092,470341,191,258.0916701546015,258.0916701546015,0.348772527235948,34,,,,
65,volleyball,common,29,29,1,0,3.1054840000000000,6210.968,2000,2000,23,240.800000000000000000,0,5502156,3113500,684,1245.210305299437,1245.210305299437,0.6226051526497185,11,,,,
66,racoon,uncommon,29,29,1,0,6.3580448143405890,4965.633,735,781,4,380,0,28318,28318,15,3.0175185902180766,3.0175185902180766,0.004105467469684458,79,,,,
67,peach,rare,29,29,1,0,10.1927800000000000,1019.278,100,100,7,3799.800000000000000000,0,3032995,1508972,484,845.1927275939516,845.1927275939516,8.451927275939516,18,,,,
68,watermelon,uncommon,29,24,1,0,4.1988883333333333,2519.333,600,600,15,579,0,2016304,1774989,742,987.6394972798713,987.6394972798713,1.6460658287997856,14,,,,
69,citrus,epic,29,29,1,0,15.7434800000000000,787.174,50,50,17,8800,0,72822,72822,19,20.196471333403363,20.196471333403363,0.40392942666806725,58,,,,
70,potion,epic,29,29,1,0,14.0557200000000000,702.786,50,50,20,10000,0,29953,29953,10,3.5178665743006117,3.5178665743006117,0.07035733148601224,76,,,,
71,crlogo,legendary,29,29,1,0,35.0134000000000000,350.134,10,10,7,72464.800000000000000000,1,7272548,7001088,1161,2479.7716433150185,2479.7716433150185,247.97716433150185,4,600.000000000000000000,,,
72,yinyang,uncommon,29,29,1,0,5.4674167832167832,3909.203,687,715,23,450,0,27216,27216,13,3.1756078683598523,3.1756078683598523,0.004622427755982318,78,,,,
73,waffle2,legendary,29,29,1,0,17.4725000000000000,314.505,18,18,8,40000,0,917046,766661,160,130.4829435482072,130.4829435482072,7.249052419344845,43,,,,
74,snowman,epic,29,29,1,0,12.5116000000000000,625.580,50,50,29,6970.800000000000000000,0,275082,275082,84,27.66707264990352,27.66707264990352,0.5533414529980704,56,,,,
75,crosshair,common,29,29,1,0,3.5661865000000000,7132.373,2000,2000,15,1200,1,2633975,2616953,826,893.4624814072755,893.4624814072755,0.44673124070363773,17,0.000000000000000000,,,
76,xmasball2,common,29,29,1,0,3.3997648703609558,13374.675,3714,3980,17,55,0,396878,396878,244,136.06866076798931,136.06866076798931,0.036636688413567396,40,,,,
77,xmasball1,rare,29,24,1,100.000000000000000000,11.5058500000000000,1150.585,100,100,19,7044,0,190425,190425,40,197.1489073423155,197.1489073423155,1.9714890734231552,37,,,,
78,vase,common,29,29,1,0,2.5009560000000000,5001.912,1999,2000,12,174,1,2109444,1564183,391,538.0203712667054,538.0203712667054,0.2691447580123589,25,,,,
79,ufo,uncommon,29,29,1,0,5.9413016666666667,3564.781,600,600,13,1396.000000000000000000,0,1341304,1341304,267,401.50296622212943,401.50296622212943,0.6691716103702157,28,,,,
80,wheeee,rare,29,29,1,0,8.9064933333333333,1335.974,150,150,28,4010.000000000000000000,0,1688705,1062348,190,283.0231520520189,283.0231520520189,1.8868210136801258,31,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.5629000000000000,878.145,50,50,21,18400.000000000000000000,0,119773,119773,38,4.1058643816274865,4.1058643816274865,0.08211728763254973,75,,,,
83,ape,epic,29,29,1,0,16.9583800000000000,847.919,50,50,12,16000,0,62613,62613,11,7.859663560744251,7.859663560744251,0.15719327121488502,69,,,,
84,ghost,epic,24,29,1,0,23.1429200000000000,1157.146,50,50,32,49600.000000000000000000,1,8281271,7967974,1608,1665.3329744487335,1665.3329744487335,33.30665948897467,6,200.000000000000000000,,244,
85,diver,rare,29,29,1,0,8.2649666666666667,1239.745,150,150,30,6550.000000000000000000,2,4711040,3889914,998,1448.4089732750208,1448.4089732750208,9.656059821833471,8,,,,
86,cobra,legendary,29,29,1,0,34.3282000000000000,343.282,10,10,27,72500,1,2478513,2190195,471,967.7143095471179,967.7143095471179,96.77143095471179,15,,,,
87,clock,common,29,29,1,0,2.4679820000000000,4935.964,2000,2000,17,223.000000000000000000,0,7118,7118,6,1.9357551022625985,1.9357551022625985,0.0009678775511312993,81,,,,
88,ladybug,rare,24,29,1,0,9.6864000000000000,1452.960,150,150,29,8000,5,8461714,6927611,1233,3909.8443085893455,4409.844308589345,29.3989620572623,3,,500,,
89,dragon,epic,29,29,1,100.000000000000000000,16.5005800000000000,825.029,50,50,3,13965.000000000000000000,0,348576,348576,107,33.735645254836804,33.735645254836804,0.6747129050967361,54,,,,
90,virus,common,29,29,1,0,2.5529060000000000,5105.812,2000,2000,32,160.000000000000000000,0,546432,356297,171,60.21759431770634,60.21759431770634,0.03010879715885317,49,,,,
91,cougar,rare,29,29,1,0,9.4033800000000000,1410.507,150,150,24,2845,0,218158,218158,82,20.573072955256993,20.573072955256993,0.13715381970171328,57,,,,
92,botroyale,legendary,29,29,1,0,23.5805000000000000,235.805,10,10,11,47240.000000000000000000,0,281644,281644,85,98.87910148909323,98.87910148909323,9.887910148909324,46,,,,
93,mummy,epic,29,24,1,0,15.1812600000000000,759.063,50,50,4,9500,0,171336,171336,15,18.257276826527455,18.257276826527455,0.3651455365305491,60,,,,
94,frankie,rare,29,29,1,0,7.3010000000000000,1095.150,150,150,22,3000,1,2262288,1592133,511,740.8953053577075,740.8953053577075,4.9393020357180495,20,,,,
95,earth,uncommon,29,29,1,0,3.0649350000000000,1838.961,600,600,3,798.000000000000000000,0,227667,226120,127,35.493883580699425,35.493883580699425,0.05915647263449904,53,,,,
131,bat,epic,29,29,1,0,10.7919800000000000,539.599,50,50,17,10000,0,109883,109883,33,14.709464109575482,14.709464109575482,0.29418928219150964,62,,,,
