id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,ZonePrize,BetPrize
2,spy,legendary,29,24,1,300.000000000000000000,27.9363000000000000,279.363,10,10,31,59900.000000000000000000,0,27754,27754,5,5.825754812649763,5.825754812649763,0.5825754812649764,74,,,,
4,8ball,common,29,24,1,0,4.2185848476376852,15089.878,3308,3577,32,104.997,0,156352,155664,76,22.932536751317123,22.932536751317123,0.006932447627363097,58,,,,
7,alien,common,29,29,1,0,4.7241955000000000,9448.391,2000,2000,10,177.398000000000000000,0,568055,314190,194,212.11212808023333,212.11212808023333,0.10605606404011667,30,,,,
8,angel,epic,29,29,1,0,15.2995000000000000,764.975,50,50,29,10000,0,1840830,855802,283,306.02988028616215,306.02988028616215,6.120597605723243,24,,,,
9,banana,rare,29,29,1,0,8.0641266666666667,1209.619,150,150,5,1900,0,20118,20118,11,0.9051023276085081,0.9051023276085081,0.006034015517390054,81,,,,
11,basketball,common,29,21,1,0,3.0912377010406812,13069.753,4030,4228,15,90,0,207960,207960,154,106.85926996414413,106.85926996414413,0.02651594788192162,44,,,,
12,beachball,common,29,29,1,0,3.6141800514432695,12646.016,3265,3499,4,97.000000000000000000,0,157226,84621,71,31.91371048450104,31.91371048450104,0.009774490194334162,53,,,,
13,bomb,uncommon,24,29,1,0,5.3565450000000000,3213.927,600,600,23,1688,1,8552459,6943289,1314,3148.5308204111757,3648.5308204111757,6.080884700685293,3,500,300.000000000000000000,,
14,shades,epic,29,29,1,0,15.1983000000000000,759.915,50,50,16,9750,0,268196,205830,171,118.07623704751052,118.07623704751052,2.3615247409502103,39,,,,
15,bowling,common,29,29,1,0,2.9864250000000000,5972.850,1998,2000,23,150.000000000000000000,0,600668,338024,171,110.14131242939939,110.14131242939939,0.05512578199669639,43,,,,
17,ninja,rare,29,29,1,0,10.5272000000000000,1052.720,100,100,17,4500,0,75422,73981,19,8.275196503250477,8.275196503250477,0.08275196503250477,68,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7709866666666667,1465.648,150,150,6,9320.000000000000000000,1,1905649,1436878,352,598.7069593722503,598.7069593722503,3.991379729148335,17,,,,
19,button,common,29,29,1,0,3.8383357292602576,12816.203,3082,3339,18,125,0,54108,54108,20,11.231459606632853,11.231459606632853,0.0036442114233072205,66,,,,
20,cat,uncommon,29,29,1,0,5.2525350000000000,3151.521,600,600,31,979.000000000000000000,1,764610,722808,331,1449.2803885209391,1449.2803885209391,2.4154673142015652,9,,,,
21,cherry,rare,29,29,1,0,10.2616600000000000,1026.166,98,100,9,3300.000000000000000000,0,666726,367747,147,203.5432592479891,203.5432592479891,2.076972033142746,31,,,,
22,egg,rare,29,29,1,0,13.9896700000000000,1398.967,100,100,19,8500,1,1969433,1821657,482,1122.2912847636176,1122.2912847636176,11.222912847636175,10,,,,
23,coconut,rare,29,24,1,0,7.0356056338028169,1998.112,272,284,19,1550,0,463941,211363,147,218.96825061132995,218.96825061132995,0.8050303331298895,29,,,,
24,cute,uncommon,29,24,1,0,5.7248275862068966,4150.500,708,725,10,500,0,2495,2495,4,0.4184900203584648,0.4184900203584648,0.0005910875993763627,85,,,,
25,devil,epic,29,29,1,0,14.7432560975609756,1208.947,81,82,12,11000.000000000000000000,1,2489127,2356056,683,885.298154498683,885.298154498683,10.929606845662752,15,,,,
26,revolver,uncommon,29,29,1,0,4.1383750000000000,2483.025,600,600,27,654.000000000000000000,0,685028,455313,225,153.92919588271246,153.92919588271246,0.2565486598045208,36,,,,
27,disguise,epic,29,29,1,0,12.3861351351351351,916.574,73,74,22,7380.000000000000000000,0,12881,12881,5,2.0044780559715973,2.0044780559715973,0.027458603506460236,79,,,,
28,dog,uncommon,29,29,1,0,5.0483183333333333,3028.991,600,600,18,516.800000000000000000,0,124406,124406,79,26.49311225482847,26.49311225482847,0.04415518709138078,55,,,,
29,donut,uncommon,29,29,1,0,5.5109142091152815,4111.142,686,746,20,322.188571428571420000,0,87023,87023,57,26.032462939264178,26.032462939264178,0.03794819670446673,56,,,,
30,baseball,epic,29,29,1,0,9.6982142857142857,678.875,69,70,13,6718.800000000000000000,0,,,,,,,86,,,,
31,bowie,rare,29,29,1,0,7.8875632911392405,2492.470,312,316,22,1500,0,365760,191698,109,189.11663400141072,189.11663400141072,0.6061430576968292,33,,,,
32,eyeball,rare,29,24,1,0,7.0364117647058824,2033.523,276,289,23,1460.000000000000000000,0,5038,5038,2,0.9237913989413689,0.9237913989413689,0.003347070286019452,80,,,,
33,eyeball2,epic,29,29,1,0,10.5319866666666667,789.899,71,75,14,5690.000000000000000000,0,6509,6509,3,0.7197245155539099,0.7197245155539099,0.010136965007801549,83,,,,
34,discoball,epic,29,29,1,0,14.0873773584905660,746.631,53,53,33,8020.000000000000000000,0,772538,433924,157,252.99111893295074,252.99111893295074,4.773417338357561,25,,,,
35,fishcake,uncommon,29,29,1,0,5.3523146374829001,3912.542,681,731,17,366,0,5294,5294,7,0.5808502862322403,0.5808502862322403,0.0008529372778740681,84,,,,
36,floater,rare,29,29,1,0,8.5558000000000000,1283.370,150,150,13,2920.000000000000000000,0,82597,82597,12,18.81466317060052,18.81466317060052,0.12543108780400347,62,,,,
37,fox,uncommon,29,29,1,0,6.0442875481386393,4708.500,707,779,15,394,0,62752,62752,76,5.18247496509359,5.18247496509359,0.007330233331108331,75,,,,
38,fox777,legendary,29,24,1,0,31.8300000000000000,445.620,14,14,28,104100.000000000000000000,0,446636,446636,150,74.80488518699018,74.80488518699018,5.343206084785012,46,,,,
40,gamer,rare,24,29,1,0,10.3480600000000000,1034.806,99,100,13,5000,1,3759237,2822736,1026,913.9801271252212,913.9801271252212,9.232122496214355,14,,,,
41,xmasball,epic,29,29,1,0,10.8017666666666667,648.106,60,60,6,8005.000000000000000000,0,54107,54107,10,7.636420215320928,7.636420215320928,0.1272736702553488,71,,,,
42,derp,uncommon,29,29,1,0,7.0887547619047619,2977.277,420,420,26,1260.000000000000000000,0,974918,552675,250,240.67151283054295,240.67151283054295,0.5730274115012928,26,,,,
43,moneybag,legendary,29,29,1,0,19.1866000000000000,191.866,10,10,33,41000.138000000000000000,0,210586,210586,23,111.2748416084934,111.2748416084934,11.12748416084934,42,,,,
44,moon,uncommon,29,29,1,0,6.2130866666666667,3727.852,600,600,21,5050,0,3170456,2736130,655,984.8515938070956,984.8515938070956,1.641419323011826,13,,,,
45,bull,uncommon,29,29,1,0,6.3797150259067358,4925.140,738,772,32,486.000000000000000000,0,234226,234226,54,33.99018658019408,33.99018658019408,0.046057163387796855,52,,,,
46,opencan,uncommon,29,29,1,0,5.0079100000000000,3004.746,600,600,8,517.600000000000000000,1,3397550,1835507,278,1034.4856909303708,1034.4856909303708,1.7241428182172847,11,,,,
47,candyswirl,rare,29,24,1,0,11.6648900000000000,1166.489,100,100,8,7250.000000000000000000,0,1924402,1924402,468,480.60331520954924,480.60331520954924,4.806033152095492,19,,,,
48,royman,epic,29,29,1,0,12.5240000000000000,626.200,50,50,12,6900,0,38203,38203,9,4.130828368697181,4.130828368697181,0.08261656737394363,76,,,,
49,panda,uncommon,29,29,1,0,5.4932016666666667,3295.921,599,600,17,585.400000000000000000,1,1617596,966603,344,457.69274678760735,457.69274678760735,0.7640947358724663,22,,,,
50,melon,rare,29,29,1,0,7.0660959409594096,1914.912,267,271,18,1600,0,467650,467650,103,183.22343167322708,183.22343167322708,0.6862300811731351,34,,,,
51,casinochip,uncommon,29,24,1,0,5.3105733333333333,3186.344,600,600,6,3500.000000000000000000,9,13521034,10831562,2176,7443.193721393154,10443.193721393154,17.40532286898859,1,3000,600.000000000000000000,1000,321.6666666666667
52,pizza,rare,29,29,1,0,8.8873066666666667,1333.096,150,150,28,2300,0,246346,246346,32,41.25928999515105,41.25928999515105,0.275061933301007,49,,,,
53,jackolantern,rare,29,29,1,0,9.6879133333333333,1453.187,150,150,27,2400,0,30540,30540,19,2.614226399291617,2.614226399291617,0.017428175995277448,78,,,,
54,waffle,uncommon,29,24,1,0,5.1708046767537827,3759.175,678,727,20,377,0,30233,15738,23,9.044039530271009,9.044039530271009,0.01333929134258261,67,,,,
55,saturn,common,29,29,1,0,3.7581415000000000,7516.283,1996,2000,23,230,0,220274,220274,210,40.39047769162586,40.39047769162586,0.020235710266345623,50,,,,
56,marble,rare,29,29,1,0,7.5096829268292683,2155.279,278,287,3,1420.000000000000000000,0,131950,131950,56,111.9999352299464,111.9999352299464,0.4028774648559223,41,,,,
57,skull,uncommon,29,29,1,0,6.5765444785276074,4287.907,650,652,23,811,0,993736,993736,474,540.3149678400952,540.3149678400952,0.8312537966770694,18,,,,
58,skullpatch,rare,29,29,1,0,9.1489666666666667,1372.345,150,150,8,2570.000000000000000000,0,128262,128262,65,12.648356159759063,12.648356159759063,0.08432237439839375,65,,,,
59,football,common,24,21,1,0,4.1971870000000000,8394.374,1997,2000,13,1260,2,9278598,8599560,2573,2311.1932866590078,2311.1932866590078,1.1573326422929433,7,,900.000000000000000000,,
60,starballoon,common,29,29,1,0,3.4648691156462585,12733.394,3412,3676,17,90,0,87996,87974,61,13.166760964454607,13.166760964454607,0.003858956906346602,64,,,,
61,tamagochi,epic,29,29,1,0,11.9880000000000000,911.088,76,76,16,7293.000000000000000000,0,,,,,,,87,,,,
62,target,uncommon,29,29,1,0,5.0447667560321716,3763.396,711,746,15,354.000000000000000000,0,608208,282847,81,192.01775139738086,192.01775139738086,0.27006716089645694,32,,,,
64,tomato,uncommon,29,29,1,0,5.0219488188976378,3826.725,740,762,30,353.998000000000000000,0,146537,146537,71,27.13588547000815,27.13588547000815,0.036670115500011015,54,,,,
65,volleyball,common,29,29,1,0,3.1052390000000000,6210.478,2000,2000,23,219.400000000000000000,0,103874,103874,71,19.04682567956247,19.04682567956247,0.009523412839781236,61,,,,
66,racoon,uncommon,29,29,1,0,6.3580128040973111,4965.608,735,781,4,380,0,18356,18356,14,3.7258981952953136,3.7258981952953136,0.005069249245299746,77,,,,
67,peach,rare,29,29,1,0,10.1866100000000000,1018.661,100,100,15,3799.800000000000000000,0,106925,106925,32,7.1498341666048395,7.1498341666048395,0.07149834166604839,73,,,,
68,watermelon,uncommon,29,29,1,0,4.1912683333333333,2514.761,600,600,10,565.000000000000000000,1,1131415,1112504,181,470.9521850280219,470.9521850280219,0.7849203083800366,20,,,,
69,citrus,epic,29,29,1,0,15.7434200000000000,787.171,50,50,17,8800,0,176460,176460,47,19.360944750385553,19.360944750385553,0.38721889500771106,60,,,,
70,potion,epic,29,29,1,0,14.0556200000000000,702.781,50,50,20,10000,0,24284,24284,6,7.26442813988361,7.26442813988361,0.14528856279767222,72,,,,
71,crlogo,legendary,21,29,1,0,34.9837000000000000,349.837,10,10,28,72464.800000000000000000,6,13049798,10502226,2094,4656.153394185463,5656.153394185463,565.6153394185463,2,1000,600.000000000000000000,,183
72,yinyang,uncommon,29,29,1,0,5.4670223776223776,3908.921,687,715,23,399,0,108964,108964,40,19.980152043320228,19.980152043320228,0.029083190747191016,59,,,,
73,waffle2,legendary,29,29,1,0,17.4707222222222222,314.473,18,18,8,40000,0,427966,392341,112,49.0696350836323,49.0696350836323,2.726090837979572,48,,,,
74,snowman,epic,29,29,1,0,12.5110600000000000,625.553,50,50,29,6970.800000000000000000,0,149301,149301,49,13.660642374720656,13.660642374720656,0.2732128474944131,63,,,,
75,crosshair,common,17,21,1,0,3.5655090000000000,7131.018,2000,2000,12,1200,1,3647473,3596375,1307,2261.231559852539,2261.231559852539,1.1306157799262695,8,,100.000000000000000000,,
