id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.8308000000000000,278.308,10,10,5,59900.000000000000000000,0,83984,17,106.68805295323867,106.68805295323867,10.668805295323867,46,,,,
4,8ball,common,29,29,1,0,4.2126341531581889,15072.805,3309,3578,18,118.400000000000000000,0,354675,301,57.394137109942946,57.394137109942946,0.017344858600768495,52,,,,
7,alien,common,29,24,1,0,4.7180365000000000,9436.073,2000,2000,21,200,0,437216,145,183.55639712751474,183.55639712751474,0.09177819856375737,30,,,,
8,angel,epic,29,29,1,0,15.2805800000000000,764.029,50,50,26,10400,0,21415,14,2.4111286857066356,2.4111286857066356,0.048222573714132716,81,,,,
9,banana,rare,29,29,1,0,8.0465800000000000,1206.987,150,150,20,1991.110000000000000000,0,289441,89,43.01005323167354,43.01005323167354,0.2867336882111569,54,,,,
11,basketball,common,29,29,1,0,3.1537771400049913,12637.185,3809,4233,11,98.400000000000000000,0,265771,298,32.41376206804147,32.41376206804147,0.008509782637973608,60,,,,
12,beachball,common,29,29,1,0,3.6103332380680194,12632.556,3265,3499,30,100.895238095238096000,0,96993,61,16.872597811856185,16.872597811856185,0.005167717553401588,70,,,,
13,bomb,uncommon,29,29,1,0,5.2858116666666667,3171.487,600,600,23,1370.000000000000000000,0,1438419,365,201.10633671134622,201.10633671134622,0.3351772278522437,29,,,,
14,shades,epic,29,29,1,0,15.0063600000000000,750.318,50,50,28,10333,2,6315863,396,2293.566052669911,2293.566052669911,45.871321053398226,6,,,,
15,bowling,common,29,29,1,0,2.9818485000000000,5963.697,1998,2000,24,220,0,163887,76,19.804395368397536,19.804395368397536,0.009912109793992761,66,,,,
17,ninja,rare,29,29,1,0,10.4915700000000000,1049.157,100,100,27,5020.000000000000000000,0,2772,4,0.4887801956033713,0.4887801956033713,0.004887801956033713,87,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.6665933333333333,1449.989,150,150,21,7000,0,180620,38,35.4837389074204,35.4837389074204,0.23655825938280267,58,,,,
19,button,common,29,29,1,0,3.8352671458520515,12805.957,3082,3339,19,120,0,202796,76,130.14819115151676,130.14819115151676,0.04222848512378869,45,,,,
20,cat,uncommon,29,29,1,0,5.1836483333333333,3110.189,600,600,24,988.000000000000000000,0,637466,235,158.94555931545608,158.94555931545608,0.2649092655257601,34,,,,
21,cherry,rare,29,29,1,0,10.2451800000000000,1024.518,98,100,30,3200.000000000000000000,0,446502,102,66.90201548084356,66.90201548084356,0.6826736273555465,50,,,,
22,egg,rare,29,29,1,0,13.9479600000000000,1394.796,100,100,27,8500,0,171827,46,28.836608077285806,28.836608077285806,0.2883660807728581,61,,,,
23,coconut,rare,29,29,1,0,7.0479228070175439,2008.658,273,285,25,1600,0,7906,9,2.3095655851344783,2.3095655851344783,0.008459947198294793,82,,,,
24,cute,uncommon,29,29,1,0,5.6750951724137931,4114.444,708,725,9,450,0,392355,133,180.02486820087088,180.02486820087088,0.2542724127130945,32,,,,
25,devil,epic,29,29,1,0,14.4948414634146341,1188.577,81,82,11,9102.400000000000000000,1,2788382,767,726.2042267836516,726.2042267836516,8.96548428127965,14,,,,
26,revolver,uncommon,29,29,1,0,4.1212400000000000,2472.744,600,600,31,720.000000000000000000,0,809105,293,149.04868432746568,149.04868432746568,0.24841447387910948,37,,,,
27,disguise,epic,29,29,1,0,12.2564054054054054,906.974,73,74,31,8000,0,964094,201,388.6913141300986,388.6913141300986,5.324538549727378,18,,,,
28,dog,uncommon,29,29,1,0,5.0042866666666667,3002.572,600,600,18,500.000000000000000000,0,408131,157,168.19344760535984,168.19344760535984,0.2803224126755997,33,,,,
29,donut,uncommon,29,29,1,0,5.5055388739946381,4107.132,686,746,9,399.000000000000000000,0,86541,70,20.472746789690866,20.472746789690866,0.029843654212377356,65,,,,
30,baseball,epic,29,29,1,0,9.6966000000000000,678.762,69,70,33,6718.800000000000000000,0,39950,8,8.532167315153952,8.532167315153952,0.12365459877034714,77,,,,
31,bowie,rare,29,29,1,0,7.8758101265822785,2488.756,312,316,4,1500,0,272846,93,146.5249207150456,146.5249207150456,0.46963115613796663,39,,,,
32,eyeball,rare,29,29,1,0,7.0038442906574394,2024.111,276,289,14,1500,0,65306,27,18.779259573754835,18.779259573754835,0.06804079555708274,68,,,,
33,eyeball2,epic,29,29,1,0,10.4659466666666667,784.946,71,75,22,5990.000000000000000000,0,7411,6,1.6337326540778099,1.6337326540778099,0.02301031907151845,83,,,,
34,discoball,epic,29,24,1,0,14.0497358490566038,744.636,53,53,11,7900,1,2079463,414,462.4419914772788,462.4419914772788,8.72532059391092,17,,,,
35,fishcake,uncommon,29,29,1,0,5.3540000000000000,3919.128,682,732,25,450,0,3689,2,0.594814271228036,0.594814271228036,0.000872161688017648,86,,,,
36,floater,rare,29,29,1,0,8.5382800000000000,1280.742,150,150,25,2880.000000000000000000,0,65957,41,19.267899987188816,19.267899987188816,0.12845266658125878,67,,,,
