id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9197000000000000,279.197,10,10,27,59900.000000000000000000,1,4021516,2657901,416,1058.7038947858066,1058.7038947858066,105.87038947858066,13,,,,
4,8ball,common,29,29,1,0,4.2188339854667412,15094.988,3309,3578,19,96,0,177982,177982,129,12.29353019723264,12.29353019723264,0.0037151798722371227,67,,,,
7,alien,common,29,24,1,0,4.7215425000000000,9443.085,2000,2000,27,192.000000000000000000,0,94881,94881,38,102.41104083123088,102.41104083123088,0.05120552041561544,45,,,,
8,angel,epic,29,29,1,0,15.2908800000000000,764.544,50,50,25,10800.000000000000000000,1,2409584,1206602,268,461.58695859143245,461.58695859143245,9.231739171828648,23,,,,
9,banana,rare,29,29,1,0,8.0564000000000000,1208.460,150,150,31,2071.110000000000000000,0,377125,191240,83,74.95289336984862,74.95289336984862,0.49968595579899083,50,,,,
11,basketball,common,29,29,1,0,3.0830418151579948,12976.523,4011,4229,15,90.000000000000000000,0,621447,401381,255,262.4519989030053,262.4519989030053,0.06543305881401279,28,,,,
12,beachball,common,29,29,1,0,3.6119239782795084,12638.122,3265,3499,4,100.000000000000000000,0,65371,65371,63,10.03656302382083,10.03656302382083,0.003073985612196273,71,,,,
13,bomb,uncommon,29,29,1,0,5.3248733333333333,3194.924,600,600,22,1488.000000000000000000,1,4666431,4666218,604,1198.34422417388,1198.34422417388,1.9972403736231334,10,,,,
14,shades,epic,29,29,1,0,15.0344400000000000,751.722,50,50,31,9800,1,1825985,1230541,130,758.7174031193429,758.7174031193429,15.174348062386857,16,,,,
15,bowling,common,29,29,1,0,2.9848545000000000,5969.709,1998,2000,6,190.000000000000000000,0,242992,242992,72,107.73555006850626,107.73555006850626,0.05392169673098411,44,,,,
17,ninja,rare,29,29,1,0,10.5173300000000000,1051.733,100,100,14,5020.000000000000000000,0,534,534,1,0.08069364440571833,0.08069364440571833,0.0008069364440571832,83,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.6708533333333333,1450.628,150,150,21,7000,0,3455589,2582443,302,446.40564152832235,446.40564152832235,2.9760376101888157,25,,,,
19,button,common,29,29,1,0,3.8364600179694519,12809.940,3082,3339,17,103,0,36298,36298,22,5.647638600279981,5.647638600279981,0.0018324589877611879,76,,,,
20,cat,uncommon,29,29,1,0,5.2171333333333333,3130.280,600,600,18,922.190476190476200000,2,1491618,1105132,511,1407.3541752018152,1407.3541752018152,2.3455902920030254,8,,,,
21,cherry,rare,29,29,1,0,10.2506200000000000,1025.062,98,100,8,3300.000000000000000000,0,391601,227279,73,247.87671715168352,247.87671715168352,2.5293542566498317,31,,,,
22,egg,rare,29,29,1,0,13.9588400000000000,1395.884,100,100,22,8500,0,634587,634587,147,302.97362002531753,302.97362002531753,3.029736200253175,26,,,,
23,coconut,rare,29,29,1,0,7.0499192982456140,2009.227,273,285,23,1550,0,5153,4720,4,0.4244229112330515,0.4244229112330515,0.001554662678509346,81,,,,
24,cute,uncommon,29,29,1,0,5.6971793103448276,4130.455,708,725,21,444.800000000000000000,0,59381,59381,33,4.02719968348548,4.02719968348548,0.005688135146165932,77,,,,
25,devil,epic,29,29,1,0,14.6177804878048780,1198.658,81,82,17,11000.000000000000000000,1,2016598,1812037,597,1052.9828017838565,1052.9828017838565,12.999787676343908,14,,,,
26,revolver,uncommon,29,24,1,0,4.1251383333333333,2475.083,600,600,20,748,0,308948,303032,102,127.00715545912422,127.00715545912422,0.2116785924318737,40,,,,
27,disguise,epic,29,29,1,0,12.3565270270270270,914.383,73,74,23,7880.000000000000000000,0,2175343,1320380,400,685.7415849143508,685.7415849143508,9.393720341292477,17,,,,
28,dog,uncommon,29,29,1,0,5.0254333333333333,3015.260,600,600,29,506.000000000000000000,0,209853,209853,119,32.93874021124656,32.93874021124656,0.0548979003520776,60,,,,
29,donut,uncommon,29,29,1,0,5.5087050938337802,4109.494,686,746,15,400,0,129161,129161,73,23.684997618469144,23.684997618469144,0.03452623559543607,63,,,,
30,baseball,epic,29,29,1,0,9.6970142857142857,678.791,69,70,13,6718.800000000000000000,0,,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.8846424050632911,2491.547,312,316,17,1500,0,67029,67029,42,11.682932625161072,11.682932625161072,0.03744529687551626,69,,,,
32,eyeball,rare,29,29,1,0,7.0139896193771626,2027.043,276,289,33,1390.000000000000000000,0,27976,27976,19,2.4716650562863687,2.4716650562863687,0.008955308174950612,78,,,,
33,eyeball2,epic,29,29,1,0,10.5314266666666667,789.857,71,75,14,5690.000000000000000000,0,9218,9218,3,1.392947592007325,1.392947592007325,0.019618980169117256,79,,,,
34,discoball,epic,29,29,1,0,14.0560000000000000,744.968,53,53,31,8000,0,79356,72074,8,12.07912964245581,12.07912964245581,0.22790810646143037,68,,,,
35,fishcake,uncommon,29,29,1,0,5.3574836065573770,3921.678,682,732,5,439,0,1020,1020,3,0.11438695086851419,0.11438695086851419,0.0001677228018599915,82,,,,
36,floater,rare,29,29,1,0,8.5500266666666667,1282.504,150,150,23,2920.000000000000000000,0,169616,169560,50,47.24184359407883,47.24184359407883,0.31494562396052556,53,,,,
37,fox,uncommon,29,29,1,0,6.0398783610755442,4717.145,709,781,31,385,0,44391,44391,22,8.822628808965066,8.822628808965066,0.01244376418753888,75,,,,
38,fox777,legendary,29,29,1,0,31.7764285714285714,444.870,14,14,14,104100.000000000000000000,0,572850,572850,161,99.54235843202939,99.54235843202939,7.11016845943067,46,,,,
40,gamer,rare,29,29,1,0,10.3007900000000000,1030.079,99,100,21,5000,0,82371,82371,21,94.65707321727922,94.65707321727922,0.9561320526997901,47,,,,
41,xmasball,epic,29,24,1,0,10.7928500000000000,647.571,60,60,17,8005.000000000000000000,0,162692,109186,43,23.66555731417195,23.66555731417195,0.39442595523619917,64,,,,
42,derp,uncommon,29,29,1,0,7.0861452380952381,2976.181,420,420,20,1278.000000000000000000,1,895978,505631,231,448.9785247723612,448.9785247723612,1.068996487553241,24,,,,
43,moneybag,legendary,29,29,1,0,19.1560000000000000,191.560,10,10,26,41000.138000000000000000,0,95316,95316,37,9.54350332859129,9.54350332859129,0.9543503328591291,74,,,,
