id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.3740000000000000,323.740,10,10,28,79524.138000000000000000,0,504554,146,315.2745341222067,315.2745341222067,31.527453412220673,33,,,,
4,8ball,common,29,24,1,0,4.1580664257921067,14960.723,3329,3598,18,120,0,200383,169,38.135858376609136,38.135858376609136,0.011455649857797878,64,,,,
7,alien,common,29,29,1,0,4.6029835000000000,9205.967,2000,2000,18,290,0,171493,149,34.69296293702333,34.69296293702333,0.017346481468511667,66,,,,
8,angel,epic,29,29,1,0,17.5236000000000000,876.180,50,50,14,15500,0,1146423,284,353.45251236956113,353.45251236956113,7.069050247391223,30,,,,
9,banana,rare,29,29,1,0,7.8624133333333333,1179.362,150,150,28,2003.800000000000000000,0,559844,283,327.8028978781396,327.8028978781396,2.1853526525209306,32,,,,
11,basketball,common,29,29,1,0,3.9143077830188679,9957.999,2345,4299,6,150,0,138850,61,31.57043193759253,31.57043193759253,0.013462870762299586,68,,,,
12,beachball,common,29,29,1,0,3.6203234104046243,12526.319,3224,3519,4,106.700000000000000000,0,146197,130,111.05517697946674,111.05517697946674,0.03444639484474775,54,,,,
13,bomb,uncommon,29,24,1,0,5.0127266666666667,3007.636,600,600,23,700.000000000000000000,0,3746523,1136,950.4566834606709,950.4566834606709,1.5840944724344515,15,,,,
14,shades,epic,29,29,1,0,14.5669000000000000,728.345,50,50,3,11500,0,56573,6,12.892483151913765,12.892483151913765,0.25784966303827533,79,,,,
15,bowling,common,29,29,1,0,3.6290849880857824,4569.018,1257,2000,6,170.400000000000000000,0,206799,173,124.19071787807502,124.19071787807502,0.0987992982323588,51,,,,
17,ninja,rare,29,29,1,0,10.3079300000000000,1030.793,100,100,13,4050.000000000000000000,0,378718,152,86.07492436767944,86.07492436767944,0.8607492436767944,55,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.1345200000000000,1370.178,150,150,3,3322,0,356400,91,158.40918821904614,158.40918821904614,1.056061254793641,44,,,,
19,button,common,29,24,1,0,3.8097484388938448,12812.184,3102,3363,12,107.993,0,89283,180,24.831860691600568,24.831860691600568,0.008005113053385096,70,,,,
20,cat,uncommon,29,29,1,0,5.0821066666666667,3049.264,600,600,3,730.000000000000000000,1,669107,284,457.6790401739846,457.6790401739846,0.7627984002899744,25,,,,
21,cherry,rare,29,29,1,0,9.1934600000000000,919.346,98,100,30,2150,0,5477,7,1.9522072299634046,1.9522072299634046,0.01992048193840209,85,,,,
22,egg,rare,29,17,1,0,13.3008800000000000,1330.088,100,100,23,8660.000000000000000000,0,1518715,837,879.0108820840476,879.0108820840476,8.790108820840477,16,,,,
