id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,28.3777000000000000,283.777,10,10,33,58985.714285714284000000,0,66096,66096,8,12.01729061528937,12.01729061528937,1.201729061528937,63,,,,
4,8ball,common,29,29,1,0,4.2220869686800895,15098.183,3307,3576,10,95,0,462384,462384,61,100.93063527361826,100.93063527361826,0.030520300959666846,45,,,,
7,alien,common,29,24,1,0,4.7262925000000000,9452.585,2000,2000,4,170.000000000000000000,0,109375,109375,59,92.3040500923893,92.3040500923893,0.04615202504619465,48,,,,
8,angel,epic,29,29,1,0,15.3549400000000000,767.747,50,50,10,9000.000000000000000000,0,,,,,,,84,,,,
9,banana,rare,29,29,1,0,8.0853933333333333,1212.809,150,150,26,1850,0,4325,4325,4,1.0191971015565258,1.0191971015565258,0.0067946473437101714,78,,,,
11,basketball,common,29,29,1,0,3.1017377010406812,13114.147,4030,4228,20,92,0,410686,230511,109,190.77463821120296,190.77463821120296,0.04733861990352431,33,,,,
12,beachball,common,29,29,1,0,3.6104493707093822,12622.131,3262,3496,19,92,0,50553,24105,20,9.065299682441042,9.065299682441042,0.0027790618278482654,66,,,,
13,bomb,uncommon,29,29,1,0,5.3751766666666667,3225.106,600,600,30,2100,2,3116276,2648552,645,1926.651214468851,1926.651214468851,3.211085357448085,6,400.000000000000000000,,,
14,shades,epic,29,29,1,0,15.2899200000000000,764.496,50,50,33,9746.02857142857,1,2331711,2086515,320,774.78351426445,774.78351426445,15.495670285289,13,,,,
15,bowling,common,29,29,1,0,3.0098555000000000,6019.711,1998,2000,30,181.000000000000000000,0,1237819,592258,163,258.1816093171486,258.1816093171486,0.12922002468325758,28,,,,
17,ninja,rare,29,29,1,0,10.5605800000000000,1056.058,100,100,31,4120.000000000000000000,0,788674,529037,251,138.62214271943608,138.62214271943608,1.386221427194361,38,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7823600000000000,1467.354,150,150,15,5000,1,924832,665476,178,481.30076318471754,481.30076318471754,3.2086717545647834,20,,,,
19,button,common,29,29,1,0,3.8384710818100090,12808.978,3080,3337,9,100,0,17874,17874,22,3.250022248445319,3.250022248445319,0.0010552020287160127,70,,,,
20,cat,uncommon,29,29,1,0,5.3586300000000000,3215.178,600,600,18,1180.000000000000000000,2,1661311,1628363,657,2082.625387176092,2082.625387176092,3.471042311960153,5,,,,
21,cherry,rare,29,29,1,0,10.2655100000000000,1026.551,98,100,16,3300.000000000000000000,0,572018,488843,146,325.1398963734875,325.1398963734875,3.3177540446274234,25,,,,
22,egg,rare,29,29,1,0,13.9989600000000000,1399.896,100,100,14,8500,0,685442,673018,244,198.8076894942294,198.8076894942294,1.988076894942294,32,,,,
23,coconut,rare,29,29,1,0,7.0206042402826855,1986.831,271,283,7,1550,0,132903,69669,56,27.727103736312998,27.727103736312998,0.10231403592735423,56,,,,
24,cute,uncommon,29,29,1,0,5.7226353591160221,4143.188,707,724,17,440,0,810,810,2,0.2033025960736795,0.2033025960736795,0.0002875567129755014,82,,,,
25,devil,epic,29,19,1,0,15.0525487804878049,1234.309,81,82,16,11499.600000000000000000,2,3063356,2647241,715,1523.6018330821432,1523.6018330821432,18.80989917385362,7,,,,
26,revolver,uncommon,29,29,1,0,4.1446116666666667,2486.767,600,600,25,525.200000000000000000,0,87292,87292,46,17.505677355373336,17.505677355373336,0.029176128925622227,61,,,,
27,disguise,epic,29,29,1,0,12.3947702702702703,917.213,73,74,13,7380.000000000000000000,0,1256,1256,2,0.46489221430191724,0.46489221430191724,0.006368386497286538,79,,,,
28,dog,uncommon,29,29,1,0,5.0526650000000000,3031.599,600,600,33,524.000000000000000000,0,438795,439788,118,170.8290408839936,170.8290408839936,0.2847150681399893,36,,,,
29,donut,uncommon,29,24,1,0,5.5146340482573727,4113.917,686,746,21,404,0,580358,301016,128,172.57040839969915,172.57040839969915,0.2515603620986868,35,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,5,6718.800000000000000000,0,,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.8902310126582278,2493.313,312,316,25,1600,0,232590,232590,64,141.28091483814902,141.28091483814902,0.45282344499406735,37,,,,
32,eyeball,rare,29,17,1,0,7.0317430555555556,2025.142,275,288,33,1408.000000000000000000,0,,,,,,,86,,,,
33,eyeball2,epic,29,29,1,0,10.5330800000000000,789.981,71,75,14,5690.000000000000000000,0,10580,10580,4,2.7049840705720305,2.7049840705720305,0.038098367191155356,71,,,,
34,discoball,epic,29,29,1,0,14.3379433962264151,759.911,53,53,26,8011.000000000000000000,0,459996,250270,86,214.1354024530437,214.1354024530437,4.040290612321579,30,,,,
35,fishcake,uncommon,29,29,1,0,5.3531190150478796,3913.130,681,731,19,399.000000000000000000,0,1798,1798,3,0.4081029056829826,0.4081029056829826,0.0005992700523979186,80,,,,
36,floater,rare,29,29,1,0,8.5633266666666667,1284.499,150,150,24,2700,0,10920,6654,5,1.458172096872815,1.458172096872815,0.009721147312485433,75,,,,
37,fox,uncommon,29,24,1,0,6.0481797175866496,4711.532,707,779,17,390,0,8636,4178,4,2.1675570613485133,2.1675570613485133,0.003065851571921518,72,,,,
38,fox777,legendary,29,29,1,0,31.8699285714285714,446.179,14,14,8,104100.000000000000000000,0,246480,246480,55,36.0170805217907,36.0170805217907,2.572648608699336,53,,,,
40,gamer,rare,29,29,1,0,10.3696600000000000,1036.966,99,100,5,4700,0,138670,138670,31,29.472528543620115,29.472528543620115,0.2977023085214153,54,,,,
41,xmasball,epic,29,29,1,0,10.8085333333333333,648.512,60,60,12,8005.000000000000000000,0,90371,90371,47,24.088520017496272,24.088520017496272,0.40147533362493787,57,,,,
42,derp,uncommon,29,24,1,0,7.0986595238095238,2981.437,420,420,14,1360.000000000000000000,0,556913,315710,226,312.02742283415785,312.02742283415785,0.7429224353194235,26,,,,
43,moneybag,legendary,29,29,1,0,19.2051000000000000,192.051,10,10,3,41000.138000000000000000,0,112337,112337,40,73.28753867687453,73.28753867687453,7.328753867687453,51,,,,
44,moon,uncommon,29,21,1,0,6.2229183333333333,3733.751,600,600,27,5750,0,3102423,2534833,675,847.0320738570991,847.0320738570991,1.4117201230951653,12,,,,
45,bull,uncommon,29,29,1,0,6.3820336787564767,4926.930,738,772,32,504.000000000000000000,0,388731,388731,68,203.32607807884534,203.32607807884534,0.27550959089274435,31,,,,
46,opencan,uncommon,29,29,1,0,5.0149883333333333,3008.993,600,600,3,500.000000000000000000,1,4002204,1931566,414,533.3815062680727,533.3815062680727,0.8889691771134545,17,,,,
47,candyswirl,rare,29,24,1,0,11.6977400000000000,1169.774,100,100,23,7100.000000000000000000,0,426547,426547,165,117.49380871251354,117.49380871251354,1.1749380871251354,41,,,,
48,royman,epic,29,29,1,0,12.5560600000000000,627.803,50,50,23,6893.800000000000000000,0,,,,,,,87,,,,
49,panda,uncommon,29,24,1,0,5.5069450000000000,3304.167,599,600,12,480.000000000000000000,0,197171,197171,141,109.82596114829086,109.82596114829086,0.18334884999714668,43,,,,
50,melon,rare,29,29,1,0,7.0428661710037175,1894.531,265,269,27,1600,0,448390,448390,72,126.2768989451937,126.2768989451937,0.4765165997931837,40,,,,
51,casinochip,uncommon,29,29,1,0,5.3710450000000000,3222.627,600,600,7,3061.800000000000000000,3,3698893,2860967,899,2748.3746689176587,2748.3746689176587,4.580624448196098,4,200.000000000000000000,,,
52,pizza,rare,29,29,1,0,8.9114733333333333,1336.721,150,150,12,2225,1,1003084,711134,159,581.0862934496517,581.0862934496517,3.8739086229976785,15,,,,
53,jackolantern,rare,29,29,1,0,9.7600733333333333,1464.011,150,150,33,1850,0,2239,2239,4,0.20396603850367634,0.20396603850367634,0.001359773590024509,81,,,,
