id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
80,wheeee,rare,29,29,1,0,8.4159800000000000,1262.397,150,150,17,3000,0,22382,12,2.1862661103924763,2.1862661103924763,0.014575107402616508,63,,,,
81,owl,epic,29,29,1,200.000000000000000000,16.7233600000000000,836.168,50,50,8,18000,0,132439,28,1166.6902002986317,1166.6902002986317,23.333804005972635,11,100.000000000000000000,,,
83,ape,epic,24,29,1,0,14.5526800000000000,727.634,50,50,22,13480.000000000000000000,4,2411117,299,2980.6879581375474,2980.6879581375474,59.613759162750945,3,1000.000000000000000000,,202,1000
84,ghost,epic,29,24,1,0,18.8807600000000000,944.038,50,50,29,19000,1,170611,57,1027.7339608234108,1027.7339608234108,20.554679216468216,12,100.000000000000000000,,,
85,diver,rare,29,29,1,0,7.4913333333333333,1123.700,150,150,17,4335.400000000000000000,0,85462,51,76.29119833201105,76.29119833201105,0.5086079888800736,43,,,,
86,cobra,legendary,29,29,1,0,28.3848000000000000,283.848,10,10,8,102000.000000000000000000,0,271035,72,949.6449182642177,949.6449182642177,94.96449182642178,13,100.000000000000000000,,,
87,clock,common,29,29,1,0,2.3660503355704698,4230.498,1788,2000,26,111.998600000000000000,0,25772,20,59.48671961926809,59.48671961926809,0.03326997741569804,45,,,,
88,ladybug,rare,29,24,1,0,9.2168000000000000,1382.520,150,150,9,5430.000000000000000000,2,390016,106,1369.4357801665494,1369.4357801665494,9.129571867776995,8,,,,
89,dragon,epic,29,29,1,100.000000000000000000,15.3327800000000000,766.639,50,50,17,13000,0,185236,113,159.53781311077609,159.53781311077609,3.1907562622155217,33,,,,
90,virus,common,29,29,1,0,2.3626640000000000,4725.328,2000,2000,15,149,0,57474,22,280.622947701512,280.622947701512,0.14031147385075599,29,,,,
91,cougar,rare,29,24,1,0,8.3624200000000000,1254.363,150,150,31,3130.000000000000000000,0,156876,81,538.983028158704,538.983028158704,3.593220187724693,21,,,,
92,botroyale,legendary,29,29,1,0,12.5715000000000000,125.715,10,10,31,60000,0,5023,1,5.552625574607184,5.552625574607184,0.5552625574607184,56,,,,
93,mummy,epic,29,21,1,0,12.6184600000000000,630.923,50,50,14,15771.600000000000000000,1,363303,212,1188.2522439696497,1188.2522439696497,23.765044879392995,10,100.000000000000000000,,,
94,frankie,rare,29,29,1,0,5.7289133333333333,859.337,150,150,17,2900,0,94706,57,10.36377279030228,10.36377279030228,0.0690918186020152,48,,,,
