id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,24,1,300.000000000000000000,28.4466000000000000,284.466,10,10,8,61918.914285714284000000,0,129906,129906,40,18.291152719784904,18.291152719784904,1.8291152719784904,60,,,,
4,8ball,common,29,29,1,0,4.2222024608501119,15098.596,3307,3576,16,95,0,266872,266872,142,170.70236843242338,170.70236843242338,0.05161849665328799,39,,,,
7,alien,common,29,29,1,0,4.7222410000000000,9444.482,2000,2000,14,170.000000000000000000,0,65263,65263,48,6.639887520238078,6.639887520238078,0.003319943760119039,65,,,,
8,angel,epic,29,29,1,0,15.3569000000000000,767.845,50,50,27,9000.000000000000000000,0,,,,,,,81,,,,
9,banana,rare,29,29,1,0,8.0892266666666667,1213.384,150,150,5,1948.400000000000000000,0,67831,67398,8,13.577895856962062,13.577895856962062,0.09051930571308041,61,,,,
11,basketball,common,29,29,1,0,3.1023798486281930,13116.862,4030,4228,32,88.700000000000000000,0,1252961,715569,303,277.06049712523384,277.06049712523384,0.06874950300874288,29,,,,
12,beachball,common,29,29,1,0,3.6105975400457666,12622.649,3262,3496,19,92.000000000000000000,0,30982,30982,20,4.2823418983666395,4.2823418983666395,0.0013127964127426853,70,,,,
13,bomb,uncommon,29,19,1,0,5.3802333333333333,3228.140,600,600,14,2100,1,10538903,8376848,1447,3767.173818442645,4267.173818442645,7.111956364071075,3,500,200.000000000000000000,184,
14,shades,epic,29,29,1,0,15.3126800000000000,765.634,50,50,33,9746.02857142857,2,4415204,4239846,388,1610.786137984017,1610.786137984017,32.21572275968034,8,,,,
15,bowling,common,29,29,1,0,3.0100580000000000,6020.116,1998,2000,32,182.000000000000000000,0,24182,24182,17,3.106335815409116,3.106335815409116,0.001554722630334893,72,,,,
17,ninja,rare,29,29,1,0,10.5611500000000000,1056.115,100,100,6,4000.000000000000000000,0,,,,,,,82,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7838000000000000,1467.570,150,150,23,5000,0,931641,931641,171,179.05315484447016,179.05315484447016,1.1936876989631344,36,,,,
19,button,common,29,29,1,0,3.8388237938267905,12810.155,3080,3337,10,108.000000000000000000,0,111243,111243,126,8.246852830876414,8.246852830876414,0.00267754962041442,63,,,,
20,cat,uncommon,29,21,1,0,5.3911383333333333,3234.683,600,600,29,1380.000000000000000000,2,1631174,1342053,586,1613.1494771712953,1613.1494771712953,2.688582461952159,7,,,,
21,cherry,rare,29,29,1,0,10.2663800000000000,1026.638,98,100,27,3300.000000000000000000,0,629127,397678,155,268.98126376856266,268.98126376856266,2.7447067731485983,30,,,,
22,egg,rare,29,29,1,0,14.0019100000000000,1400.191,100,100,4,8500,0,892447,808861,314,638.5645181451978,638.5645181451978,6.385645181451978,16,,,,
23,coconut,rare,29,29,1,0,7.0215653710247350,1987.103,271,283,23,1550,0,282792,282792,59,54.35011958981776,54.35011958981776,0.20055394682589578,49,,,,
24,cute,uncommon,29,29,1,0,5.7226519337016575,4143.200,707,724,17,444,0,,,,,,,83,,,,
25,devil,epic,29,24,1,0,15.0727439024390244,1235.965,81,82,22,11499.600000000000000000,2,3847502,3384209,991,2045.3806386216975,2045.3806386216975,25.25161282249009,4,,,,
26,revolver,uncommon,29,29,1,0,4.1449283333333333,2486.957,600,600,22,532.000000000000000000,0,392220,392220,98,195.09282343105122,195.09282343105122,0.3251547057184187,33,,,,
27,disguise,epic,29,24,1,0,12.3948648648648649,917.220,73,74,23,7380.000000000000000000,0,9693,4549,3,1.8629088134887248,1.8629088134887248,0.02551929881491404,75,,,,
28,dog,uncommon,29,29,1,0,5.0528816666666667,3031.729,600,600,17,550,0,42547,42547,20,6.621005949660403,6.621005949660403,0.011035009916100671,66,,,,
29,donut,uncommon,29,24,1,0,5.5147372654155496,4113.994,686,746,16,404,0,93398,93398,61,24.244609965252998,24.244609965252998,0.0353419970338965,55,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,5,6718.800000000000000000,0,,,,,,,84,,,,
31,bowie,rare,29,29,1,0,7.8906297468354430,2493.439,312,316,16,1510,0,150665,150665,46,99.90527961830742,99.90527961830742,0.3202092295458571,45,,,,
32,eyeball,rare,29,17,1,0,7.0317430555555556,2025.142,275,288,3,1408.000000000000000000,0,,,,,,,85,,,,
33,eyeball2,epic,29,29,1,0,10.5331733333333333,789.988,71,75,14,5690.000000000000000000,0,18960,18960,9,1.9218485835143246,1.9218485835143246,0.02706828990865246,74,,,,
34,discoball,epic,29,29,1,0,14.3939811320754717,762.881,53,53,26,8011.000000000000000000,0,,,,,,,86,,,,
35,fishcake,uncommon,29,29,1,0,5.3533816689466484,3913.322,681,731,31,399.000000000000000000,0,146815,70618,42,228.34689631654078,228.34689631654078,0.3353111546498396,31,,,,
36,floater,rare,29,29,1,0,8.5636200000000000,1284.543,150,150,29,2300,0,23777,23777,22,6.163768452850443,6.163768452850443,0.041091789685669615,68,,,,
37,fox,uncommon,29,24,1,0,6.0485301668806162,4711.805,707,779,17,398,0,10144,10144,13,1.4738825023649897,1.4738825023649897,0.002084699437574243,76,,,,
38,fox777,legendary,29,24,1,0,31.8751428571428571,446.252,14,14,14,104100.000000000000000000,0,495964,354729,120,181.39671114603087,181.39671114603087,12.956907939002205,35,,,,
40,gamer,rare,29,29,1,0,10.3720700000000000,1037.207,99,100,30,4000,0,367020,364459,64,43.67689343559512,43.67689343559512,0.44118074177368805,52,,,,
41,xmasball,epic,29,29,1,0,10.8092666666666667,648.556,60,60,12,8005.000000000000000000,0,145819,145819,81,110.31040438818147,110.31040438818147,1.8385067398030244,44,,,,
42,derp,uncommon,29,29,1,0,7.0993500000000000,2981.727,420,420,33,1360.000000000000000000,0,218173,126237,81,91.47563767351481,91.47563767351481,0.2177991373178924,46,,,,
43,moneybag,legendary,29,29,1,0,19.2104000000000000,192.104,10,10,3,41000.138000000000000000,0,127609,127609,42,30.003655299240446,30.003655299240446,3.0003655299240446,54,,,,
44,moon,uncommon,29,24,1,0,6.2247533333333333,3734.852,600,600,28,5750,1,1733126,1450995,480,953.6128936759415,953.6128936759415,1.5893548227932357,13,,,,
45,bull,uncommon,29,29,1,0,6.3823549222797927,4927.178,738,772,3,504.000000000000000000,0,497509,371327,120,309.435026044743,309.435026044743,0.4192886531771585,27,,,,
46,opencan,uncommon,29,29,1,0,5.0155966666666667,3009.358,600,600,30,520.600000000000000000,1,2100718,1139218,430,417.24101382167447,417.24101382167447,0.6954016897027908,23,,,,
47,candyswirl,rare,29,21,1,0,11.7002300000000000,1170.023,100,100,28,7100.000000000000000000,0,973708,726214,267,336.2115311736885,336.2115311736885,3.362115311736885,26,,,,
48,royman,epic,29,29,1,0,12.5592800000000000,627.964,50,50,9,6893.800000000000000000,0,650353,325991,121,197.39537409770344,197.39537409770344,3.947907481954069,32,,,,
49,panda,uncommon,29,29,1,0,5.5087150000000000,3305.229,599,600,13,529.600000000000000000,0,1356711,943595,387,366.9934645882761,366.9934645882761,0.6126769024846012,25,,,,
50,melon,rare,29,29,1,0,7.0433420074349442,1894.659,265,269,27,1600,0,340494,340494,33,65.3866601738806,65.3866601738806,0.24674211386370037,48,,,,
51,casinochip,uncommon,29,29,1,0,5.3777100000000000,3226.626,600,600,30,3000,2,3219867,2123404,779,1957.3161551637095,1957.3161551637095,3.262193591939516,5,,,,
52,pizza,rare,29,29,1,0,8.9117466666666667,1336.762,150,150,6,2225,0,215840,215974,42,177.2609796327102,177.2609796327102,1.1817398642180679,38,,,,
53,jackolantern,rare,29,29,1,0,9.8079400000000000,1471.191,150,150,17,1910.000000000000000000,0,611542,611542,213,160.08996289747617,160.08996289747617,1.0672664193165078,40,,,,
