id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,ZonePrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,30.6840000000000000,306.840,10,10,26,56400.000000000000000000,0,174425,51,23.429953673948425,23.429953673948425,2.3429953673948427,66,,,,
4,8ball,common,29,29,1,0,4.1987726891929629,15035.805,3312,3581,11,130,0,353293,284,51.8405273046327,51.8405273046327,0.01565233312337944,52,,,,
7,alien,common,29,29,1,0,4.6956065000000000,9391.213,2000,2000,6,260,0,210607,136,20.60429819614289,20.60429819614289,0.010302149098071445,67,,,,
8,angel,epic,29,29,1,0,18.0391200000000000,901.956,50,50,23,19000,2,4257320,384,2489.928108343995,2489.928108343995,49.798562166879904,8,,,,
9,banana,rare,29,29,1,0,7.9710800000000000,1195.662,150,150,16,2244.000000000000000000,0,87460,36,14.507028516767946,14.507028516767946,0.09671352344511965,73,,,,
11,basketball,common,29,29,1,0,3.4554671397716754,11199.169,3043,4250,7,105.000000000000000000,0,278430,233,104.7868306432177,104.7868306432177,0.03443536991232918,45,,,,
12,beachball,common,29,29,1,0,3.6025562535693889,12616.152,3268,3502,11,135,0,514916,239,172.00159459375445,172.00159459375445,0.05263206688915375,41,,,,
13,bomb,uncommon,29,29,1,0,5.1500000000000000,3090.000,600,600,14,1610.000000000000000000,0,3805096,790,754.8313493437507,754.8313493437507,1.2580522489062511,19,,,,
14,shades,epic,29,19,1,0,14.8909000000000000,744.545,50,50,7,13240.000000000000000000,0,669480,162,83.9727599354286,83.9727599354286,1.679455198708572,48,,,,
15,bowling,common,29,29,1,0,2.9458220000000000,5891.644,1998,2000,26,200,0,38219,75,6.37621299182419,6.37621299182419,0.003191297793705801,77,,,,
17,ninja,rare,29,29,1,0,10.4510600000000000,1045.106,100,100,24,5630.000000000000000000,0,7579,16,0.6609561728749317,0.6609561728749317,0.006609561728749317,85,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.4796266666666667,1421.944,150,150,12,6000,2,6197811,1131,3772.5525920912264,4272.552592091226,28.48368394727484,3,500,,,
19,button,common,29,29,1,0,3.8258878253066108,12789.943,3085,3343,3,140,0,107938,155,17.75800429281633,17.75800429281633,0.0057562412618529435,70,,,,
20,cat,uncommon,29,29,1,0,5.1618016666666667,3097.081,600,600,6,1000,1,2009041,610,806.5081994821081,806.5081994821081,1.3441803324701802,18,,,,
21,cherry,rare,29,19,1,0,10.2104200000000000,1021.042,98,100,6,3829.800000000000000000,0,1728860,922,353.1880842648846,353.1880842648846,3.6039600435192307,27,,,,
22,egg,rare,29,29,1,0,13.7805700000000000,1378.057,100,100,21,8500.000000000000000000,0,2116574,613,439.859397767841,439.859397767841,4.39859397767841,24,,,,
23,coconut,rare,29,29,1,0,6.9521284722222222,2002.213,275,288,23,1640.000000000000000000,0,145223,119,36.27546662487796,36.27546662487796,0.13191078772682893,59,,,,
24,cute,uncommon,29,29,1,0,5.6710386740331492,4105.832,707,724,29,532.000000000000000000,0,27441,36,5.817637829955196,5.817637829955196,0.008228624936287406,78,,,,
25,devil,epic,29,29,1,0,14.1458888888888889,1145.817,80,81,5,8640.000000000000000000,0,1475353,541,539.6048726869205,539.6048726869205,6.745060908586507,22,,,,
26,revolver,uncommon,29,29,1,0,4.0779866666666667,2446.792,600,600,27,980,0,497747,202,315.57504019218004,315.57504019218004,0.5259584003203001,29,,,,
27,disguise,epic,29,29,1,0,12.0788378378378378,893.834,73,74,29,8000,0,4419,4,0.9368514839317812,0.9368514839317812,0.012833581971668236,84,,,,
28,dog,uncommon,29,29,1,0,4.9030966666666667,2941.858,600,600,29,724.000000000000000000,0,991020,512,381.4787709932006,381.4787709932006,0.6357979516553344,25,,,,
29,donut,uncommon,29,24,1,0,5.4774772117962466,4086.198,686,746,16,405.000000000000000000,0,123422,90,20.545730662623463,20.545730662623463,0.02995004469770184,68,,,,
30,baseball,epic,29,29,1,0,9.6418285714285714,674.928,69,70,4,6718.800000000000000000,0,,,,,,87,,,,
