id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,30.8896000000000000,308.896,10,10,5,56400.000000000000000000,0,1314907,247,384.3703912152313,384.3703912152313,38.43703912152313,24,,,,
4,8ball,common,29,29,1,0,4.2044128004471772,15043.389,3309,3578,14,100,0,350799,255,43.39472508657233,43.39472508657233,0.013114150827008864,50,,,,
7,alien,common,29,29,1,0,4.7110265000000000,9422.053,2000,2000,22,200,0,115417,47,21.49950223535337,21.49950223535337,0.010749751117676684,63,,,,
8,angel,epic,29,29,1,0,15.2749000000000000,763.745,50,50,28,10400,0,91081,29,28.924304955989495,28.924304955989495,0.5784860991197899,56,,,,
9,banana,rare,29,29,1,0,7.9730666666666667,1195.960,150,150,4,2000.000000000000000000,0,68064,48,10.850659811067889,10.850659811067889,0.07233773207378592,76,,,,
11,basketball,common,29,29,1,0,3.1819087863952590,12348.988,3683,4235,25,86.900000000000000000,0,309276,296,39.17030852921021,39.17030852921021,0.010635435386698401,51,,,,
12,beachball,common,29,29,1,0,3.6089454129751358,12627.700,3265,3499,11,118.800000000000000000,0,130972,95,28.97981526452533,28.97981526452533,0.008875900540436549,55,,,,
13,bomb,uncommon,29,29,1,0,5.2687316666666667,3161.239,600,600,33,1150.000000000000000000,2,1906995,511,1159.9106432336314,1159.9106432336314,1.9331844053893856,14,,,,
14,shades,epic,29,29,1,0,14.9804600000000000,749.023,50,50,30,11111,0,111345,44,26.934669041403637,26.934669041403637,0.5386933808280727,58,,,,
15,bowling,common,29,29,1,0,2.9567945000000000,5913.589,1998,2000,5,198.000000000000000000,0,67929,82,11.174713876234119,11.174713876234119,0.005592949888005064,75,,,,
17,ninja,rare,29,29,1,0,10.4864700000000000,1048.647,100,100,23,5020.000000000000000000,0,685,1,0.16470124430101718,0.16470124430101718,0.0016470124430101717,87,,,,
18,burger,rare,29,21,1,300.000000000000000000,9.6540933333333333,1448.114,150,150,31,8000,0,2386784,688,780.2021291784376,780.2021291784376,5.201347527856251,19,,,,
19,button,common,29,29,1,0,3.8347159533073930,12811.786,3084,3341,24,115,0,124784,150,34.3423006055349,34.3423006055349,0.011135635734609241,54,,,,
20,cat,uncommon,29,29,1,0,5.1821383333333333,3109.283,600,600,26,988.000000000000000000,0,501611,187,156.1954391209206,156.1954391209206,0.260325731868201,41,,,,
21,cherry,rare,29,29,1,0,10.2405000000000000,1024.050,98,100,19,3200.000000000000000000,0,552803,100,279.00699653697194,279.00699653697194,2.8470101687446117,35,,,,
22,egg,rare,29,24,1,0,13.9337800000000000,1393.378,100,100,22,7720.000000000000000000,0,1979879,440,566.2883066891185,566.2883066891185,5.662883066891185,22,,,,
23,coconut,rare,29,29,1,0,6.9562842105263158,1982.541,273,285,25,1500,0,86992,55,11.202536806426835,11.202536806426835,0.04103493335687485,74,,,,
24,cute,uncommon,29,29,1,0,5.6715131034482759,4111.847,708,725,14,449,0,4586,10,0.6337711973536609,0.6337711973536609,0.0008951570584091257,86,,,,
25,devil,epic,29,24,1,0,14.4344390243902439,1183.624,81,82,21,8502.400000000000000000,1,3785474,1262,1261.1591946732037,1261.1591946732037,15.56986660090375,11,,,,
26,revolver,uncommon,29,29,1,0,4.1146283333333333,2468.777,600,600,25,810.9969,1,2766131,611,1916.9183704944799,1916.9183704944799,3.194863950824133,6,,,,
27,disguise,epic,29,24,1,0,12.2533918918918919,906.751,73,74,23,8000,0,1263340,268,301.4839374044161,301.4839374044161,4.129916950745426,28,,,,
28,dog,uncommon,29,29,1,0,4.9992700000000000,2999.562,600,600,9,536,0,323730,260,139.93554190533553,139.93554190533553,0.23322590317555922,43,,,,
29,donut,uncommon,29,29,1,0,5.5017010723860590,4104.269,686,746,27,400,0,117287,71,17.953967237745026,17.953967237745026,0.026171963903418406,65,,,,
30,baseball,epic,29,29,1,0,9.6666428571428571,676.665,69,70,4,6718.800000000000000000,0,44196,23,7.045659394245951,7.045659394245951,0.10211100571370943,79,,,,
31,bowie,rare,29,29,1,0,7.8709936708860759,2487.234,312,316,13,1420,0,83147,42,18.847305261461667,18.847305261461667,0.06040802968417201,64,,,,
32,eyeball,rare,29,29,1,0,7.0002110726643599,2023.061,276,289,14,1500,0,10208,18,1.403550338320156,1.403550338320156,0.005085327312754189,85,,,,
33,eyeball2,epic,29,29,1,0,10.4604666666666667,784.535,71,75,22,5990.000000000000000000,0,12487,11,1.9750756653699448,1.9750756653699448,0.027817967117886547,83,,,,
34,discoball,epic,29,24,1,0,14.0431698113207547,744.288,53,53,14,8000,0,907277,167,111.39287321229888,111.39287321229888,2.1017523247603562,45,,,,
35,fishcake,uncommon,29,29,1,0,5.3528005464480874,3918.250,682,732,24,400,0,63648,35,17.5004405269782,17.5004405269782,0.02566046998090645,67,,,,
36,floater,rare,29,24,1,0,8.5277733333333333,1279.166,150,150,31,2880.000000000000000000,1,4221602,355,1633.029193315972,1633.029193315972,10.886861288773146,9,,,,
37,fox,uncommon,29,24,1,0,6.0033687580025608,4688.631,709,781,15,397,0,981260,338,383.78467539658544,383.78467539658544,0.5413041966101346,25,,,,
38,fox777,legendary,29,29,1,0,31.6904285714285714,443.666,14,14,14,104100.000000000000000000,0,3082207,510,854.4604510512179,854.4604510512179,61.03288936080128,18,,,,
40,gamer,rare,29,29,1,0,10.2887700000000000,1028.877,99,100,29,4500,0,273504,82,49.769791761519215,49.769791761519215,0.5027251693082749,47,,,,
41,xmasball,epic,29,29,1,0,10.7862500000000000,647.175,60,60,14,8005.000000000000000000,0,83686,61,10.691758277897947,10.691758277897947,0.17819597129829912,77,,,,
42,derp,uncommon,29,29,1,0,7.0804714285714286,2973.798,420,420,4,1530.000000000000000000,0,108310,53,17.266616186776606,17.266616186776606,0.04111099092089668,68,,,,
43,moneybag,legendary,29,29,1,0,19.0776000000000000,190.776,10,10,6,41000.138000000000000000,0,189603,55,138.68004487318206,138.68004487318206,13.868004487318206,44,,,,
44,moon,uncommon,16,21,1,0,6.1371216666666667,3682.273,600,600,18,8000,5,11835949,3448,8284.013583850632,11284.013583850632,18.80668930641772,1,1000,3000,600.000000000000000000,292.5
45,bull,uncommon,29,24,1,0,6.3734132124352332,4920.275,738,772,11,432.000000000000000000,0,397254,98,238.33198459128374,238.33198459128374,0.322943068551875,36,,,,
46,opencan,uncommon,29,29,1,0,4.9958083333333333,2997.485,600,600,21,537.000000000000000000,0,627896,174,213.0176271381116,213.0176271381116,0.35502937856351935,38,,,,
47,candyswirl,rare,29,29,1,0,11.4963400000000000,1149.634,100,100,10,6850.000000000000000000,2,1950917,973,1108.3539172655162,1108.3539172655162,11.083539172655161,15,,,,
48,royman,epic,29,29,1,0,12.4821800000000000,624.109,50,50,3,6980,0,38238,10,12.557545854629797,12.557545854629797,0.25115091709259596,72,,,,
49,panda,uncommon,29,29,1,0,5.4710100000000000,3282.606,599,600,13,678.000000000000000000,1,2262741,587,1624.3450989833655,1624.3450989833655,2.7117614340289906,10,,,,
50,melon,rare,29,29,1,0,7.0072058823529412,1905.960,268,272,33,1500,0,621007,103,279.97716558215257,279.97716558215257,1.0446909163513156,34,,,,
51,casinochip,uncommon,29,24,1,0,5.1511933333333333,3090.716,600,600,7,2540.000000000000000000,0,2257175,704,1207.9895898032205,1207.9895898032205,2.0133159830053673,13,,,,
52,pizza,rare,29,29,1,0,8.9448000000000000,1341.720,150,150,20,4000,0,583448,129,298.41049415212575,298.41049415212575,1.989403294347505,29,,,,
53,jackolantern,rare,29,24,1,0,9.6627733333333333,1449.416,150,150,30,2140.000000000000000000,0,91990,62,22.25264003878684,22.25264003878684,0.14835093359191226,61,,,,
54,waffle,uncommon,29,24,1,0,5.1530823045267490,3756.597,680,729,22,370,0,61081,72,9.661215401334317,9.661215401334317,0.014207669707844584,78,,,,
55,saturn,common,29,29,1,0,3.7391780000000000,7478.356,1996,2000,10,190.000000000000000000,0,117882,118,17.50378281049678,17.50378281049678,0.00876943026577995,66,,,,
56,marble,rare,29,29,1,0,7.4257212543554007,2131.182,278,287,28,1440.000000000000000000,0,225827,82,38.508718179370135,38.508718179370135,0.13852056899054005,52,,,,
57,skull,uncommon,29,29,1,0,6.5722082695252680,4291.652,651,653,14,1000,0,364639,216,44.769332734390325,44.769332734390325,0.06877009636619097,49,,,,
