id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,30.2228000000000000,302.228,10,10,5,63900.000000000000000000,0,271661,122,49.286439060672414,49.286439060672414,4.928643906067242,62,,,,
4,8ball,common,29,29,1,0,4.1830357142857143,14992.000,3315,3584,10,110,0,489771,447,411.19657030207065,411.19657030207065,0.12404119767784937,31,,,,
7,alien,common,29,29,1,0,4.6615915000000000,9323.183,2000,2000,16,240.000000000000000000,0,436468,235,207.90218668402522,207.90218668402522,0.10395109334201261,42,,,,
8,angel,epic,29,29,1,0,17.9120800000000000,895.604,50,50,23,30280.000000000000000000,0,103953,33,51.064895209919555,51.064895209919555,1.0212979041983912,60,,,,
9,banana,rare,29,29,1,0,7.9227800000000000,1188.417,150,150,8,2129.600000000000000000,0,152885,56,27.69554205618555,27.69554205618555,0.18463694704123698,69,,,,
11,basketball,common,29,29,1,0,3.8458836418587080,10180.054,2447,4283,19,97.600000000000000000,0,447462,425,372.3870277724109,372.3870277724109,0.15218104935529664,33,,,,
12,beachball,common,29,24,1,0,3.5913412268188302,12587.651,3271,3505,20,94.000000000000000000,0,638248,285,203.31571626536316,203.31571626536316,0.06215705174728314,43,,,,
13,bomb,uncommon,29,24,1,0,5.0815450000000000,3048.927,600,600,31,785.000000000000000000,1,3954130,799,1833.1562943423455,1833.1562943423455,3.055260490570576,11,,,,
14,shades,epic,29,29,1,0,14.7633200000000000,738.166,50,50,19,10000,0,227306,146,45.94670450252247,45.94670450252247,0.9189340900504495,63,,,,
15,bowling,common,29,24,1,0,2.8924800000000000,5784.960,1998,2000,23,156.998000000000000000,0,350781,301,76.63967464735052,76.63967464735052,0.038358195519194456,50,,,,
17,ninja,rare,29,29,1,0,10.4266500000000000,1042.665,100,100,28,5650.000000000000000000,0,4043,7,0.8970397870910697,0.8970397870910697,0.008970397870910697,85,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.3482933333333333,1402.244,150,150,23,3626.400000000000000000,0,1759394,473,552.34282352544,552.34282352544,3.6822854901696003,24,,,,
19,button,common,29,29,1,0,3.8172894265232975,12780.285,3090,3348,11,102.000000000000000000,0,98308,111,18.25543692782415,18.25543692782415,0.005907908390881602,74,,,,
