id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9250000000000000,279.250,10,10,24,59900.000000000000000000,0,337037,337037,31,224.08029140859543,224.08029140859543,22.408029140859544,36,,,,
4,8ball,common,29,24,1,0,4.2190064281721632,15095.605,3309,3578,17,96,0,506028,277216,185,179.6455347477998,179.6455347477998,0.05428997725832571,39,,,,
7,alien,common,29,29,1,0,4.7218485000000000,9443.697,2000,2000,26,190.000000000000000000,0,64689,64468,33,49.08831146616379,49.08831146616379,0.024544155733081895,57,,,,
8,angel,epic,29,29,1,0,15.2934000000000000,764.670,50,50,15,10800.000000000000000000,0,59439,59229,21,10.131658396591321,10.131658396591321,0.20263316793182642,71,,,,
9,banana,rare,29,29,1,0,8.0600666666666667,1209.010,150,150,22,2040.000000000000000000,0,2335224,1277475,393,448.3125366883288,448.3125366883288,2.9887502445888585,26,,,,
11,basketball,common,29,29,1,0,3.0840820719016083,13039.499,4030,4228,12,93,0,102473,102244,59,21.542966262229516,21.542966262229516,0.005345649196583007,64,,,,
12,beachball,common,29,29,1,0,3.6131363246641898,12642.364,3265,3499,3,102.998000000000000000,1,1300997,661479,295,558.4839435650953,558.4839435650953,0.17105174381779334,19,,,,
13,bomb,uncommon,29,29,1,0,5.3380733333333333,3202.844,600,600,29,1488.000000000000000000,0,5379161,4806045,1093,1990.49422159195,1990.49422159195,3.3174903693199167,5,200.000000000000000000,219,,
14,shades,epic,29,24,1,0,15.0426600000000000,752.133,50,50,25,9750,2,3397986,2487808,323,847.8842624732865,847.8842624732865,16.95768524946573,12,,,,
15,bowling,common,29,29,1,0,2.9851005000000000,5970.201,1998,2000,20,174.000000000000000000,0,71560,71496,61,12.842752859961319,12.842752859961319,0.0064278042342148746,70,,,,
