id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
53997,rare,8000,pizza,pizza,,2022-12-01T01:37:37.943Z,150,150,100,3136,2026,59.40,550
59685,uncommon,16850,moon,moon,,2022-12-19T11:33:18.420Z,600,600,504,1555,659,33.33,0
63562,common,333,football,football,,2022-12-19T18:43:24.630Z,2000,2000,1238,0,0,0,0
64468,common,333,football,football,,2022-12-19T18:43:17.964Z,2000,2000,1495,0,0,0,0
65385,common,390,football,football,,2022-12-19T18:42:12.158Z,2000,2000,1900,102,46,0,500
64369,common,333,football,football,,2022-12-19T18:43:13.783Z,2000,2000,1436,0,0,0,0
50721,uncommon,4100,ufo,ufo,,2022-12-18T15:17:40.503Z,600,600,35,148,67,8.01,0
65494,common,340,football,football,,2022-12-19T18:43:08.985Z,2000,2000,1973,0,0,0,0
65347,common,411,football,football,,2022-12-19T15:28:37.862Z,2000,2000,1871,629,233,0,370
47,rare,10000,cherry,cherry,,2022-10-30T04:55:09.073Z,100,100,3,4074,1592,41.41,0
43099,common,410,football,football,,2022-12-19T18:41:45.962Z,2000,2000,230,385,159,1.0,500
49904,rare,9523.81,cherry,cherry,,2022-12-14T07:32:33.175Z,100,100,78,586,259,7.98,0
57852,uncommon,6000,moon,moon,,2022-12-18T15:23:24.857Z,600,600,281,70,37,2.31,0
53592,rare,9500,pizza,pizza,,2022-12-08T15:45:26.406Z,150,150,90,2018,1026,313.90,2500
58738,uncommon,4820,moon,moon,,2022-12-19T12:31:58.460Z,600,600,357,32,17,0,0
22296,common,3900,football,football,,2022-12-19T20:53:42.531Z,2000,2000,58,19919,8942,1297.06,16770
42146,uncommon,17000,moon,moon,,2022-12-19T11:33:01.604Z,600,600,50,1932,764,38.21,0
50693,uncommon,4100,ufo,ufo,,2022-12-18T15:17:46.594Z,600,600,7,145,62,2.42,0
52277,rare,6000,pizza,pizza,,2022-12-19T08:07:38.958Z,150,150,70,434,206,7.80,0
44051,common,300,football,football,,2022-12-20T02:42:21.452Z,2000,2000,297,282,122,2.43,0
46528,common,330,football,football,,2022-12-20T02:36:58.758Z,2000,2000,602,154,77,2.13,0
59654,uncommon,6222,moon,moon,,2022-12-18T18:53:24.852Z,600,600,499,1829,898,0,500
60630,uncommon,2500,bomb,bomb,,2022-12-18T20:12:20.906Z,600,600,518,1304,721,0.4,0
60395,rare,30000,pizza,pizza,,2022-12-19T14:07:33.813Z,150,150,157,81,40,1.72,0
44143,common,300,football,football,,2022-12-20T02:42:13.283Z,2000,2000,315,162,75,1.66,50
64042,common,515,football,football,,2022-12-19T10:34:33.836Z,2000,2000,1333,0,0,0,0
51677,uncommon,10000,ufo,ufo,,2022-12-17T10:56:22.683Z,600,600,267,189,95,3.46,0
54606,uncommon,9100,ufo,ufo,,2022-12-18T20:19:51.404Z,600,600,539,5092,2000,714.43,3320
51077,uncommon,8111,ufo,ufo,,2022-12-20T02:32:53.695Z,600,600,140,10953,5881,192.72,0
49931,rare,9000,cherry,cherry,,2022-12-14T03:26:48.941Z,100,100,82,611,298,14.78,0
45161,common,350,football,football,,2022-12-20T02:37:12.427Z,2000,2000,441,893,376,14.20,0
45972,uncommon,900,bomb,bomb,,2022-12-19T16:29:15.022Z,600,600,152,418,167,5.28,0
49791,uncommon,15900,moon,moon,,2022-12-19T11:33:31.031Z,600,600,141,292,150,3.90,0
64493,common,350,football,football,,2022-12-20T09:04:32.424Z,2000,2000,1509,0,0,0,170
64725,common,350,football,football,,2022-12-20T09:04:40.157Z,2000,2000,1616,0,0,0,170
50692,uncommon,4500,ufo,ufo,,2022-12-18T15:17:58.016Z,600,600,6,894,358,47.04,0
44648,common,3000,football,football,,2022-12-20T07:27:33.999Z,2000,2000,380,6341,4352,3430.27,8770
64532,common,1400,football,football,,2022-12-19T20:54:04.076Z,2000,2000,1524,3482,1488,77.94,1250
62506,common,350,football,football,,2022-12-20T01:23:12.733Z,2000,2000,1193,112,66,0,500
