id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
50745,uncommon,10000,ufo,ufo,,2023-01-10T13:10:10.251Z,600,600,57,2581,1061,48.07,660
42612,uncommon,2990,bomb,bomb,,2023-01-09T13:38:18.339Z,600,600,131,23382,7441,779.23,1730
59053,uncommon,4720,moon,moon,,2023-01-11T11:09:21.353Z,600,600,416,68,30,0,0
45545,common,2100,football,football,,2023-01-11T10:07:27.731Z,2000,2000,501,801,293,211.76,1250
43252,common,1900,football,football,,2023-01-10T21:12:34.676Z,2000,2000,237,295,116,2.13,0
53913,common,900,football,football,,2023-01-10T21:12:18.056Z,2000,2000,978,32,20,0,0
57646,common,900,football,football,,2023-01-10T21:12:28.882Z,2000,2000,1060,17,8,0.33,0
64368,common,740,football,football,,2023-01-11T12:59:25.157Z,2000,2000,1435,0,0,0,0
64938,common,1600,football,football,,2023-01-10T21:12:30.633Z,2000,2000,1747,0,0,0,0
65329,common,810,football,football,,2023-01-10T23:28:21.253Z,2000,2000,1859,0,0,0,0
65534,common,2000,football,football,,2023-01-10T19:03:24.222Z,2000,2000,2000,612,356,176.52,340
11760,common,3000,football,football,,2023-01-11T12:58:52.475Z,2000,2000,22,2765,1403,914.86,3490
50698,uncommon,7200,ufo,ufo,,2023-01-11T11:09:08.907Z,600,600,12,6251,2675,1327.04,13000
50690,uncommon,6000,ufo,ufo,,2023-01-10T13:15:11.014Z,600,600,4,541,233,9.64,0
53718,uncommon,1400,bomb,bomb,,2023-01-11T13:21:15.755Z,600,600,262,124,58,0.91,1250
51521,uncommon,5500,ufo,ufo,,2023-01-09T11:17:47.556Z,600,600,238,10997,5093,151.31,0
52499,uncommon,4000,ufo,ufo,,2023-01-09T00:23:03.705Z,600,600,373,126,57,1.39,0
53086,uncommon,5500,ufo,ufo,,2023-01-09T14:37:57.326Z,600,600,431,3114,1301,50.28,2970
60720,uncommon,800,bomb,bomb,,2023-01-11T09:46:11.464Z,600,600,537,26,9,0,0
61019,uncommon,800,bomb,bomb,,2023-01-11T09:46:19.209Z,600,600,604,19,7,0,0
57942,common,740,football,football,,2023-01-11T12:59:18.367Z,2000,2000,1081,12,6,0,0
65338,common,770,football,football,,2023-01-10T23:28:33.511Z,2000,2000,1864,1,0,0,0
20545,uncommon,10000,moon,moon,,2023-01-10T05:13:35.371Z,600,600,17,12904,4432,29.95,1920
54606,uncommon,9300,ufo,ufo,,2023-01-10T02:44:03.709Z,600,600,539,5092,2000,714.43,3320
57530,uncommon,6000,moon,moon,,2023-01-11T08:26:48.644Z,600,600,247,75,40,0.73,5000
50692,uncommon,5000,ufo,ufo,,2023-01-10T13:15:20.951Z,600,600,6,894,358,47.04,0
11504,common,3000,football,football,,2023-01-10T21:07:49.983Z,2000,2000,17,2461,745,4.33,4030
64447,common,2820,football,football,,2023-01-10T22:55:01.948Z,2000,2000,1480,30,26,17.49,0
64716,common,1860,football,football,,2023-01-10T22:55:23.973Z,2000,2000,1611,0,0,0,0
51077,uncommon,8999,ufo,ufo,,2023-01-10T19:19:44.745Z,600,600,140,11374,6074,212.85,0
