id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
41436,common,1550,football,football,,2023-02-12T02:32:39.034Z,2000,2000,140,2327,868,132.55,610
51077,uncommon,9999,ufo,ufo,,2023-02-11T14:26:15.596Z,600,600,140,13375,6979,415.81,0
51197,uncommon,12000,ufo,ufo,,2023-02-10T21:41:58.607Z,600,600,177,12271,7263,2826.40,18650
51227,uncommon,3900,ufo,ufo,,2023-02-11T16:26:41.803Z,600,600,184,128,63,1.69,0
46501,uncommon,2300,bomb,bomb,,2023-02-09T18:49:39.219Z,600,600,155,409,175,7.64,0
11760,common,3750,football,football,,2023-02-11T19:11:05.153Z,2000,2000,22,4116,1947,927.56,3490
52729,uncommon,4700,ufo,ufo,,2023-02-09T09:38:50.486Z,600,600,400,4176,2587,1230.31,0
60409,uncommon,1250,bomb,bomb,,2023-02-10T19:57:20.315Z,600,600,481,46,23,0,0
53237,uncommon,7618,ufo,ufo,,2023-02-11T12:13:00.996Z,600,600,443,8246,3473,178.53,2910
44648,common,9000,football,football,,2023-02-11T19:10:35.527Z,2000,2000,380,16459,9315,5298.01,10010
54606,uncommon,7300,ufo,ufo,,2023-02-10T16:35:07.500Z,600,600,539,5092,2000,714.43,3320
46417,common,1450,football,football,,2023-02-11T08:03:46.251Z,2000,2000,585,744,385,18.29,0
58340,uncommon,1250,bomb,bomb,,2023-02-10T19:57:24.142Z,600,600,386,38,20,1.06,0
58843,uncommon,1299,bomb,bomb,,2023-02-11T09:44:31.789Z,600,600,400,58,30,1.32,0
60916,uncommon,1300,bomb,bomb,,2023-02-10T17:35:04.725Z,600,600,569,31,16,0.73,490
60675,common,1520,football,football,,2023-02-12T00:43:50.671Z,2000,2000,1162,985,496,51.15,470
65503,common,6500,football,football,,2023-02-11T19:10:53.146Z,2000,2000,1979,64,27,0,16300
65541,common,1500,football,football,,2023-02-11T08:03:25.749Z,2000,2000,2007,0,0,0,510
65539,common,3500,football,football,,2023-02-11T19:11:09.971Z,2000,2000,2005,11,3,0,5170
50762,uncommon,5250,ufo,ufo,,2023-02-09T15:48:22.677Z,600,600,74,5630,2663,650.73,3070
53790,uncommon,4001,ufo,ufo,,2023-02-10T00:42:20.653Z,600,600,476,280,84,85.80,0
45502,common,4000,football,football,,2023-02-11T19:10:58.689Z,2000,2000,494,154,79,4.17,6550
64655,uncommon,4999,ufo,ufo,,2023-02-10T12:58:04.036Z,600,600,602,852,302,4.79,5250
59773,uncommon,6000,moon,moon,,2023-02-11T22:14:33.791Z,600,600,528,43,29,0,0
57488,common,1450,football,football,,2023-02-11T08:03:36.308Z,2000,2000,1045,238,249,167.31,0
65279,common,8500,football,football,,2023-02-11T19:10:40.382Z,2000,2000,1826,2795,1888,538.53,19590
51037,uncommon,20000,ufo,ufo,,2023-02-10T13:22:12.087Z,600,600,121,31016,17846,10088.14,36760
