id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
40438,common,1900,football,football,,2023-01-01T12:58:19.330Z,2000,2000,93.0,541,217,6.26,5170
53997,rare,8000,pizza,pizza,,2022-12-01T01:37:37.943Z,150,150,100.0,3136,2026,59.40,550
50730,uncommon,3700,ufo,ufo,,2023-01-01T11:32:01.136Z,600,600,44.0,121,64,2.64,0
41990,common,340,football,football,,2023-01-01T09:09:05.937Z,2000,2000,171.0,403,149,4.3,0
51197,uncommon,12000,ufo,ufo,,2023-01-01T00:13:54.266Z,600,600,177.0,9711,5841,2808.00,18650
49484,uncommon,975,bomb,bomb,,2022-12-31T10:17:09.580Z,600,600,184.0,232,112,4.23,0
51331,uncommon,4000,ufo,ufo,,2022-12-31T10:28:22.378Z,600,600,201.0,1580,802,150.12,0
43343,common,340,football,football,,2023-01-01T09:09:22.814Z,2000,2000,246.0,213,96,2.16,0
43856,common,340,football,football,,2023-01-01T09:09:18.951Z,2000,2000,277.0,221,98,1.92,0
44021,common,340,football,football,,2023-01-01T09:09:24.771Z,2000,2000,295.0,205,89,2.89,0
42461,common,340,football,football,,2023-01-01T09:09:08.308Z,2000,2000,198.0,328,135,3.22,0
42861,common,340,football,football,,2023-01-01T09:09:12.648Z,2000,2000,215.0,262,118,5.52,0
43693,common,340,football,football,,2023-01-01T09:09:28.900Z,2000,2000,266.0,221,84,1.55,0
42144,common,340,football,football,,2023-01-01T09:09:02.326Z,2000,2000,179.0,459,168,4.25,0
44022,common,340,football,football,,2023-01-01T09:09:20.700Z,2000,2000,296.0,222,97,2.21,0
43995,uncommon,4100,moon,moon,,2022-12-31T15:56:08.106Z,600,600,73.0,1002,409,13.78,0
59053,uncommon,4000,moon,moon,,2022-12-31T19:48:58.672Z,600,600,416.0,68,30,0,0
60819,uncommon,1000,bomb,bomb,,2022-12-30T10:50:09.111Z,600,600,551.0,34,12,1.06,0
59865,uncommon,6450,moon,moon,,2022-12-31T19:08:43.015Z,600,600,562.0,3,2,0,0
52009,uncommon,3700,ufo,ufo,,2023-01-01T11:32:05.733Z,600,600,308.0,98,55,2.45,0
42184,uncommon,975,bomb,bomb,,2022-12-31T10:16:56.492Z,600,600,113.0,1045,409,12.38,0
42802,common,340,football,football,,2023-01-01T09:09:00.390Z,2000,2000,210.0,453,180,1.9,0
51152,rare,5000,pizza,pizza,,2022-12-26T19:05:53.643Z,150,150,56.0,1377,650,129.65,510
51293,uncommon,6000,ufo,ufo,,2022-12-31T10:17:04.195Z,600,600,192.0,83,54,2.38,0
65322,common,390,football,football,,2022-12-31T23:15:54.015Z,2000,2000,1855.0,0,0,0,0
42986,common,340,football,football,,2023-01-01T09:09:10.486Z,2000,2000,220.0,288,123,3.36,0
65347,common,450,football,football,,2023-01-01T03:38:17.938Z,2000,2000,1871.0,757,287,0,370
65389,common,350,football,football,,2023-01-01T07:07:16.046Z,2000,2000,1902.0,0,0,0,0
41667,uncommon,975,bomb,bomb,,2022-12-31T10:16:54.261Z,600,600,110.0,958,399,10.61,0
47,rare,10000,cherry,cherry,,2022-10-30T04:55:09.073Z,100,100,3.0,4074,1592,41.41,0
65324,common,390,football,football,,2022-12-31T23:15:45.016Z,2000,2000,1856.0,0,0,0,0
41994,uncommon,4100,moon,moon,,2022-12-31T15:55:59.107Z,600,600,46.0,1992,774,23.35,0
44321,rare,4900,cherry,cherry,,2022-12-31T21:31:13.552Z,100,100,42.0,2461,995,36.28,0
42023,uncommon,4100,moon,moon,,2022-12-31T15:55:56.343Z,600,600,47.0,1921,778,20.57,0
49031,rare,5000,cherry,cherry,,2022-12-31T13:34:38.644Z,100,100,58.0,2121,859,35.59,510
49610,rare,5100,cherry,cherry,,2022-12-31T13:33:46.286Z,100,100,65.0,1785,751,36.95,680
52277,rare,6000,pizza,pizza,,2022-12-19T08:07:38.958Z,150,150,70.0,434,206,7.80,0
41347,uncommon,975,bomb,bomb,,2022-12-31T10:16:51.648Z,600,600,69.0,1143,454,23.12,0
49904,rare,9523.81,cherry,cherry,,2022-12-14T07:32:33.175Z,100,100,78.0,586,259,7.98,0
53592,rare,9500,pizza,pizza,,2022-12-08T15:45:26.406Z,150,150,90.0,2018,1026,313.90,2500
42279,uncommon,975,bomb,bomb,,2022-12-31T10:17:00.891Z,600,600,116.0,1110,419,7.99,0
42403,uncommon,4100,moon,moon,,2022-12-31T15:55:53.474Z,600,600,52.0,1909,790,16.51,0
52343,uncommon,3700,ufo,ufo,,2023-01-01T11:32:10.221Z,600,600,350.0,88,44,1.32,0
44773,uncommon,975,bomb,bomb,,2022-12-31T10:17:02.966Z,600,600,147.0,362,166,25.16,0
49884,rare,4500,cherry,cherry,,2022-12-31T23:40:05.814Z,100,100,76.0,888,465,27.70,0
