id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
10133,epic,13000,disguise,disguise,,2023-01-15T07:37:38.317Z,76,76,19,16637,7071,210.40,8600
43527,epic,15000,royman,royman,,2022-07-18T05:52:39.069Z,50,50,44,1942,1063,326.27,0
49440,rare,6000,floater,floater,,2023-01-09T18:00:19.007Z,150,150,44,406,211,9.23,0
47655,rare,9500,gamer,gamer,,2022-12-04T23:38:26.149Z,100,100,46,8259,3930,1001.60,7500
50268,rare,5400,floater,floater,,2023-01-14T09:58:15.105Z,150,150,57,673,263,11.62,1000
46393,rare,3333,peach,peach,,2023-01-14T20:11:51.349Z,100,100,64,990,442,11.80,0
52051,rare,6000,floater,floater,,2023-01-09T18:02:20.902Z,150,150,70,210,106,5.23,0
14264,epic,8500,xmasball,xmasball,,2022-11-02T14:45:14.475Z,60,60,73,3621,1476,41.94,0
45343,rare,2999,skullpatch,skullpatch,,2023-01-11T16:34:03.280Z,150,150,70,1202,504,37.19,500
2103,epic,15000,devil,devil,,2022-08-09T15:43:16.472Z,81,81,76,4490,1825,9.3,0
52344,rare,6000,floater,floater,,2023-01-09T18:00:08.228Z,150,150,76,394,204,6.57,0
46453,rare,3333,peach,peach,,2023-01-14T20:11:49.333Z,100,100,77,981,434,14.24,0
59233,rare,9500,cougar,cougar,,2023-01-13T17:06:10.497Z,150,150,77,12816,6712,2102.79,11040
36761,epic,8900,tamagochi,tamagochi,,2022-12-28T10:57:57.412Z,76,76,77,2865,1185,31.44,0
53170,rare,6000,floater,floater,,2023-01-09T18:00:39.680Z,150,150,82,348,162,7.09,0
49931,rare,9000,cherry,cherry,,2022-12-14T03:26:48.941Z,100,100,82,611,298,14.78,0
42506,rare,4400,jackolantern,jackolantern,,2022-12-22T20:53:51.170Z,150,150,85,11256,4795,137.78,490
65094,rare,3500,frankie,frankie,,2022-11-06T22:59:35.201Z,150,150,90,171,75,0,0
51991,rare,2300,banana,banana,,2023-01-14T12:54:50.945Z,150,150,91,181,101,7.61,0
5370,rare,2500,marble,marble,,2023-01-09T16:18:11.997Z,289,289,36,1129,403,7.93,0
53997,rare,6000,pizza,pizza,,2023-01-13T23:11:50.686Z,150,150,100,3136,2026,59.40,550
54135,rare,6000,floater,floater,,2023-01-09T18:00:51.805Z,150,150,91,266,141,6.62,0
68637,epic,14000,mummy,mummy,,2023-01-14T17:17:44.161Z,50,50,51,0,0,0,0
54659,rare,6000,floater,floater,,2023-01-09T18:01:46.396Z,150,150,102,268,126,6.95,0
68400,rare,3700,peach,peach,,2023-01-05T11:36:30.669Z,100,100,103,0,0,0,0
48054,rare,10000,candyswirl,candyswirl,,2023-01-09T21:30:13.693Z,100,100,100,390,196,3.96,0
57771,rare,5100,cherry,cherry,,2022-12-31T13:34:00.136Z,100,100,103,1379,570,29.38,850
57775,rare,5000,cherry,cherry,,2022-12-31T13:34:26.435Z,100,100,105,1321,542,32.06,850
54690,rare,6000,floater,floater,,2023-01-09T18:04:44.452Z,150,150,106,95,41,1.46,0
7408,rare,1700,marble,marble,,2022-12-07T17:04:13.486Z,289,289,107,1152,455,6.09,0
49135,rare,6000,burger,burger,,2022-10-17T23:13:03.489Z,150,150,114,383,179,7.00,0
44911,epic,9999,snowman,snowman,,2022-12-15T23:15:45.699Z,50,50,44,2316,1036,49.57,0
1522,rare,1850,coconut,coconut,,2022-11-29T13:00:50.852Z,289,289,119,303,125,3.37,0
4883,uncommon,1400,bull,bull,,2023-01-14T23:38:16.731Z,776,776,120,273,99,1.83,0
49150,rare,7000,burger,burger,,2022-12-05T23:00:44.589Z,150,150,129,872,700,303.46,250
42612,uncommon,3000,bomb,bomb,,2023-01-13T18:28:10.885Z,600,600,131,23383,7441,779.23,1730
45073,rare,3000,jackolantern,jackolantern,,2023-01-14T12:25:51.880Z,150,150,131,1182,481,18.18,0
51077,uncommon,8777,ufo,ufo,,2023-01-15T21:38:33.183Z,600,600,140,11591,6152,232.08,0
901,epic,15000,devil,devil,,2022-10-30T04:54:34.964Z,81,81,2,4825,1854,45.04,0
45160,rare,5000,jackolantern,jackolantern,,2022-10-26T16:16:07.190Z,150,150,137,804,369,14.63,0
38264,rare,2950,bowie,bowie,,2023-01-13T20:48:31.783Z,329,329,139,1079,421,8.46,0
11612,rare,3000,melon,melon,,2022-01-24T23:35:29.917Z,277,277,140,0,0,0,0
56523,rare,5999.99,ladybug,ladybug,,2022-10-12T09:23:50.423Z,150,150,142,110,53,0.99,0
55171,rare,6000,floater,floater,,2023-01-09T18:03:41.166Z,150,150,145,126,66,1.32,0
56530,rare,8700,ladybug,ladybug,,2023-01-11T20:12:05.860Z,150,150,147,11019,5904,500.24,8760
59306,rare,5500,cougar,cougar,,2022-12-13T11:20:35.589Z,150,150,150,43,28,0.33,730
4297,rare,1499,eyeball,eyeball,,2022-12-10T09:50:47.223Z,293,293,151,69,31,0.99,0
68515,rare,2626,wheeee,wheeee,,2023-01-08T14:48:42.829Z,150,150,152,0,0,0,0
4325,rare,2000,eyeball,eyeball,,2022-08-17T12:04:43.642Z,293,293,154,391,120,0,0
59117,rare,2733,jackolantern,jackolantern,,2022-12-25T16:23:28.160Z,150,150,161,157,78,1.53,0
54400,rare,6000,floater,floater,,2023-01-09T18:02:09.282Z,150,150,96,218,111,5.02,0
52023,rare,6000,floater,floater,,2023-01-09T18:03:46.895Z,150,150,67,102,49,0.73,0
50876,rare,3850,wheeee,wheeee,,2022-09-20T15:03:58.133Z,150,150,78,1168,630,151.43,220
44624,uncommon,10000,derp,derp,,2023-01-15T09:09:19.925Z,420,420,176,2491,1453,46.0,0
65114,rare,3700,frankie,frankie,,2023-01-13T12:35:35.335Z,150,150,110,127,63,10.24,2270
51197,uncommon,8000,ufo,ufo,,2023-01-16T02:10:41.868Z,600,600,177,11616,6876,2825.49,18650
49163,rare,6000,burger,burger,,2022-10-17T23:12:14.765Z,150,150,142,474,233,9.31,0
38318,rare,1750,bowie,bowie,,2023-01-12T21:25:54.398Z,329,329,186,1510,587,10.30,0
53154,uncommon,790,dog,dog,,2023-01-15T02:29:54.897Z,600,600,193,365,181,2.38,0
48260,rare,3900,gamer,gamer,,2022-12-31T09:19:49.827Z,100,100,53,767,375,10.80,0
5230,rare,1850,eyeball,eyeball,,2022-11-29T14:49:57.274Z,293,293,199,2266,894,15.63,0
45934,rare,4000,gamer,gamer,,2022-12-31T09:19:56.973Z,100,100,32,1878,778,20.75,0
50841,rare,3499,wheeee,wheeee,,2022-10-13T15:46:41.207Z,150,150,43,488,219,6.63,0
2344,rare,1850,coconut,coconut,,2022-11-29T13:01:01.011Z,289,289,210,190,80,2.64,0
64972,epic,15000,mummy,mummy,,2023-01-14T22:10:59.817Z,50,50,18,15272,8248,1779.91,6140
2532,rare,3000,coconut,coconut,,2022-01-26T16:57:13.870Z,289,289,217,809,270,0,0
49194,rare,5000,gamer,gamer,,2023-01-08T06:25:58.979Z,100,100,85,853,378,11.27,0
49157,rare,6000,burger,burger,,2022-10-17T23:12:35.235Z,150,150,136,364,174,9.81,0
53052,uncommon,820,panda,panda,,2023-01-14T04:42:35.351Z,600,600,241,109,55,3.44,0
10597,uncommon,530,fishcake,fishcake,,2023-01-15T22:26:19.066Z,743,743,245,661,299,5.08,270
12357,uncommon,5000,racoon,racoon,,2023-01-15T18:02:30.618Z,786,786,246,3199,1112,10.91,0
40755,uncommon,3000,skull,skull,,2023-01-14T23:20:29.802Z,653,653,97,8282,2755,13.7,0
3107,rare,1820,coconut,coconut,,2022-12-07T17:11:12.141Z,289,289,249,1319,570,13.58,0
56976,rare,9523.81,ninja,ninja,,2022-12-14T07:33:46.830Z,100,100,102,362,177,4.10,0
7724,rare,3000,eyeball,eyeball,,2022-10-31T00:22:23.439Z,293,293,257,312,118,0,0
47803,uncommon,2500,revolver,revolver,,2023-01-15T08:35:12.924Z,600,600,86,2216,1011,8.65,0
43803,common,160,bowling,bowling,,2023-01-15T09:43:37.834Z,2000,1514,259,192,85,2.4,0
