id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
52479,uncommon,800,panda,panda,,2023-03-15T11:31:40.893Z,40.00,600,600,228,917,528,5.94,0
55695,uncommon,720,panda,panda,,2023-03-14T16:45:17.801Z,36.00,600,600,384,0,0,0,0
14764,rare,1700,marble,marble,,2022-12-07T17:04:10.184Z,85.00,288,288,385,859,354,6.19,0
56996,rare,3300,skullpatch,skullpatch,,2022-11-07T13:21:55.582Z,165.00,150,150,158,1466,730,122.28,150
52711,uncommon,3000,ufo,ufo,,2023-03-13T10:08:22.967Z,150.00,600,600,395,78,37,3.44,0
8688,uncommon,2000,target,target,,2023-03-15T18:07:05.615Z,100.00,747,747,395,119,56,0,0
38572,rare,1550,bowie,bowie,,2023-01-24T14:31:22.226Z,77.50,320,320,398,480,203,2.91,0
13583,uncommon,555,yinyang,yinyang,,2023-03-13T08:13:52.096Z,27.75,715,715,410,1573,430,0.66,0
34252,uncommon,499,fox,fox,,2023-03-13T19:36:05.144Z,24.95,784,784,413,570,252,5.22,0
55087,rare,5000,floater,floater,,2023-02-26T06:51:47.632Z,250.00,150,150,134,115,56,1.65,0
63848,uncommon,1500,watermelon,watermelon,,2023-03-15T03:58:13.415Z,75.00,600,600,429,5581,2558,1.65,4230
34452,uncommon,399,fox,fox,,2023-03-15T16:36:39.654Z,19.95,784,784,430,586,234,7.72,0
13754,uncommon,2500,racoon,racoon,,2023-03-15T18:04:37.951Z,125.00,783,783,292,2249,1234,1.65,0
67492,uncommon,1099.999999,earth,earth,,2023-03-13T11:04:36.839Z,54.99999995,600,600,205,0,0,0,0
57210,rare,2550,banana,banana,,2023-02-17T21:15:30.964Z,127.50,150,150,157,20,15,1.72,0
44068,epic,15000,snowman,snowman,,2023-01-20T18:15:17.676Z,750.00,50,50,31,2439,1049,168.27,0
46301,rare,15500,xmasball1,xmasball1,,2023-01-23T14:45:08.054Z,775.00,100,100,32,3875,1845,47.21,420
5194,uncommon,735,bull,bull,,2023-03-14T15:55:49.548Z,36.75,772,772,152,212,104,1.13,0
15322,rare,3000,melon,melon,,2022-02-18T22:14:50.694Z,150.00,272,272,320,0,0,0,0
70813,epic,16500,bat,bat,,2023-03-07T13:12:12.693Z,825.00,50,50,48,2,1,0,50
65099,rare,5000,frankie,frankie,,2023-03-10T21:19:33.537Z,250.00,150,150,95,49,26,0,5000
68160,common,356,vase,vase,,2023-03-15T22:38:45.401Z,17.80,2000,2000,1607,0,0,0,0
45044,rare,3200,skullpatch,skullpatch,,2022-12-06T12:41:57.925Z,160.00,150,150,54,1232,522,24.63,0
64069,uncommon,4300,watermelon,watermelon,,2023-03-14T01:56:31.803Z,215.00,600,600,500,3224,1806,677.44,3920
64080,uncommon,1300,watermelon,watermelon,,2023-03-13T23:11:25.365Z,65.00,600,600,504,0,0,0,0
57405,epic,12950,dragon,dragon,,2023-03-11T05:57:14.765Z,647.50,50,50,41,643,315,11.64,0
