id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
43914,epic,9500,citrus,citrus,,2022-10-23T16:49:29.729Z,50,50,33,2360,1108,35.65,0
5370,rare,2453,marble,marble,,2023-01-18T18:03:46.266Z,289,289,36,1129,403,7.93,0
43527,epic,15000,royman,royman,,2022-07-18T05:52:39.069Z,50,50,44,1942,1063,326.27,0
49440,rare,6000,floater,floater,,2023-01-09T18:00:19.007Z,150,150,44,406,211,9.23,0
1147,rare,1495,coconut,coconut,,2023-01-16T16:19:59.844Z,289,289,64,61,30,0.99,0
42569,uncommon,3000,panda,panda,,2023-01-18T16:41:13.808Z,600,600,64,3022,1207,270.11,0
52051,rare,6000,floater,floater,,2023-01-09T18:02:20.902Z,150,150,70,210,106,5.23,0
53170,rare,6000,floater,floater,,2023-01-09T18:00:39.680Z,150,150,82,348,162,7.09,0
14264,epic,8500,xmasball,xmasball,,2022-11-02T14:45:14.475Z,60,60,73,3621,1476,41.94,0
2103,epic,15000,devil,devil,,2022-08-09T15:43:16.472Z,81,81,76,4490,1825,9.3,0
52344,rare,6000,floater,floater,,2023-01-09T18:00:08.228Z,150,150,76,394,204,6.57,0
36761,epic,8900,tamagochi,tamagochi,,2022-12-28T10:57:57.412Z,76,76,77,2865,1185,31.44,0
49931,rare,9000,cherry,cherry,,2022-12-14T03:26:48.941Z,100,100,82,611,298,14.78,0
50268,rare,5400,floater,floater,,2023-01-14T09:58:15.105Z,150,150,57,673,263,11.62,1000
50677,common,8999,vase,vase,,2023-01-18T18:47:21.167Z,2000,1846,95,2990,1081,63.33,0
68637,epic,12950,mummy,mummy,,2023-01-17T09:12:17.790Z,50,50,51,0,0,0,0
65094,rare,3500,frankie,frankie,,2022-11-06T22:59:35.201Z,150,150,90,171,75,0,0
49025,rare,6000,burger,burger,,2023-01-18T11:51:28.107Z,150,150,91,378,157,4.53,0
54135,rare,6000,floater,floater,,2023-01-09T18:00:51.805Z,150,150,91,266,141,6.62,0
47655,rare,9500,gamer,gamer,,2022-12-04T23:38:26.149Z,100,100,46,8259,3930,1001.60,7500
50462,cosmetic,14700,worldcup,worldcup,,2023-01-18T22:36:12.089Z,50,50,47,433,181,1.2,0
53997,rare,6000,pizza,pizza,,2023-01-13T23:11:50.686Z,150,150,100,3136,2026,59.40,550
48054,rare,10000,candyswirl,candyswirl,,2023-01-09T21:30:13.693Z,100,100,100,390,196,3.96,0
54659,rare,6000,floater,floater,,2023-01-09T18:01:46.396Z,150,150,102,268,126,6.95,0
57771,rare,5100,cherry,cherry,,2022-12-31T13:34:00.136Z,100,100,103,1379,570,29.38,850
68400,rare,3700,peach,peach,,2023-01-05T11:36:30.669Z,100,100,103,0,0,0,0
57775,rare,5000,cherry,cherry,,2022-12-31T13:34:26.435Z,100,100,105,1321,542,32.06,850
54690,rare,6000,floater,floater,,2023-01-09T18:04:44.452Z,150,150,106,95,41,1.46,0
7408,rare,1700,marble,marble,,2022-12-07T17:04:13.486Z,289,289,107,1152,455,6.09,0
65114,rare,3700,frankie,frankie,,2023-01-13T12:35:35.335Z,150,150,110,127,63,10.24,2270
44911,epic,9999,snowman,snowman,,2022-12-15T23:15:45.699Z,50,50,44,2316,1036,49.57,0
