id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
44888,epic,8000,snowman,snowman,,2022-11-24T10:17:30.542Z,50,50,42,1746,781,37.49,0
36775,epic,18000,tamagochi,tamagochi,,2022-11-27T22:57:17.609Z,77,77,88,29676,11417,14.48,4250
41783,rare,5000,jackolantern,jackolantern,,2022-09-19T05:45:36.107Z,150,150,2,4252,2132,837.93,0
47,rare,10000,cherry,cherry,,2022-10-30T04:55:09.073Z,100,100,3,4074,1592,41.41,0
988,epic,9500,devil,devil,,2022-10-23T16:50:34.353Z,85,85,26,1919,848,24.15,0
41651,epic,11500,royman,royman,,2022-11-21T16:15:26.227Z,50,50,30,5333,2338,321.89,0
52611,epic,30000,ghost,ghost,,2022-11-26T23:55:42.261Z,50,50,24,47293,25259,10632.61,24740
50815,rare,3499,wheeee,wheeee,,2022-10-13T15:46:37.278Z,150,150,17,662,301,158.88,0
36728,epic,30000,tamagochi,tamagochi,,2022-11-22T19:09:48.113Z,77,77,44,4283,1854,40.76,340
44911,epic,8000,snowman,snowman,,2022-11-24T10:17:40.948Z,50,50,44,2316,1036,49.57,0
56880,epic,12000,snowman,snowman,,2022-11-19T14:44:23.517Z,50,50,51,310,169,3.51,0
44745,rare,3500,banana,banana,,2022-10-11T15:33:26.200Z,150,150,65,3635,1511,26.94,0
65007,rare,10000,frankie,frankie,,2022-11-10T07:28:30.866Z,150,150,3,0,0,0,0
46405,rare,5000,peach,peach,,2022-10-13T17:57:16.399Z,100,100,69,572,255,8.11,0
49856,rare,2200,cherry,cherry,,2022-11-28T20:16:42.972Z,100,100,74,621,270,10.84,0
36761,epic,9000,tamagochi,tamagochi,,2022-11-18T12:28:29.591Z,77,77,77,2865,1185,31.44,0
50876,rare,3850,wheeee,wheeee,,2022-09-20T15:03:58.133Z,150,150,78,1168,630,151.43,220
53997,rare,7000,pizza,pizza,,2022-11-28T12:00:55.925Z,150,150,100,3136,2026,59.40,550
46742,rare,6000,peach,peach,,2022-11-24T16:54:09.286Z,100,100,95,12339,5208,352.52,670
50905,rare,12000,wheeee,wheeee,,2022-11-27T20:03:46.587Z,150,150,106,14011,8731,2767.59,5500
49130,rare,3333,burger,burger,,2022-11-25T11:20:48.998Z,150,150,109,560,312,104.30,0
46750,rare,3999,peach,peach,,2022-09-17T20:19:31.071Z,100,100,99,162,66,1.0,0
65114,rare,6000,frankie,frankie,,2022-11-28T16:17:08.171Z,150,150,110,127,63,10.24,2270
50140,rare,3500,skullpatch,skullpatch,,2022-08-21T14:19:07.524Z,150,150,112,1506,782,0,0
1468,rare,3000,coconut,coconut,,2022-03-01T10:35:46.187Z,290,290,113,2,1,0,0
5956,uncommon,500,yinyang,yinyang,,2022-11-28T13:50:27.956Z,749,749,116,1143,481,3.79,0
65122,rare,2750,frankie,frankie,,2022-11-28T16:51:49.636Z,150,150,118,0,0,0,0
49126,rare,5500,burger,burger,,2022-10-17T23:13:34.953Z,150,150,105,443,215,8.39,0
57775,rare,2200,cherry,cherry,,2022-11-28T20:16:53.210Z,100,100,105,226,108,3.04,0
3647,rare,1880,eyeball,eyeball,,2022-08-10T17:19:30.688Z,295,295,109,1302,496,4.64,0
59281,rare,3250,cougar,cougar,,2022-11-27T16:14:28.013Z,150,150,125,4815,1257,0,0
59290,rare,3300,cougar,cougar,,2022-11-14T17:46:15.447Z,150,150,134,57,35,0.99,0
45160,rare,5000,jackolantern,jackolantern,,2022-10-26T16:16:07.190Z,150,150,137,804,369,14.63,0
11612,rare,3000,melon,melon,,2022-01-24T23:35:29.917Z,283,283,140,0,0,0,0
53930,rare,8000,banana,banana,,2022-09-17T14:14:42.823Z,150,150,148,184,95,4.05,0
51027,uncommon,5200,ufo,ufo,,2022-11-28T17:27:16.416Z,600,600,117,1508,857,708.98,5490
4325,rare,2000,eyeball,eyeball,,2022-08-17T12:04:43.642Z,295,295,154,391,120,0,0
12009,rare,12000,melon,melon,,2022-10-07T10:22:00.780Z,283,283,160,2300,886,9.11,2250
50925,rare,3808.57,wheeee,wheeee,,2022-09-15T13:49:34.325Z,150,150,121,351,171,4.77,0
65974,epic,12999,dragon,dragon,,2022-11-25T10:26:13.457Z,50,50,51,0,0,0,0
49149,rare,6000,burger,burger,,2022-10-17T23:12:49.502Z,150,150,128,423,200,11.52,0
40518,common,500,alien,alien,,2022-11-28T23:29:40.959Z,2000,2000,175,4381,1693,22.99,270
49746,rare,2200,cherry,cherry,,2022-11-28T20:15:52.095Z,100,100,70,713,316,13.82,0
65134,rare,5000,frankie,frankie,,2022-10-31T01:34:19.984Z,150,150,130,0,0,0,0
56390,rare,7100,ladybug,ladybug,,2022-11-27T23:15:06.967Z,150,150,30,1657,652,400.64,5000
51197,uncommon,5500,ufo,ufo,,2022-11-27T09:29:12.488Z,600,600,177,2311,1189,736.67,10100
65148,rare,2720,frankie,frankie,,2022-11-28T22:23:06.123Z,150,150,144,0,0,0,0
57771,rare,2200,cherry,cherry,,2022-11-28T20:16:02.311Z,100,100,103,236,114,6.03,0
56530,rare,10500,ladybug,ladybug,,2022-11-28T17:54:04.300Z,150,150,147,11019,5904,500.24,8760
56531,rare,5600,ladybug,ladybug,,2022-10-31T21:01:16.574Z,150,150,148,272,124,5.49,0
901,epic,15000,devil,devil,,2022-10-30T04:54:34.964Z,85,85,2,4825,1854,45.04,0
59820,uncommon,600,watermelon,watermelon,,2022-11-27T18:01:53.723Z,600,600,239,2,1,0,0
53738,uncommon,700,panda,panda,,2022-11-28T06:38:51.729Z,600,600,250,8,2,0,0
57599,uncommon,4000,moon,moon,,2022-11-26T14:31:57.308Z,600,600,254,62,33,2.05,0
11688,rare,1790,marble,marble,,2022-08-16T00:58:09.678Z,289,289,265,986,414,4.83,0
43697,common,450,soccerball,soccerball,,2022-11-28T22:18:25.698Z,2000,2000,267,262,123,2.39,0
11886,rare,2500,marble,marble,,2022-10-25T12:37:52.547Z,289,289,279,0,0,0,0
4434,rare,2500,eyeball,eyeball,,2022-09-17T18:12:10.842Z,295,295,157,4296,1263,2.4,0
64718,rare,2099,banana,banana,,2022-11-20T13:26:19.502Z,150,150,163,0,0,0,0
62110,uncommon,750,revolver,revolver,,2022-11-28T11:09:28.741Z,600,600,298,6,2,0,0
13182,rare,1900,melon,melon,,2022-10-20T08:44:50.172Z,283,283,210,1114,469,11.43,0
62255,uncommon,850,revolver,revolver,,2022-11-28T11:09:38.859Z,600,600,308,326,132,0,250
2532,rare,3000,coconut,coconut,,2022-01-26T16:57:13.870Z,290,290,217,809,270,0,0
4543,uncommon,525,target,target,,2022-11-28T13:49:40.444Z,755,755,217,382,142,2.69,0
62323,uncommon,750,revolver,revolver,,2022-11-28T11:09:42.669Z,600,600,311,6,2,0,0
