id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
44165,rare,2750,banana,banana,,2023-01-01T10:11:58.590Z,150,150,54,2314,1026,31.18,0
50447,cosmetic,3666,worldcup,worldcup,,2023-01-04T20:44:39.258Z,50,50,32,0,0,0,0
43522,epic,8000,royman,royman,,2022-12-22T09:29:36.152Z,50,50,43,3233,1596,34.46,0
48260,rare,3900,gamer,gamer,,2022-12-31T09:19:49.827Z,100,100,53,767,375,10.80,0
50861,rare,3500,wheeee,wheeee,,2022-12-28T20:54:39.808Z,150,150,63,1478,734,465.82,0
56423,rare,4000,ladybug,ladybug,,2022-12-29T12:56:40.359Z,150,150,63,170,98,1.65,0
56431,rare,4000,ladybug,ladybug,,2022-12-29T12:57:07.503Z,150,150,71,202,99,4.31,0
2103,epic,15000,devil,devil,,2022-08-09T15:43:16.472Z,81,81,76,4490,1825,9.3,0
50876,rare,3850,wheeee,wheeee,,2022-09-20T15:03:58.133Z,150,150,78,1168,630,151.43,220
40438,common,2200,football,football,,2023-01-04T03:40:14.117Z,2000,2000,93,541,217,6.26,5170
50841,rare,3499,wheeee,wheeee,,2022-10-13T15:46:41.207Z,150,150,43,488,219,6.63,0
50462,cosmetic,14900,worldcup,worldcup,,2023-01-05T00:12:37.304Z,50,50,47,433,181,1.2,0
45343,rare,3300,skullpatch,skullpatch,,2022-12-08T15:16:36.684Z,150,150,70,1202,504,37.19,500
53997,rare,8000,pizza,pizza,,2022-12-01T01:37:37.943Z,150,150,100,3136,2026,59.40,550
7408,rare,1700,marble,marble,,2022-12-07T17:04:13.486Z,289,289,107,1152,455,6.09,0
49135,rare,6000,burger,burger,,2022-10-17T23:13:03.489Z,150,150,114,383,179,7.00,0
59274,rare,29100,cougar,cougar,,2022-12-17T03:44:53.322Z,150,150,118,6465,3502,25.74,1110
1522,rare,1850,coconut,coconut,,2022-11-29T13:00:50.852Z,289,289,119,303,125,3.37,0
67457,uncommon,3900,earth,earth,,2023-01-05T00:12:50.270Z,600,600,171,0,0,0,0
56429,rare,6969,ladybug,ladybug,,2022-12-29T12:58:34.926Z,150,150,69,938,398,14.68,0
59177,rare,4700,cougar,cougar,,2022-09-10T06:59:37.855Z,150,150,26,79,40,0,0
56504,rare,4000,ladybug,ladybug,,2022-12-29T12:56:53.773Z,150,150,130,210,96,5.56,0
56505,rare,4000,ladybug,ladybug,,2022-12-29T13:01:34.448Z,150,150,131,313,150,4.83,0
56523,rare,5999.99,ladybug,ladybug,,2022-10-12T09:23:50.423Z,150,150,142,110,53,0.99,0
56530,rare,7900,ladybug,ladybug,,2023-01-04T13:17:28.006Z,150,150,147,11019,5904,500.24,8760
38264,rare,2700,bowie,bowie,,2023-01-02T12:33:10.757Z,330,330,139,1079,421,8.46,0
57138,rare,2800,jackolantern,jackolantern,,2022-12-24T09:29:12.279Z,150,150,154,543,319,88.58,0
4325,rare,2000,eyeball,eyeball,,2022-08-17T12:04:43.642Z,295,295,154,391,120,0,0
45150,uncommon,1900,bomb,bomb,,2023-01-03T20:01:41.029Z,600,600,150,6704,3598,656.00,600
14889,uncommon,1240,donut,donut,,2023-01-03T23:26:53.650Z,753,753,160,957,427,5.75,0
59117,rare,2733,jackolantern,jackolantern,,2022-12-25T16:23:28.160Z,150,150,161,157,78,1.53,0
